# Original static mapping for Random Mapping Ensemble reference
# Optimized static mapping — 32 mappable tasks
0, -1, 0, 8192, 1:0, 2:4, 3:8, 4:12
1, 0, 20000, 8192, 5:1, 6:2
2, 4, 20000, 8192, 7:5, 8:6
3, 8, 20000, 8192, 9:9, 10:10
4, 12, 20000, 8192, 11:13, 12:14
5, 1, 30000, 16384, 13:0, 14:3
6, 2, 30000, 16384, 15:4, 16:7
7, 5, 30000, 16384, 17:8, 18:11
8, 6, 30000, 16384, 19:12, 20:15
9, 9, 30000, 16384, 21:0, 22:3
10, 10, 30000, 16384, 23:4, 24:7
11, 13, 30000, 16384, 25:8, 26:11
12, 14, 30000, 16384, 27:12, 28:15
13, 0, 50000, 32768, 29:14
14, 3, 50000, 32768, 29:14
15, 4, 50000, 32768, 30:15
16, 7, 50000, 32768, 30:15
17, 8, 50000, 32768, 31:12
18, 11, 50000, 32768, 31:12
19, 12, 50000, 32768, 32:13
20, 15, 50000, 32768, 32:13
21, 0, 50000, 32768, 29:14
22, 3, 50000, 32768, 30:15
23, 4, 50000, 32768, 31:12
24, 7, 50000, 32768, 32:13
25, 8, 50000, 32768, 31:12
26, 11, 50000, 32768, 32:13
27, 12, 50000, 32768, 29:14
28, 15, 50000, 32768, 30:15
29, 14, 30000, 8192, -1:-1
30, 15, 30000, 8192, -1:-1
31, 12, 30000, 8192, -1:-1
32, 13, 30000, 8192, -1:-1
