benchmark,mode,original_cost,thermal_sa_tas_cost,original_proxy_score,thermal_sa_tas_proxy_score,iterations,converged,elapsed_s
gemm,full,6.000000000000001,4.863922395063637,1.0,0.9714514625400258,2000,True,3.849572199999784
mpeg4,full,6.000000000000001,4.647607573474175,1.0,0.860819828491115,2000,True,3.2552952000000914
vopd,full,5.0,4.958442029633455,0.9,0.8787399538810083,1856,True,3.555257200000142
hnn,full,6.000000000000001,6.311718120169917,1.0,0.840561030844235,1107,True,13.33020499999975
