workload,seed,method,proxy_score_original,proxy_score_tas,proxy_score_delta_pct,iterations,converged,cost_original,cost_tas,cost_delta_pct,tmax_original_K,tmax_tas_K,tmax_delta_K,sigma_original_K,sigma_tas_K,sigma_delta_pct,hot_original,hot_tas,makespan_original_s,makespan_tas_s,makespan_delta_pct,comm_original,comm_tas,comm_delta_pct,energy_original_J,energy_tas_J,energy_delta_pct,valid_for_cost,run_ok
GEMM,42,Thermal-SA-TAS-Mapping,1.0,0.9714514625400258,-2.854853745997421,2000,True,6.000000000000001,4.863922395063637,-18.934626748939387,328.08421735578,327.68971805294,-0.39449930284001766,2.1434761400252804,1.5014935417135613,-29.95053624922307,6,1,0.000120405,0.0001185446,-1.5451185581994098,104448.0,116736.0,11.764705882352944,0.0015708734939939562,0.0015322001025163904,-2.461903624030115,True,True
MPEG4,42,Thermal-SA-TAS-Mapping,1.0,0.860819828491115,-13.918017150888495,2000,True,6.000000000000001,4.647607573474175,-22.53987377543043,327.5966387468,326.18545083962,-1.4111879071800217,1.3003837749577485,1.0529848516508398,-19.025069988661393,2,0,0.0001220699,0.0001212596,-0.6638000031129687,420000.0,464000.0,10.476190476190483,0.0011328804365769536,0.00112618807500929,-0.5907385591267578,True,True
VOPD,42,Thermal-SA-TAS-Mapping,0.9,0.8787399538810083,-2.362227346554635,1856,True,5.0,4.958442029633455,-0.8311594073309059,325.37271921261,325.41777512697,0.04505591436003442,0.9870939912641029,0.918265684256274,-6.972822002460499,0,0,8.93329e-05,8.95268e-05,0.21705329167640564,1396000.0,1384000.0,-0.8595988538681931,0.0007507385223064374,0.0007515548774773874,0.1087402799635262,True,True
HNN,42,Thermal-SA-TAS-Mapping,1.0,0.840561030844235,-15.943896915576506,1107,True,6.000000000000001,6.311718120169917,5.195302002831936,328.81757624162,332.7000921528,3.8825159111800076,2.454372247071413,1.9449182246080967,-20.75699898706087,16,16,0.000203177525,0.0002030869,-0.04460385074579465,2195456.0,2220032.0,1.1194029850746245,0.004651317011228462,0.004966584008171068,6.778015692792794,True,True
