# random_p90 selected from Random Mapping Ensemble
# Optimized static mapping — 32 mappable tasks
0, -1, 0, 8192, 1:13, 2:11, 3:8, 4:4
1, 13, 20000, 8192, 5:4, 6:14
2, 11, 20000, 8192, 7:11, 8:12
3, 8, 20000, 8192, 9:3, 10:5
4, 4, 20000, 8192, 11:7, 12:7
5, 4, 30000, 16384, 13:7, 14:7
6, 14, 30000, 16384, 15:12, 16:11
7, 11, 30000, 16384, 17:8, 18:0
8, 12, 30000, 16384, 19:3, 20:13
9, 3, 30000, 16384, 21:0, 22:10
10, 5, 30000, 16384, 23:6, 24:9
11, 7, 30000, 16384, 25:5, 26:8
12, 7, 30000, 16384, 27:7, 28:7
13, 7, 50000, 32768, 29:5
14, 7, 50000, 32768, 29:5
15, 12, 50000, 32768, 30:7
16, 11, 50000, 32768, 30:7
17, 8, 50000, 32768, 31:6
18, 0, 50000, 32768, 31:6
19, 3, 50000, 32768, 32:15
20, 13, 50000, 32768, 32:15
21, 0, 50000, 32768, 29:5
22, 10, 50000, 32768, 30:7
23, 6, 50000, 32768, 31:6
24, 9, 50000, 32768, 32:15
25, 5, 50000, 32768, 31:6
26, 8, 50000, 32768, 32:15
27, 7, 50000, 32768, 29:5
28, 7, 50000, 32768, 30:7
29, 5, 30000, 8192, -1:-1
30, 7, 30000, 8192, -1:-1
31, 6, 30000, 8192, -1:-1
32, 15, 30000, 8192, -1:-1
