benchmark,mode,init,calibration_source,original_cost,thermal_rc_ls_cost,original_proxy_score,thermal_rc_ls_proxy_score,original_Tmax_K,thermal_rc_ls_Tmax_K,original_SigmaT_K,thermal_rc_ls_SigmaT_K,original_HotCount,thermal_rc_ls_HotCount,original_Comm,thermal_rc_ls_Comm,iterations,converged,elapsed_s
gemm,full,original,calibrated_distance_bins,6.000000000000001,4.367858620782697,1.0,0.9697164070611562,328.08421735578,326.80589278147,2.1434761400252804,1.60405077614033,6,0,104448.0,100352.0,156,True,2.0420859000005294
mpeg4,full,original,calibrated_distance_bins,6.000000000000001,5.747219751784556,1.0,0.8282995191714851,327.5966387468,327.59825030218,1.3003837749577485,1.206502500809261,2,2,420000.0,444000.0,55,True,1.6106903000036255
vopd,full,original,calibrated_distance_bins,5.0,4.656080788989685,0.9000000000000001,0.856681938299017,325.37271921261,326.41732375669,0.9870939912641029,0.9694511178455061,0,0,1396000.0,852000.0,168,True,1.4991939999963506
hnn,full,original,calibrated_distance_bins,6.000000000000001,6.120466827428112,1.0,0.7813920606960351,328.81757624162,331.85506292674,2.454372247071413,1.7524273816203628,16,16,2195456.0,1540096.0,119,True,3.1364883999995072
