workload,method,source,TR2_composite_cost,Tmax_K,Tmax_C,SigmaT_K,Hot_PE,makespan_s,makespan_us,comm_cost,energy_J,energy_mJ,cost_delta_pct,Tmax_delta_C,SigmaT_delta_pct,Hot_PE_delta,makespan_delta_pct,comm_delta_pct,energy_delta_pct
gemm,Original,thermal_rc_ls/original,6.000000000000001,328.08421735578,54.93421735578005,2.1434761400252804,6.0,0.000120405,120.405,104448.0,0.0015708734939939562,1.5708734939939561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemm,ThermalGreedy,out\thermal-greedy-exploratory-archive\thermal-greedy-baseline-v1-full-baseline-temp\gemm\thermal_greedy\metrics.json,5.271200745804903,328.06465825114,54.91465825114,2.067279365919579,4.0,0.0001196767,119.67670000000001,75776.0,0.0015569163831331966,1.5569163831331967,-12.146654236584975,-0.019559104640052283,-3.5548225932107935,-2.0,-0.6048752128233748,-27.450980392156865,-0.888493625624398
gemm,ThermalRC-LS,out\thermal-rc-ls-v1-seed42\gemm\thermal_rc_ls\metrics.json,4.367858620782697,326.80589278147,53.655892781470016,1.60405077614033,0.0,0.000116837,116.837,100352.0,0.001518616219335735,1.518616219335735,-27.20235632028839,-1.2783245743100338,-25.165914087505936,-6.0,-2.9633320875378844,-3.9215686274509776,-3.326638004780169
gemm,Proposed-GA,out\B-2-v4\seed_42\gen_60\gemm\metrics.json,3.799907180912859,326.38828532851,53.23828532851002,1.4089998627280593,0.0,0.0001167308,116.7308,51200.0,0.00151658174775588,1.5165817477558798,-36.66821365145236,-1.6959320272700324,-34.265661445084184,-6.0,-3.0515344047174042,-50.98039215686274,-3.4561501257519556
mpeg4,Original,thermal_rc_ls/original,6.000000000000001,327.5966387468,54.44663874680003,1.3003837749577485,2.0,0.0001220699,122.06989999999999,420000.0,0.0011328804365769536,1.1328804365769536,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mpeg4,ThermalGreedy,out\thermal-greedy-exploratory-archive\thermal-greedy-baseline-v1-full-baseline-temp\mpeg4\thermal_greedy\metrics.json,4.543809914122519,327.03592301831,53.885923018309995,1.3307601924589822,0.0,0.0001225017,122.5017,308000.0,0.0011338097359350483,1.1338097359350483,-24.269834764624697,-0.5607157284900381,2.3359578984458507,-2.0,0.3537317553303554,-26.66666666666667,0.08202978249873816
mpeg4,ThermalRC-LS,out\thermal-rc-ls-v1-seed42\mpeg4\thermal_rc_ls\metrics.json,5.747219751784556,327.59825030218,54.44825030218004,1.206502500809261,2.0,0.0001226228,122.6228,444000.0,0.0011352946433561093,1.1352946433561093,-4.213004136924081,0.001611555380009122,-7.2195051919605735,0.0,0.45293721056542946,5.714285714285716,0.21310340449078868
mpeg4,Proposed-GA,out\B-2-v4\seed_42\gen_60\mpeg4\metrics.json,4.216755651138596,324.96650838032,51.816508380320045,1.0198443512080955,0.0,0.0001213516,121.3516,388000.0,0.0011261318681507332,1.1261318681507333,-29.720739147690068,-2.630130366479989,-21.57358690197193,-2.0,-0.5884333484339699,-7.619047619047614,-0.5956999704762711
vopd,Original,thermal_rc_ls/original,5.0,325.37271921261,52.22271921261,0.9870939912641029,0.0,8.93329e-05,89.3329,1396000.0,0.0007507385223064374,0.7507385223064373,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vopd,ThermalGreedy,out\thermal-greedy-exploratory-archive\thermal-greedy-baseline-v1-full-baseline-temp\vopd\thermal_greedy\metrics.json,4.790312799911725,326.30512891776,53.15512891776001,1.1274167012505822,0.0,8.83406e-05,88.3406,828000.0,0.0007434437320503755,0.7434437320503755,-4.193744001765487,0.9324097051500075,14.215739456257626,0.0,-1.1107889702450024,-40.68767908309455,-0.9716818891417289
