workload,f_thermal_normalized,f_thermal_weighted,f_sigma_normalized,f_sigma_weighted,f_hot_normalized,f_hot_weighted,f_makespan_normalized,f_makespan_weighted,f_comm_normalized,f_comm_weighted,f_congestion_normalized,f_congestion_weighted,f_dvfs_normalized,f_dvfs_weighted,f_load_normalized,f_load_weighted,f_energy_normalized,f_energy_weighted,total_cost
GEMM,0.7942113908888748,0.7942113908888748,0.7203623573023626,0.7203623573023626,0.0,0.0,0.9693710034688845,1.1632452041626613,0.6764705882352942,0.2705882352941177,0.45454545454545453,0.3181818181818182,0.0,0.0,0.8758353093339082,0.17516706186678166,0.9655173946930203,0.48275869734651017,3.9245147650431265
HNN,0.9463226892854222,0.9463226892854222,0.675119429685875,0.675119429685875,0.25,0.15,1.296114555677103,1.5553374668125235,0.8022388059701493,0.32089552238805974,0.8,0.5599999999999999,0.05690515571756486,0.022762062287025944,1.9690721649484533,0.39381443298969065,0.9831935021388426,0.4915967510694213,5.115848354518018
MPEG4,0.8201796148108722,0.8201796148108722,0.9471728264221179,0.9471728264221179,0.0,0.0,0.7469166887788256,0.8963000265345906,0.4666666666666667,0.18666666666666668,0.4090909090909091,0.2863636363636364,0.0,0.0,2.3535070334026202,0.47070140668052407,0.8551596576807926,0.4275798288403963,4.034964006318804
VOPD,1.0166941460459178,1.0166941460459178,1.1877800329535089,1.1877800329535089,0.0,0.0,0.48436693969476213,0.5812403276337146,0.5702005730659025,0.22808022922636104,0.3412698412698413,0.23888888888888887,0.0,0.0,2.5325670498084296,0.5065134099616859,0.6695362128941859,0.33476810644709293,4.09396514115717
