workload,cost_delta_pct,tmax_delta_C,sigma_delta_pct,hot_pe_delta,makespan_delta_pct,dvfs_delta_pct_points,comm_delta_pct,energy_delta_pct
GEMM,-34.591420582614575,-2.0390660024100384,-27.963764269763736,-6.0,-3.0628996531115615,-1.7684489444444438,-32.35294117647059,-3.4482605306979663
HNN,-14.735860758033038,-0.5745447364299707,-32.488057031412495,-12.0,29.611455567710276,-10.387367240384544,-19.77611940298507,-1.680649786115751
MPEG4,-32.750599894686616,-1.6948262588099965,-5.282717357788213,-2.0,-25.308331122117444,-0.06452131944444438,-53.333333333333336,-14.48403423192075
VOPD,-18.12069717685659,0.12001367192999624,18.778003295350885,0.0,-51.56330603052378,0.0,-42.97994269340975,-33.0463787105814
