sample_id,sample_seed,valid_for_cost,failure_reason,mapping_csv,TR2_composite_cost,T1_pe_peak_temp_K,T3_temp_std_K,T5_over_throttle_count,P1_makespan_s,P3_dvfs_penalty_pct,C1_total_comm_cost,raw_congestion_cost,raw_load_imbalance,E7_pe_optical_comm_energy_J,run_ok,temperature_source,parsed_pe_count,assignment
0,0,True,,gemm\random\mappings\sample_000_seed_0.csv,5.064253517426359,327.84803847411,1.6486174690143234,1,0.0001181288,0.11261328125,101376.0,27648.0,1.3011307280301527,0.0015298133098243156,True,vec,16,"{""1"": 12, ""2"": 13, ""3"": 1, ""4"": 8, ""5"": 15, ""6"": 12, ""7"": 9, ""8"": 15, ""9"": 11, ""10"": 6}"
1,1,True,,gemm\random\mappings\sample_001_seed_1.csv,5.379805960014633,327.85293823643,1.7325763739321143,2,0.0001186431,0.24763772321428754,154624.0,24576.0,1.4407855584209481,0.0015377096057154628,True,vec,16,"{""1"": 4, ""2"": 2, ""3"": 8, ""4"": 3, ""5"": 15, ""6"": 14, ""7"": 15, ""8"": 12, ""9"": 6, ""10"": 3}"
2,2,True,,gemm\random\mappings\sample_002_seed_2.csv,5.479650789437502,327.32799523908,1.3311973671505934,1,0.0001667107,0.016199500000000002,82944.0,28672.0,1.8089664749057726,0.0017844995039036982,True,vec,16,"{""1"": 1, ""2"": 2, ""3"": 2, ""4"": 11, ""5"": 5, ""6"": 9, ""7"": 8, ""8"": 6, ""9"": 1, ""10"": 5}"
3,3,True,,gemm\random\mappings\sample_003_seed_3.csv,4.624773679233953,327.55796727599,1.5353787875106821,1,0.0001180008,0.102896171875,92160.0,17408.0,1.3011307280301527,0.0015279865713412183,True,vec,16,"{""1"": 7, ""2"": 4, ""3"": 11, ""4"": 15, ""5"": 2, ""6"": 0, ""7"": 15, ""8"": 8, ""9"": 7, ""10"": 6}"
4,4,True,,gemm\random\mappings\sample_004_seed_4.csv,5.162912303458194,327.84521516313,1.568499136221093,1,0.000146421,0.26591875,134144.0,16384.0,1.2884348343582623,0.0016812527016283423,True,vec,16,"{""1"": 7, ""2"": 9, ""3"": 3, ""4"": 12, ""5"": 15, ""6"": 4, ""7"": 2, ""8"": 2, ""9"": 0, ""10"": 12}"
5,5,True,,gemm\random\mappings\sample_005_seed_5.csv,4.916978634875074,327.03368920607,1.6605429043961186,0,0.0001169228,0.0,134144.0,26624.0,1.1868676849831383,0.001519958289774075,True,vec,16,"{""1"": 8, ""2"": 11, ""3"": 0, ""4"": 14, ""5"": 7, ""6"": 1, ""7"": 5, ""8"": 3, ""9"": 11, ""10"": 15}"
6,6,True,,gemm\random\mappings\sample_006_seed_6.csv,5.683574455561268,328.16095691634,1.8019647894939024,3,0.0001192449,0.5007955282738125,141312.0,28672.0,1.4407855584209481,0.0015468771680566115,True,vec,16,"{""1"": 2, ""2"": 15, ""3"": 8, ""4"": 1, ""5"": 0, ""6"": 4, ""7"": 15, ""8"": 11, ""9"": 10, ""10"": 0}"
7,7,True,,gemm\random\mappings\sample_007_seed_7.csv,5.104539732987325,327.47276469412,1.7178803794184354,1,0.0001171907,0.10618104166666875,116736.0,25600.0,1.5931362824836341,0.0015230621530355302,True,vec,16,"{""1"": 10, ""2"": 4, ""3"": 12, ""4"": 1, ""5"": 2, ""6"": 3, ""7"": 11, ""8"": 1, ""9"": 6, ""10"": 1}"
8,8,True,,gemm\random\mappings\sample_008_seed_8.csv,4.846549442654718,326.96397842623,1.4968040514542909,0,0.0001168886,0.0,108544.0,27648.0,1.5550486014679628,0.0015184567982428085,True,vec,16,"{""1"": 7, ""2"": 11, ""3"": 12, ""4"": 4, ""5"": 6, ""6"": 1, ""7"": 2, ""8"": 4, ""9"": 7, ""10"": 6}"
9,9,True,,gemm\random\mappings\sample_009_seed_9.csv,4.8786502887859555,327.21543885556,1.5219898855748857,1,0.0001170166,0.015705375,132096.0,24576.0,1.0726046419361237,0.001519863780749876,True,vec,16,"{""1"": 14, ""2"": 11, ""3"": 8, ""4"": 4, ""5"": 5, ""6"": 0, ""7"": 10, ""8"": 14, ""9"": 2, ""10"": 10}"
10,10,True,,gemm\random\mappings\sample_010_seed_10.csv,4.648237986011891,327.62675205467,1.5140426138700953,1,0.000117751,0.081179453125,111616.0,16384.0,1.2630430470144813,0.001525798852886614,True,vec,16,"{""1"": 1, ""2"": 13, ""3"": 15, ""4"": 0, ""5"": 6, ""6"": 14, ""7"": 15, ""8"": 8, ""9"": 5, ""10"": 1}"
11,11,True,,gemm\random\mappings\sample_011_seed_11.csv,5.256248555890995,327.52479800481,1.376127732945392,1,0.0001661026,0.13996708333333124,69632.0,12288.0,3.0785558420948225,0.001781538402450903,True,vec,16,"{""1"": 14, ""2"": 14, ""3"": 14, ""4"": 6, ""5"": 5, ""6"": 15, ""7"": 5, ""8"": 3, ""9"": 14, ""10"": 9}"
