benchmark,seed,run_type,configured_generations,actual_generations,converged,elapsed_min,cost_baseline,cost_b2,cost_delta_pct,tmax_baseline_C,tmax_b2_C,tmax_delta_C,sigma_baseline_K,sigma_b2_K,sigma_delta_pct,hot_baseline,hot_b2,makespan_baseline_us,makespan_b2_us,makespan_delta_pct,comm_baseline,comm_b2,comm_delta_pct,pe_optical_energy_baseline_mJ,pe_optical_energy_b2_mJ,pe_optical_energy_delta_pct
VOPD,44,base,60,60,False,23.396964746667074,2.0,1.590330947851437,-20.483452607428156,52.22271921261,50.75060162287002,-1.4721175897399803,0.9870939912641029,0.7838992999829151,-20.585141139494777,0,0,89.3329,108.5687,21.532716390042197,1396000.0,1092000.0,-21.776504297994272,0.7507385223064373,0.852166382040322,13.510410978016086
VOPD,45,base,60,38,True,10.477571621661385,2.0,1.703822947068032,-14.808852646598403,52.22271921261,51.41991054493002,-0.802808667679983,0.9870939912641029,0.8044553674722267,-18.502657842946,0,0,89.3329,90.5028,1.3095959047562555,1396000.0,1112000.0,-20.343839541547283,0.7507385223064373,0.7559381676971803,0.6926040473810291
VOPD,46,base,60,41,True,17.076149465003983,2.0,1.607831519403817,-19.608424029809147,52.22271921261,50.85602322578001,-1.3666959868299955,0.9870939912641029,0.7867665500256608,-20.294667277013478,0,0,89.3329,102.6507,14.908057389830631,1396000.0,952000.0,-31.805157593123212,0.7507385223064373,0.820862694737127,9.340691911646214
VOPD,47,base,60,52,True,14.07802706998773,2.0,1.702803359861764,-14.8598320069118,52.22271921261,51.41994311850004,-0.8027760941099586,0.9870939912641029,0.8034444873955766,-18.60506755120038,0,0,89.3329,90.5028,1.3095959047562555,1396000.0,1090000.0,-21.91977077363897,0.7507385223064373,0.755977546561856,0.6978493975936084
VOPD,48,base,60,51,True,17.4796223466595,2.0,1.6112448228718745,-19.437758856406273,52.22271921261,50.85244408848001,-1.3702751241299893,0.9870939912641029,0.7906249446987074,-19.903783054518577,0,0,89.3329,102.60260000000001,14.854213845067177,1396000.0,760000.0,-45.55873925501432,0.7507385223064373,0.8201512025954255,9.245919614693122
VOPD,49,base,60,55,True,23.710763988333444,2.0,1.6072452178463656,-19.637739107681718,52.22271921261,50.76098556824002,-1.4617336443699855,0.9870939912641029,0.7991761508291173,-19.037481951879,0,0,89.3329,108.4747,21.42749199902836,1396000.0,752000.0,-46.13180515759312,0.7507385223064373,0.851398211780149,13.408089032711734
HNN,40,base,60,60,False,2.9231789416633545,2.6,1.3116528765522193,-49.55181244029926,55.66757624162,53.103402093010004,-2.564174148609993,2.454372247071413,1.3548716635511497,-44.79762940736478,16,0,203.177525,582.8308999999999,186.85795832979065,2195456.0,2039808.0,-7.0895522388059735,4.651317011228462,6.251196482841485,34.39626814837284
HNN,41,base,60,60,False,2.8607903433342776,2.6,1.309534712268094,-49.633280297381,55.66757624162,53.312597671950016,-2.3549785696699814,2.454372247071413,1.301541645775846,-46.97048716514532,16,0,203.177525,622.0428,206.15728782009722,2195456.0,1744896.0,-20.52238805970149,4.651317011228462,6.46030013621833,38.89184763418427
HNN,42,base,60,50,True,2.50612739000159,2.6,1.2956817603949338,-50.1660861386564,55.66757624162,53.39394591074,-2.273630330879996,2.454372247071413,1.248824923066577,-49.11835706434954,16,0,203.177525,632.4927,211.30052401219083,2195456.0,2170880.0,-1.1194029850746245,4.651317011228462,6.52129747199375,40.20324687074825
HNN,43,base,60,60,False,3.1011554616658636,2.6,1.219926050198327,-53.079767300064354,55.66757624162,53.354179360779995,-2.3133968808400027,2.454372247071413,1.0720416098889973,-56.32114846604175,16,0,203.177525,802.0568999999999,294.75670352810914,2195456.0,1736704.0,-20.895522388059707,4.651317011228462,7.415882981533278,59.43619761093566
HNN,44,base,60,60,False,2.9259116299916057,2.6,1.2549344711080852,-51.73328957276595,55.66757624162,53.31968201227005,-2.347894229349947,2.454372247071413,1.165902379904071,-52.49692130868737,16,0,203.177525,682.0926000000001,235.71262372646783,2195456.0,1736704.0,-20.895522388059707,4.651317011228462,6.777124298659364,45.703341275151075
HNN,45,base,60,46,True,2.1269716249934087,2.6,1.340403416294608,-48.446022450207394,55.66757624162,53.59751825689,-2.070057984729999,2.454372247071413,1.3117510409183235,-46.554519491347705,16,0,203.177525,582.6688,186.7781758833808,2195456.0,1974272.0,-10.074626865671643,4.651317011228462,6.251346552537172,34.39949453985132
HNN,46,base,60,42,True,1.914966456654171,2.6,1.2739974829839977,-51.00009680830778,55.66757624162,53.10992977210003,-2.557646469519966,2.454372247071413,1.2609494367188678,-48.624360537671166,16,0,203.177525,532.5065999999999,162.08932311780052,2195456.0,1490944.0,-32.08955223880597,4.651317011228462,5.978795626574505,28.539843922516074
HNN,47,base,60,60,False,2.950484198331833,2.6,1.258538117607029,-51.59468778434504,55.66757624162,52.98952285599,-2.678053385629994,2.454372247071413,1.2507093551935338,-49.041578485663884,16,0,203.177525,711.8548,250.3609958827877,2195456.0,1662976.0,-24.25373134328358,4.651317011228462,6.93659164345361,49.13177551021366
HNN,48,base,60,60,False,2.8753745416644962,2.6,1.2956259885473704,-50.16823120971652,55.66757624162,53.091359102670026,-2.5762171389499713,2.454372247071413,1.3183065388929074,-46.28742480013263,16,0,203.177525,701.9467,245.48442304334594,2195456.0,2097152.0,-4.477611940298509,4.651317011228462,6.88721324892931,48.07017522786141
HNN,49,base,60,60,False,2.8847256283275784,2.6,1.405499531832461,-45.942325698751496,55.66757624162,53.500396132890046,-2.1671801087299514,2.454372247071413,1.493866782850833,-39.13446566089015,16,0,203.177525,532.4109,162.04222145141296,2195456.0,2416640.0,10.074626865671643,4.651317011228462,5.986659019715333,28.7089012695394
