benchmark,run_type,configured_generations,n,seeds,converged_count,cost_delta_pct_mean,cost_delta_pct_std,tmax_delta_C_mean,tmax_delta_C_std,sigma_delta_pct_mean,sigma_delta_pct_std,makespan_delta_pct_mean,makespan_delta_pct_std,comm_delta_pct_mean,comm_delta_pct_std,pe_optical_energy_delta_pct_mean,pe_optical_energy_delta_pct_std,cost_b2_mean,cost_b2_std,tmax_b2_C_mean,tmax_b2_C_std,sigma_b2_K_mean,sigma_b2_K_std,makespan_b2_us_mean,makespan_b2_us_std,comm_b2_mean,comm_b2_std,pe_optical_energy_b2_mJ_mean,pe_optical_energy_b2_mJ_std,elapsed_min_mean,elapsed_min_std
GEMM,base,60,10,"40,41,42,43,44,45,46,47,48,49",9,-58.826179285957785,3.6693937995364814,-3.8067781783420287,0.44927303398195034,-54.628206188673346,5.099808470525751,163.56537519206012,37.114672299066214,-10.686274509803923,36.19478372879508,64.7476394154976,15.212413770412176,1.0705193385650975,0.09540423878794847,51.12743917743802,0.44927303398195034,0.9725335746472537,0.1093131777527077,317.34589,44.687921181690676,93286.4,37804.727709051884,2.587976999558791,0.23896777571609143,1.242448154001807,0.2830618907409833
HNN,base,60,10,"40,41,42,43,44,45,46,47,48,49",3,-50.131559970049516,1.9756914569769453,-2.39032292469098,0.1973472509550784,-47.934689238729426,4.559260336757527,214.15402367953837,42.488010651525364,-13.134328358208956,12.744720875729001,40.74810920093739,9.866188775453521,1.2965794407787126,0.051367977881400566,53.27725331692902,0.1973472509550784,1.2778765376761108,0.11190122037711145,638.2903699999999,86.32608846350563,1907097.6,279804.73914944485,6.546640746245614,0.4589077168725828,2.706968621662818,0.3939806001301108
MPEG4,base,60,10,"40,41,42,43,44,45,46,47,48,49",9,-47.61011078561092,2.412753526207005,-3.0035578329100074,0.4137644074791237,-31.99129816931271,2.3334520885057164,35.44843569135391,13.415365990641606,-12.666666666666668,16.94804058341353,20.281445074516334,7.749869097934677,1.362137119574116,0.06273159168138212,51.44308091389003,0.4137644074791237,0.8843741241656508,0.030343832355341067,165.34177,16.37612384941022,366800.0,71181.77045033683,1.3626449600812494,0.08779675087082478,1.0265744440009197,0.2088910516342986
VOPD,base,60,10,"40,41,42,43,44,45,46,47,48,49",6,-18.475501595645383,2.072907861696064,-1.2414297205639855,0.2607722896425623,-19.7631590564032,0.774225230006136,13.475662381944398,6.958035871584278,-33.35243553008596,9.81391044151301,8.398421697786658,4.404201276317128,1.6304899680870923,0.04145815723392129,50.98128949204602,0.2607722896425623,0.7920130357343795,0.007642330724241261,101.3711,6.215815227126512,930400.0,137002.18976352166,0.8137887092574642,0.03306403558122446,19.71013115816439,4.922329509596025
