benchmark,seed,run_type,configured_generations,actual_generations,history_rows,converged,elapsed_min,cost_baseline,cost_b2,cost_delta_pct,tmax_baseline_C,tmax_b2_C,tmax_delta_C,sigma_baseline_K,sigma_b2_K,sigma_delta_pct,hot_baseline,hot_b2,hot_delta,dvfs_baseline_pct,dvfs_b2_pct,dvfs_delta_pctpt,makespan_baseline_us,makespan_b2_us,makespan_delta_pct,comm_baseline,comm_b2,comm_delta_pct,congestion_baseline,congestion_b2,congestion_delta_pct,load_baseline,load_b2,load_delta_pct,pe_optical_energy_baseline_mJ,pe_optical_energy_b2_mJ,pe_optical_energy_delta_pct,optical_margin_baseline_dB,optical_margin_b2_dB,optical_margin_delta_dB,optical_ber_baseline,optical_ber_b2,optical_tuning_baseline_mW,optical_tuning_b2_mW,optical_tuning_delta_pct,history_avg_inf_gens,history_worst_inf_gens,history_best_inf_gens,valid,validity_notes
VOPD,43,base,60,29,29,True,8.608561038334544,5.0,4.349570016586447,-13.00859966827106,52.22271921261,51.52152313343004,-0.7011960791799652,0.9870939912641029,0.8995542885961757,-8.868426253493977,0,0,0,0.0,0.0,0.0,89.3329,89.3348,0.0021268759885728628,1396000.0,980000.0,-29.79942693409742,252000.0,128000.0,-49.20634920634921,0.35802469135802467,0.35802469135802467,0.0,0.7507385223064373,0.7491663498222894,-0.20941678592940605,-6.7540341665474,-6.7540089343609,2.5232186499302145e-05,0.06538049161693,0.065003327722333,16.127688148597,14.315285918635,-11.237830327960951,19,19,0,True,
HNN,43,base,60,17,17,True,0.6747897083405405,6.000000000000001,5.462613147873699,-8.956447535438361,55.66757624162,56.16455265702001,0.49697641540001314,2.454372247071413,1.7482141023913227,-28.77143617976804,16,11,-5,11.14198573637825,4.846467318273964,-6.295518418104287,203.177525,239.3087,17.783056959671107,2195456.0,1925120.0,-12.313432835820892,163840.0,139264.0,-15.000000000000002,0.3028095733610822,0.39438085327783556,30.240549828178676,4.651317011228462,4.629237536290297,-0.47469297157910484,-6.7542238179251,-6.7536998265593,0.0005239913657995032,0.083163844976119,0.12480010938143,57.610724317951,60.191926616336,4.48041979847269,0,0,0,True,
GEMM,44,base,60,33,33,True,0.7681715633254498,6.000000000000001,3.844634655649292,-35.92275573917848,54.93421735578005,53.08084279260004,-1.8533745631800116,2.1434761400252804,1.3300696112541894,-37.948009477796084,6,0,-6,1.8350526805555563,0.0,-1.8350526805555563,120.405,116.61670000000001,-3.1462979112163003,104448.0,60416.0,-42.15686274509803,22528.0,10240.0,-54.54545454545454,0.9202539178734378,0.9964292799047808,8.27764604440613,1.5708734939939561,1.515344355416367,-3.534921098987165,-6.7540627757353,-2.6628934372531,4.0911693384822,0.11245067850978,0.075474243691675,51.554489738666,27.112831726572,-47.40936848757654,0,0,0,True,
MPEG4,44,base,60,39,39,True,0.9381604066584259,6.000000000000001,4.131037306053756,-31.14937823243742,54.44663874680003,52.025992957400035,-2.420645789399998,1.3003837749577485,1.0637550628258994,-18.196836709958,2,0,-2,0.07168423611111063,0.0,-0.07168423611111063,122.06989999999999,121.6256,-0.36397178993347046,420000.0,336000.0,-19.999999999999996,88000.0,36000.0,-59.09090909090908,0.5670623064060744,0.7644253172884515,34.804466573210235,1.1328804365769536,1.1275443470363125,-0.4710196564753355,-6.7540105634287,-2.1744060727311,4.5796044906976,0.073143223754916,0.065482404598516,24.890988958734,12.353603000837,-50.36917568314519,0,0,0,True,
VOPD,44,base,60,30,30,True,10.26345746666193,5.0,4.407643664781135,-11.847126704377297,52.22271921261,51.447940923130034,-0.7747782894799684,0.9870939912641029,0.862188439055063,-12.653866127690838,0,0,0,0.0,0.0,0.0,89.3329,88.7368,-0.6672793562058299,1396000.0,1230000.0,-11.891117478510028,252000.0,144000.0,-42.85714285714286,0.35802469135802467,0.35802469135802467,0.0,0.7507385223064373,0.7462697670444793,-0.5952478964618813,-6.7540341665474,-6.7539966742772,3.7492270199557254e-05,0.06538049161693,0.074340400616264,16.127688148597,14.483014396293,-10.197827098033729,23,23,0,True,
HNN,44,base,60,30,30,True,1.143274790002033,6.000000000000001,5.085554701009119,-15.24075498318136,55.66757624162,55.48081585205,-0.1867603895699972,2.454372247071413,1.6481488649975016,-32.84845577258735,16,7,-9,11.14198573637825,1.987052938289144,-9.154932798089106,203.177525,238.3187,17.29579834186876,2195456.0,1548288.0,-29.47761194029851,163840.0,122880.0,-25.0,0.3028095733610822,0.5983350676378772,97.59450171821307,4.651317011228462,4.5385945057119335,-2.4234535131536394,-6.7542238179251,-6.7540895118549,0.00013430607019948582,0.083163844976119,0.07980941363957,57.610724317951,44.530863712558,-22.70386418543504,0,0,0,True,
GEMM,45,base,60,53,53,True,1.2181640716580053,6.000000000000001,3.7465646208919887,-37.557256318466855,54.93421735578005,53.13119804089001,-1.8030193148900366,2.1434761400252804,1.4062426275223399,-34.394295263498734,6,0,-6,1.8350526805555563,0.0,-1.8350526805555563,120.405,116.74459999999999,-3.04007308666584,104448.0,51200.0,-50.98039215686274,22528.0,8192.0,-63.63636363636363,0.9202539178734378,0.8059908748264233,-12.416469066609181,1.5708734939939561,1.516500416263109,-3.46132759504415,-6.7540627757353,-2.2862347418412,4.467828033894101,0.11245067850978,0.066197548398403,51.554489738666,18.094048890457,-64.90305891460231,0,0,0,True,
MPEG4,45,base,60,46,46,True,1.0735135683324188,6.000000000000001,4.049490827462077,-32.508486208965394,54.44663874680003,52.87960480218004,-1.5670339446199932,1.3003837749577485,1.0994383653775313,-15.452777360802294,2,0,-2,0.07168423611111063,0.0,-0.07168423611111063,122.06989999999999,121.6196,-0.3688870065429617,420000.0,300000.0,-28.57142857142857,88000.0,24000.0,-72.72727272727273,0.5670623064060744,0.5670623064060744,0.0,1.1328804365769536,1.1276795385642067,-0.45908622347312633,-6.7540105634287,-6.7540814039231,-7.084049439942675e-05,0.073143223754916,0.065593385955687,24.890988958734,17.806926913009,-28.4603478691403,0,0,0,True,
VOPD,45,base,60,39,39,True,15.60301498666716,5.0,4.398872014789851,-12.022559704202983,52.22271921261,51.94803907478001,-0.27468013782998923,0.9870939912641029,0.9154805350445541,-7.254978437042093,0,0,0,0.0,0.0,0.0,89.3329,87.30269999999999,-2.2726229642158757,1396000.0,1050000.0,-24.785100286532945,252000.0,124000.0,-50.79365079365079,0.35802469135802467,0.35802469135802467,0.0,0.7507385223064373,0.7378547215067333,-1.7161502196693212,-6.7540341665474,-6.7540317904848,2.3760626000068896e-06,0.06538049161693,0.065477393476489,16.127688148597,12.58434418583,-21.970563481383078,30,30,0,True,
HNN,45,base,60,27,27,True,1.003878563332061,6.000000000000001,5.373174744913506,-10.447087584774916,55.66757624162,56.47661709114004,0.809040849520045,2.454372247071413,1.8755066898106707,-23.58507589675738,16,13,-3,11.14198573637825,8.497955613563537,-2.644030122814714,203.177525,198.10459999999998,-2.4967943673888215,2195456.0,1687552.0,-23.134328358208954,163840.0,131072.0,-19.999999999999996,0.3028095733610822,0.32362122788761705,6.872852233676974,4.651317011228462,4.552326359540738,-2.1282284447341815,-6.7542238179251,-6.7540539290101,0.0001698889149999161,0.083163844976119,0.10052903129625,57.610724317951,49.488247811325,-14.098896694647356,0,0,0,True,
GEMM,46,base,60,51,51,True,1.1791095400073877,6.000000000000001,3.741650923084499,-37.639151281925024,54.93421735578005,52.72885150614002,-2.2053658496400317,2.1434761400252804,1.363760546452741,-36.37621987074432,6,0,-6,1.8350526805555563,0.0,-1.8350526805555563,120.405,116.7947,-2.998463518956851,104448.0,65536.0,-37.254901960784316,22528.0,8192.0,-63.63636363636363,0.9202539178734378,0.8059908748264233,-12.416469066609181,1.5708734939939561,1.5165172339048945,-3.460257003309708,-6.7540627757353,-2.268290771122,4.485772004613301,0.11245067850978,0.067783324892153,51.554489738666,31.409501951615,-39.07513756642268,0,0,0,True,
MPEG4,46,base,60,35,35,True,0.818036911667635,6.000000000000001,4.016261600531964,-33.06230665780061,54.44663874680003,52.290550164980004,-2.156088581820029,1.3003837749577485,1.0784628192320467,-17.06580472621726,2,0,-2,0.07168423611111063,0.0,-0.07168423611111063,122.06989999999999,121.5216,-0.44916887783146286,420000.0,300000.0,-28.57142857142857,88000.0,24000.0,-72.72727272727273,0.5670623064060744,0.6986376469943258,23.202977715473505,1.1328804365769536,1.1272591879990506,-0.49619080676225336,-6.7540105634287,-6.7540490978102,-3.853438149992172e-05,0.073143223754916,0.065696596845746,24.890988958734,16.893735227488,-32.12911204333583,0,0,0,True,
