benchmark,ga_n,ga_seeds,ga_cost_mean,ga_cost_std,ga_cost_ci95_half,ga_cost_best,ga_cost_worst,baseline_cost,random_n,random_valid,random_invalid,random_best_cost,random_p10_cost,random_median_cost,random_p90_cost,ga_mean_vs_random_best_delta_pct,ga_mean_advantage_over_random_best_pct,ga_mean_advantage_over_random_median_pct,ga_worst_advantage_over_random_best_pct,random_samples_cost_le_ga_mean,random_samples_cost_le_ga_worst,random_samples_cost_le_ga_best,ga_all_seeds_better_than_random_best
GEMM,10,"40,41,42,43,44,45,46,47,48,49",3.7795559502616976,0.036599898934011145,0.026181988576062402,3.7259784989639666,3.844634655649292,6.000000000000001,50,50,0,4.212649242781243,4.624773679233953,5.214781873367142,5.636333254268616,-10.280782176719082,10.280782176719082,27.522261869387275,8.73594182479297,0,0,0,True
MPEG4,10,"40,41,42,43,44,45,46,47,48,49",4.13261867463684,0.07455338144428104,0.05333227244152571,4.016261600531964,4.242777663082553,6.000000000000001,50,50,0,4.741208658695987,4.899905938981482,5.1126365548716075,5.827883020399657,-12.836178026944989,12.836178026944989,19.168541900381165,10.51274119098824,0,0,0,True
VOPD,10,"40,41,42,43,44,45,46,47,48,49",4.405927038056357,0.08596899642302434,0.06149851086478105,4.2209760937638094,4.535907040207907,5.0,50,45,5,5.022586823878689,5.1740420198001695,5.587668932308323,5.977393742639396,-12.277732719135292,12.277732719135292,21.14910365249174,9.689823207375515,0,0,0,True
HNN,10,"40,41,42,43,44,45,46,47,48,49",5.135715738551729,0.19229227699265172,0.13755759841205856,4.878621881488557,5.462613147873699,6.000000000000001,50,50,0,6.026900739530582,6.250230621626989,6.525541644983523,6.902418703591139,-14.786787430122239,14.786787430122239,21.298245908831415,9.362815417810143,0,0,0,True
