benchmark,run_type,configured_generations,n,seeds,converged_count,valid_count,cost_delta_pct_mean,cost_delta_pct_std,cost_delta_pct_ci95_half,cost_delta_pct_min,cost_delta_pct_max,cost_b2_mean,cost_b2_std,cost_b2_ci95_half,cost_b2_min,cost_b2_max,tmax_delta_C_mean,tmax_delta_C_std,tmax_delta_C_ci95_half,tmax_delta_C_min,tmax_delta_C_max,tmax_b2_C_mean,tmax_b2_C_std,tmax_b2_C_ci95_half,tmax_b2_C_min,tmax_b2_C_max,sigma_delta_pct_mean,sigma_delta_pct_std,sigma_delta_pct_ci95_half,sigma_delta_pct_min,sigma_delta_pct_max,sigma_b2_K_mean,sigma_b2_K_std,sigma_b2_K_ci95_half,sigma_b2_K_min,sigma_b2_K_max,hot_b2_mean,hot_b2_std,hot_b2_ci95_half,hot_b2_min,hot_b2_max,makespan_delta_pct_mean,makespan_delta_pct_std,makespan_delta_pct_ci95_half,makespan_delta_pct_min,makespan_delta_pct_max,makespan_b2_us_mean,makespan_b2_us_std,makespan_b2_us_ci95_half,makespan_b2_us_min,makespan_b2_us_max,comm_delta_pct_mean,comm_delta_pct_std,comm_delta_pct_ci95_half,comm_delta_pct_min,comm_delta_pct_max,comm_b2_mean,comm_b2_std,comm_b2_ci95_half,comm_b2_min,comm_b2_max,congestion_delta_pct_mean,congestion_delta_pct_std,congestion_delta_pct_ci95_half,congestion_delta_pct_min,congestion_delta_pct_max,pe_optical_energy_delta_pct_mean,pe_optical_energy_delta_pct_std,pe_optical_energy_delta_pct_ci95_half,pe_optical_energy_delta_pct_min,pe_optical_energy_delta_pct_max,pe_optical_energy_b2_mJ_mean,pe_optical_energy_b2_mJ_std,pe_optical_energy_b2_mJ_ci95_half,pe_optical_energy_b2_mJ_min,pe_optical_energy_b2_mJ_max,dvfs_b2_pct_mean,dvfs_b2_pct_std,dvfs_b2_pct_ci95_half,dvfs_b2_pct_min,dvfs_b2_pct_max,optical_margin_delta_dB_mean,optical_margin_delta_dB_std,optical_margin_delta_dB_ci95_half,optical_margin_delta_dB_min,optical_margin_delta_dB_max,optical_tuning_delta_pct_mean,optical_tuning_delta_pct_std,optical_tuning_delta_pct_ci95_half,optical_tuning_delta_pct_min,optical_tuning_delta_pct_max,elapsed_min_mean,elapsed_min_std,elapsed_min_ci95_half,elapsed_min_min,elapsed_min_max
GEMM,base,60,10,"40,41,42,43,44,45,46,47,48,49",7,10,-37.00740082897171,0.6099983155668514,0.4363664762677059,-37.90035835060056,-35.92275573917848,3.7795559502616976,0.036599898934011145,0.026181988576062402,3.7259784989639666,3.844634655649292,-1.8469040879750254,0.17607824375922995,0.1259587785996121,-2.2053658496400317,-1.619347474110043,53.08731326780502,0.17607824375922995,0.1259587785996121,52.72885150614002,53.314869881670006,-36.261353124082866,1.6681982569521776,1.1933570577579296,-38.885713597957924,-34.265661445084184,1.3662226877602526,0.03575743160608756,0.02557932379834894,1.3099701471744862,1.4089998627280593,0.0,0.0,0.0,0.0,0.0,-3.046277147958971,0.043724333732416826,0.031278501843464375,-3.1462979112163003,-2.998463518956851,116.73713000000001,0.05264628403051693,0.0376608801446236,116.61670000000001,116.7947,-40.588235294117645,6.620369810248677,4.735926923015763,-50.98039215686274,-32.35294117647059,62054.4,6914.843859408541,4946.580952551505,51200.0,70656.0,-62.72727272727273,2.874797872880346,2.0565063636363643,-63.63636363636363,-54.54545454545454,-3.472530817592995,0.029550281507149816,0.021138996428229563,-3.534921098987165,-3.4447348635335717,1.5163244278096162,0.0004641975395963664,0.0003320668917873531,1.515344355416367,1.5167610670843386,0.0,0.0,0.0,0.0,0.0,4.38430831767438,0.276530646803012,0.19781809366690867,3.6965628719279002,4.5878248352774005,-49.27031796944649,13.509184419016668,9.663887672704329,-66.61749531931005,-29.130534137226437,1.0779146944979827,0.32419409782043507,0.23191447006083973,0.4825910733236621,1.392460725006337
MPEG4,base,60,10,"40,41,42,43,44,45,46,47,48,49",10,10,-31.123022089386016,1.2425563574046838,0.8888712073587618,-33.06230665780061,-29.287038948624133,4.13261867463684,0.07455338144428104,0.05333227244152571,4.016261600531964,4.242777663082553,-2.1731164409040047,0.4080464050201522,0.29189879278090425,-2.630130366479989,-1.5670339446199932,52.27352230589603,0.4080464050201522,0.29189879278090425,51.816508380320045,52.87960480218004,-17.665613230600524,2.851389050992227,2.0397607024431785,-21.57358690197193,-12.954895676812539,1.0706630067602299,0.037079000580024654,0.026524717222535295,1.0198443512080955,1.1319204135137755,0.0,0.0,0.0,0.0,0.0,-0.3991483568021237,0.2634702827150715,0.18847527269447387,-0.7424434688649617,0.22749260874301847,121.58266,0.3216179106400034,0.23007157690287033,121.1636,122.34759999999999,-20.76190476190476,9.296764555033969,6.6505042490172,-29.52380952380952,-4.761904761904767,332800.0,39046.41113114267,27932.117845872242,296000.0,400000.0,-60.0,11.697126706435627,8.367619767279185,-72.72727272727273,-45.45454545454546,-0.4692489678835843,0.15737820481333298,0.11258157756044689,-0.6353432758444133,-0.07538016546322357,1.1275644068209612,0.0017829068937662638,0.0012754146673720158,1.125682756899805,1.1320264694293614,0.0,0.0,0.0,0.0,0.0,1.3343103202697202,2.1513539314178542,1.5389857812723775,-7.084049439942675e-05,4.5875811172373,-33.841627629810475,12.704998622212988,9.088607850677835,-50.36917568314519,-11.003217164808465,0.8826520459974805,0.29698483294910133,0.2124501359295148,0.5063180800061673,1.359473391653349
VOPD,base,60,10,"40,41,42,43,44,45,46,47,48,49",10,10,-11.881459238872852,1.7193799284604863,1.2299702172956206,-15.580478124723808,-9.281859195841857,4.405927038056357,0.08596899642302434,0.06149851086478105,4.2209760937638094,4.535907040207907,-0.2405689733929819,0.3810677498115862,0.2725994268525517,-0.7747782894799684,0.14893806011002653,51.98215023921702,0.3810677498115862,0.2725994268525517,51.447940923130034,52.37165727272003,-7.375226936702234,3.4874567558555434,2.4947760950364617,-12.653866127690838,-2.1466045283282664,0.9142935693298236,0.03442447608498409,0.024625784929598146,0.862188439055063,0.9659049869487715,0.0,0.0,0.0,0.0,0.0,-1.3958239349668478,0.9306798903864584,0.6657682389233518,-2.2747498402044486,0.05809729674062236,88.08597,0.8314033357990469,0.5947500751091608,87.3008,89.3848,-22.234957020057305,6.85812759820286,4.9060085863370135,-33.810888252149,-11.891117478510028,1085600.0,95739.46127091192,68487.87986526471,924000.0,1230000.0,-55.87301587301587,11.465743975095483,8.202098544404546,-71.42857142857143,-42.85714285714286,-1.1076557018216104,0.6279542779196192,0.44921139701571117,-1.7161502196693212,-0.11098128539624996,0.7424229242583389,0.004714294666813822,0.003372403003987864,0.7378547215067333,0.7499053430444169,0.0,0.0,0.0,0.0,0.0,2.478572858963801e-05,2.1319046426708435e-05,1.5250725992522607e-05,-7.184464299925253e-06,5.3657628699355087e-05,-17.684486150734273,11.24132273780894,8.041557274018635,-40.007181723927374,-0.6824113534993681,11.76144210600139,3.6819413601807183,2.633901989833125,6.453055601660163,19.464161368335287
HNN,base,60,10,"40,41,42,43,44,45,46,47,48,49",9,10,-14.404737690804525,3.2048712832108612,2.292626640200975,-18.689635308524068,-8.956447535438361,5.135715738551729,0.19229227699265172,0.13755759841205856,4.878621881488557,5.462613147873699,0.1184103086030234,0.6998134096523655,0.5006163194583846,-0.9396463429699793,1.215925729300011,55.78598655022302,0.6998134096523655,0.5006163194583846,54.72792989865002,56.88350197092001,-29.522435800570427,3.6436074556292355,2.6064795684528814,-34.21353394284669,-23.58507589675738,1.7297817761227372,0.08942769018318883,0.06397271115369427,1.614644765235826,1.8755066898106707,7.9,3.6040101122068027,2.5781533374160754,2.0,13.0,11.625855271147724,8.39690473534862,6.006783358925735,-2.6532093055075867,21.121959724629956,226.79865,17.060623217889134,12.204433760777178,197.7868,246.09259999999998,-23.022388059701495,4.6572917640067155,3.3316255867390097,-29.47761194029851,-12.313432835820892,1690009.6,102248.79147039125,73144.37384159678,1548288.0,1925120.0,-18.0,8.563488385776752,6.125950115105356,-35.0,-5.000000000000004,-2.9324310207916104,1.4083506434912092,1.0074732863459264,-5.185752911305929,-0.47469297157910484,4.514920348315842,0.0655068530584522,0.04686077635139056,4.410111203904614,4.629237536290297,3.3366583573679507,2.8046159454716233,2.0063012408032606,0.39769316666666665,8.497955613563537,0.4419926931174897,1.3968114720533065,0.9992186609626947,8.726195299946227e-05,4.4173878035886,-17.104332260267032,11.595329672597348,8.294798561356288,-32.04115900533521,4.48041979847269,1.4715754764992743,0.5616110170175785,0.40175229058026096,0.6747897083405405,2.2611870816598336
