pe,P_proxy_W,T_proxy_K
0,1.787323943661972,327.6396705960868
1,5.25774647887324,332.11751816204696
2,3.2746478873239435,329.53833535381233
3,3.2746478873239435,329.6225945134988
4,5.25774647887324,331.9727783115286
5,0.2999999999999998,326.23120977883184
6,0.3,326.425357023776
7,5.25774647887324,331.85100099184365
8,5.25774647887324,331.77863106658447
9,0.2999999999999998,326.2806171732577
10,3.2746478873239435,329.73639319850827
11,2.2830985915492956,328.2987317329142
12,0.2999999999999998,326.43886021840876
13,0.3,325.74367223309923
14,3.2746478873239435,329.34650966404104
15,0.3,326.02368014012217
