benchmark,seed,run_type,configured_generations,actual_generations,converged,elapsed_min,cost_baseline,cost_b2,cost_delta_pct,tmax_baseline_C,tmax_b2_C,tmax_delta_C,sigma_baseline_K,sigma_b2_K,sigma_delta_pct,hot_baseline,hot_b2,makespan_baseline_us,makespan_b2_us,makespan_delta_pct,comm_baseline,comm_b2,comm_delta_pct,pe_optical_energy_baseline_mJ,pe_optical_energy_b2_mJ,pe_optical_energy_delta_pct
MPEG4,46,base,60,45,True,0.9936137766577303,1.1,0.17298701298701297,-84.27390791027155,54.44663874680003,51.619562557639995,-2.8270761891600387,1.3003837749577485,1.0839434274431687,-16.64434389929329,2,0,122.06989999999999,147.9876,21.23185158667289,420000.0,48000.0,-88.57142857142857,1.1328804365769536,1.2695412507948063,12.063127741068524
MPEG4,47,base,60,60,True,1.3297929916686069,1.1,0.1882251082251082,-82.88862652499016,54.44663874680003,54.15384826080003,-0.29279048600000124,1.3003837749577485,1.3793308618017786,6.071060587217425,2,1,122.06989999999999,148.0318,21.26806034902955,420000.0,64000.0,-84.76190476190476,1.1328804365769536,1.2727421804665184,12.345675622412822
MPEG4,48,base,60,60,False,1.319554151656727,1.1,0.1971861471861472,-82.07398661944116,54.44663874680003,51.546241010890014,-2.900397735910019,1.3003837749577485,1.088929245267427,-16.260932638689063,2,0,122.06989999999999,193.0982,58.18657998409109,420000.0,40000.0,-90.47619047619048,1.1328804365769536,1.5119760805796398,33.46298795203313
MPEG4,49,base,60,27,True,0.5875337933345387,1.1,0.28995670995670997,-73.64029909484455,54.44663874680003,54.5653003173,0.11866157049996673,1.3003837749577485,1.2435260185320696,-4.372382793496965,2,2,122.06989999999999,141.8722,16.22209897771687,420000.0,104000.0,-75.23809523809524,1.1328804365769536,1.2399692075876174,9.452786680140512
VOPD,40,base,60,58,True,15.838483456661924,1.1,0.26201846545686086,-76.18013950392174,52.22271921261,52.41688096908001,0.19416175647000955,0.9870939912641029,1.0515860456902824,6.533527201760081,0,0,89.3329,99.0121,10.834977930863099,1396000.0,294000.0,-78.93982808022922,0.7507385223064373,0.7994721505502477,6.491425016274599
VOPD,41,base,60,39,True,10.045091463346035,1.1,0.23164597262018463,-78.94127521634685,52.22271921261,52.620186095850045,0.39746688324004253,0.9870939912641029,1.1316498679796623,14.64459088950958,0,0,89.3329,104.44409999999999,16.915604441364817,1396000.0,188000.0,-86.53295128939828,0.7507385223064373,0.8288953071313089,10.410653310390462
VOPD,42,base,60,41,True,16.45906455833465,1.1,0.3667621776504298,-66.65798384996093,52.22271921261,52.63239211616002,0.4096729035500175,0.9870939912641029,1.1505190317672904,16.556178231203745,0,0,89.3329,100.4084,12.398007900784602,1396000.0,582000.0,-58.309455587392556,0.7507385223064373,0.8076994155577091,7.587314565432868
VOPD,43,base,60,32,True,8.674803861665229,1.1,0.2396688952562878,-78.21191861306474,52.22271921261,53.51705151394003,1.29433230133003,0.9870939912641029,1.0833480058104907,9.751251187652542,0,0,89.3329,98.9161,10.727514723019183,1396000.0,216000.0,-84.5272206303725,0.7507385223064373,0.7990430327833671,6.434265598697064
VOPD,44,base,60,47,True,13.966932043340057,1.1,0.22225405921680993,-79.79508552574455,52.22271921261,52.106017533440024,-0.11670167916997798,0.9870939912641029,1.0937324383492464,10.8032718291172,0,0,89.3329,103.6583,16.035973308825756,1396000.0,194000.0,-86.10315186246417,0.7507385223064373,0.8238070026464936,9.732880113248154
VOPD,45,base,60,48,True,10.608104491668444,1.1,0.23164597262018463,-78.94127521634685,52.22271921261,51.575026015540004,-0.647693197069998,0.9870939912641029,0.9594775778196063,-2.797749119020587,0,0,89.3329,104.3941,16.85963402061279,1396000.0,188000.0,-86.53295128939828,0.7507385223064373,0.827501475503208,10.224991913421144
