benchmark,mode,original_cost,thermal_greedy_cost,original_proxy_score,thermal_greedy_proxy_score,elapsed_s
gemm,full,6.000000000000001,5.271200745804903,2.8153330552113336,2.7544682164393968,0.9589189999969676
mpeg4,full,6.000000000000001,4.543809914122519,2.5543692218853606,2.5267254394402356,1.1347266999982821
vopd,full,5.0,4.790312799911725,1.869862479784082,1.8336576197327776,0.9514215999988664
hnn,full,6.000000000000001,5.854437379221294,2.2801805482768165,1.1110039776703504,1.6066542000007757
