pe,P_proxy_W,T_proxy_K
0,0.3,321.2240089077446
1,2.5,323.83376377154804
2,0.3,322.00355767825243
3,0.3,321.2205422946895
4,0.3,321.18480899170976
5,0.3,321.3246802338282
6,0.3,321.3212076389909
7,2.5,323.8373016977023
8,2.5,323.836422226752
9,0.3,321.32027413124894
10,0.3,321.3247459203217
11,0.3,321.184816827559
12,0.3,322.9491113892831
13,0.3,321.18871727733983
14,2.5,323.8325217769712
15,0.3,322.8630091550527
