seed,workload,original_run_ok,original_valid_for_cost,thermal_sa_tas_run_ok,thermal_sa_tas_valid_for_cost,original_T_max_C,thermal_sa_tas_T_max_C,thermal_sa_tas_makespan_us,thermal_sa_tas_energy_mJ,history_rows,history_best_field,history_all_best_inf,history_inf_count,valid,validity_notes
40,GEMM,True,True,True,True,54.93421735578005,54.30951881033002,167.5326,1.791637079672102,4305,best_score,False,0,True,
40,MPEG4,True,True,True,True,54.44663874680003,52.975532528030044,121.2596,1.1266374271938753,4277,best_score,False,0,True,
40,VOPD,True,True,True,True,52.22271921261,52.393688915220025,87.3506,0.7373896456070562,7000,best_score,False,0,True,
40,HNN,True,True,True,True,55.66757624162,58.34023718635001,203.374886,4.709429218059479,12000,best_score,False,0,True,
41,GEMM,True,True,True,True,54.93421735578005,53.49392932185003,166.3948,1.7819086764823213,4281,best_score,False,0,True,
41,MPEG4,True,True,True,True,54.44663874680003,52.919068093160035,122.2516,1.131739547221375,5000,best_score,False,0,True,
41,VOPD,True,True,True,True,52.22271921261,51.880627048630004,88.4387,0.7433498457077405,7000,best_score,False,0,True,
41,HNN,True,True,True,True,55.66757624162,57.03633852473001,197.3466,4.553272346628479,12000,best_score,False,0,True,
42,GEMM,True,True,True,True,54.93421735578005,54.30952825798005,167.2726,1.7911839485846508,3460,best_score,False,0,True,
42,MPEG4,True,True,True,True,54.44663874680003,53.71005748035003,122.3616,1.1329406837598828,4637,best_score,False,0,True,
42,VOPD,True,True,True,True,52.22271921261,52.145035321130024,90.6447,0.7563155048332689,7000,best_score,False,0,True,
42,HNN,True,True,True,True,55.66757624162,57.09582425238,221.4346,4.671189283473434,12000,best_score,False,0,True,
43,GEMM,True,True,True,True,54.93421735578005,54.36354211567004,166.7288,1.7852870144087627,4055,best_score,False,0,True,
43,MPEG4,True,True,True,True,54.44663874680003,54.168001990280004,122.0218,1.1313269309563656,4699,best_score,False,0,True,
43,VOPD,True,True,True,True,52.22271921261,52.16504637853001,88.43660000000001,0.7431498320199539,7000,best_score,False,0,True,
43,HNN,True,True,True,True,55.66757624162,56.780015583220006,201.0487,4.567124777657116,12000,best_score,False,0,True,
44,GEMM,True,True,True,True,54.93421735578005,54.31666167313,166.7449,1.7880135761868365,2835,best_score,False,0,True,
44,MPEG4,True,True,True,True,54.44663874680003,52.77423413935003,122.0437,1.1313526232230064,4192,best_score,False,0,True,
44,VOPD,True,True,True,True,52.22271921261,52.423207530970046,88.53659999999999,0.7443149807554051,7000,best_score,False,0,True,
44,HNN,True,True,True,True,55.66757624162,57.72782251301004,203.183434,4.588661128693923,12000,best_score,False,0,True,
45,GEMM,True,True,True,True,54.93421735578005,52.761829627810016,116.859,1.5165689116088634,4764,best_score,False,0,True,
45,MPEG4,True,True,True,True,54.44663874680003,53.715750568600015,122.1698,1.132411983116744,5000,best_score,False,0,True,
45,VOPD,True,True,True,True,52.22271921261,53.180842077449995,88.7347,0.7456217962816204,7000,best_score,False,0,True,
45,HNN,True,True,True,True,55.66757624162,57.21153420318001,199.4927,4.539613459809941,12000,best_score,False,0,True,
46,GEMM,True,True,True,True,54.93421735578005,53.360165590270014,116.8887,1.516936377382047,3348,best_score,False,0,True,
46,MPEG4,True,True,True,True,54.44663874680003,53.70926430856002,122.22479999999999,1.1333515436947859,3347,best_score,False,0,True,
46,VOPD,True,True,True,True,52.22271921261,52.36229026862003,87.45479999999999,0.7384520006068716,7000,best_score,False,0,True,
46,HNN,True,True,True,True,55.66757624162,57.92740454448,229.7209,4.819974016167746,12000,best_score,False,0,True,
47,GEMM,True,True,True,True,54.93421735578005,52.880850488240014,176.2609,1.8357257494872248,5000,best_score,False,0,True,
47,MPEG4,True,True,True,True,54.44663874680003,52.800935053080025,121.40169999999999,1.1276037253202889,3888,best_score,False,0,True,
47,VOPD,True,True,True,True,52.22271921261,52.201446383250016,88.43270000000001,0.7442002816016512,7000,best_score,False,0,True,
47,HNN,True,True,True,True,55.66757624162,58.03115736024,224.3627,4.731398089802877,12000,best_score,False,0,True,
48,GEMM,True,True,True,True,54.93421735578005,53.37376283899005,165.8607,1.7799609842987458,3756,best_score,False,0,True,
48,MPEG4,True,True,True,True,54.44663874680003,52.72166136687002,121.9936,1.1307029550414762,3773,best_score,False,0,True,
48,VOPD,True,True,True,True,52.22271921261,51.868615961700016,87.6008,0.7393152428397652,7000,best_score,False,0,True,
48,HNN,True,True,True,True,55.66757624162,57.59181707877002,204.48880000000003,4.576220637563902,12000,best_score,False,0,True,
49,GEMM,True,True,True,True,54.93421735578005,53.23211550928005,166.2488,1.7805178080330488,4341,best_score,False,0,True,
49,MPEG4,True,True,True,True,54.44663874680003,52.83043863356005,121.6477,1.1283845356102296,5000,best_score,False,0,True,
49,VOPD,True,True,True,True,52.22271921261,51.623603892660014,87.5947,0.7393304787822916,7000,best_score,False,0,True,
49,HNN,True,True,True,True,55.66757624162,56.83766257422002,199.6506,4.525268221483814,12000,best_score,False,0,True,
