seed,workload,preset,iterations,converged,valid,validity_notes,original_TR2_composite_cost,thermal_sa_tas_TR2_composite_cost,TR2_composite_cost_delta,TR2_composite_cost_relative_change_pct,original_T_max_C,thermal_sa_tas_T_max_C,T_max_C_delta,T_max_C_relative_change_pct,original_sigma_T_K,thermal_sa_tas_sigma_T_K,sigma_T_K_delta,sigma_T_K_relative_change_pct,original_N_hot,thermal_sa_tas_N_hot,N_hot_delta,N_hot_relative_change_pct,original_makespan_us,thermal_sa_tas_makespan_us,makespan_us_delta,makespan_us_relative_change_pct,original_DVFS_penalty_pct,thermal_sa_tas_DVFS_penalty_pct,DVFS_penalty_pct_delta,DVFS_penalty_pct_relative_change_pct,original_comm_cost,thermal_sa_tas_comm_cost,comm_cost_delta,comm_cost_relative_change_pct,original_congestion_proxy,thermal_sa_tas_congestion_proxy,congestion_proxy_delta,congestion_proxy_relative_change_pct,original_load_imbalance,thermal_sa_tas_load_imbalance,load_imbalance_delta,load_imbalance_relative_change_pct,original_total_PE_optical_energy_mJ,thermal_sa_tas_total_PE_optical_energy_mJ,total_PE_optical_energy_mJ_delta,total_PE_optical_energy_mJ_relative_change_pct,history_rows,history_best_field,history_all_best_inf,history_inf_count
40,GEMM,v2_dynamic_thermal,4305,True,True,,6.000000000000001,5.629589834537457,-0.3704101654625438,-6.173502757709063,54.93421735578005,54.30951881033002,-0.6246985454500305,-1.1371756539356634,2.1434761400252804,1.4935925797902843,-0.6498835602349962,-30.31914132840925,6.0,1.0,-5.0,-83.33333333333334,120.405,167.5326,47.1276,39.14089946430796,1.8350526805555563,0.06137375,-1.7736789305555563,-96.65547748844904,104448.0,123904.0,19456.0,18.627450980392158,22528.0,24576.0,2048.0,9.090909090909092,0.9202539178734378,1.8597500495933346,0.9394961317198968,102.09096788100882,1.5708734939939561,1.791637079672102,0.2207635856781458,14.053555968842083,4305,best_score,False,0
40,MPEG4,v2_dynamic_thermal,4277,True,True,,6.000000000000001,4.784364191150023,-1.215635808849978,-20.260596814166295,54.44663874680003,52.975532528030044,-1.4711062187699895,-2.701922933408722,1.3003837749577485,1.1814596545058882,-0.1189241204518603,-9.145309464948093,2.0,0.0,-2.0,-100.0,122.06989999999999,121.2596,-0.8102999999999838,-0.6638000031129574,0.07168423611111063,0.0,-0.07168423611111063,-100.0,420000.0,424000.0,4000.0,0.9523809523809524,88000.0,80000.0,-8000.0,-9.090909090909092,0.5670623064060744,0.8565280557002275,0.28946574929415314,51.04655097404167,1.1328804365769536,1.1266374271938753,-0.006243009383078313,-0.5510739864077653,4277,best_score,False,0
40,VOPD,vopd_steady_sigma,7000,True,True,,5.0,4.500405935446183,-0.4995940645538166,-9.991881291076332,52.22271921261,52.393688915220025,0.17096970261002298,0.32738567655576933,0.9870939912641029,0.9854874394923582,-0.0016065517717447353,-0.16275570370835057,0.0,0.0,0.0,,89.3329,87.3506,-1.982299999999995,-2.2190033011354107,0.0,0.0,0.0,,1396000.0,824000.0,-572000.0,-40.97421203438395,252000.0,136000.0,-116000.0,-46.03174603174603,0.35802469135802467,0.35802469135802467,0.0,0.0,0.7507385223064373,0.7373896456070562,-0.013348876699381118,-1.7780993385513735,7000,best_score,False,0
40,HNN,hnn_dynamic_score,12000,True,True,,6.000000000000001,5.862669780607964,-0.1373302193920365,-2.2888369898672747,55.66757624162,58.34023718635001,2.672660944730012,4.8011088773284705,2.454372247071413,1.9855884323231316,-0.46878381474828124,-19.099947667173954,16.0,13.0,-3.0,-18.75,203.177525,203.374886,0.19736100000000079,0.09713722027079559,11.14198573637825,10.995803817744815,-0.14618191863343633,-1.3119916152482294,2195456.0,2097152.0,-98304.0,-4.477611940298507,163840.0,147456.0,-16384.0,-10.0,0.3028095733610822,0.3048907388137357,0.002081165452653466,0.687285223367691,4.651317011228462,4.709429218059479,0.0581122068310167,1.2493710209545286,12000,best_score,False,0
41,GEMM,v2_dynamic_thermal,4281,True,True,,6.000000000000001,5.079304893047821,-0.9206951069521798,-15.344918449202996,54.93421735578005,53.49392932185003,-1.4402880339300168,-2.6218413645579552,2.1434761400252804,1.4180888013352098,-0.7253873386900707,-33.84163346373967,6.0,0.0,-6.0,-100.0,120.405,166.3948,45.9898,38.195922096258464,1.8350526805555563,0.0,-1.8350526805555563,-100.0,104448.0,88064.0,-16384.0,-15.686274509803921,22528.0,13312.0,-9216.0,-40.909090909090914,0.9202539178734378,2.6976790319381077,1.7774251140646697,193.1450743694762,1.5708734939939561,1.7819086764823213,0.21103518248836517,13.434257010206904,4281,best_score,False,0
41,MPEG4,v2_dynamic_thermal,5000,True,True,,6.000000000000001,4.484225016396434,-1.515774983603567,-25.262916393392782,54.44663874680003,52.919068093160035,-1.527570653639998,-2.8056289401882997,1.3003837749577485,1.0888352795032556,-0.21154849545449284,-16.26815864119547,2.0,0.0,-2.0,-100.0,122.06989999999999,122.2516,0.1817000000000064,0.14884914299102928,0.07168423611111063,0.0,-0.07168423611111063,-100.0,420000.0,420000.0,0.0,0.0,88000.0,56000.0,-32000.0,-36.36363636363637,0.5670623064060744,0.7424960938570763,0.1754337874510019,30.93730362063132,1.1328804365769536,1.131739547221375,-0.001140889355578656,-0.10070695183208402,5000,best_score,False,0
41,VOPD,vopd_steady_sigma,7000,True,True,,5.0,4.4203141255983835,-0.5796858744016165,-11.593717488032329,52.22271921261,51.880627048630004,-0.34209216397999853,-0.6550638671021078,0.9870939912641029,0.9192954242265998,-0.06779856703750309,-6.868501645996057,0.0,0.0,0.0,,89.3329,88.4387,-0.8941999999999979,-1.000975004729498,0.0,0.0,0.0,,1396000.0,884000.0,-512000.0,-36.67621776504298,252000.0,144000.0,-108000.0,-42.857142857142854,0.35802469135802467,0.35802469135802467,0.0,0.0,0.7507385223064373,0.7433498457077405,-0.007388676598696797,-0.9841877536798197,7000,best_score,False,0
41,HNN,hnn_dynamic_score,12000,True,True,,6.000000000000001,5.461764203443082,-0.5382357965569184,-8.970596609281973,55.66757624162,57.03633852473001,1.3687622831100157,2.4588142245838562,2.454372247071413,1.8759245891144185,-0.5784476579569944,-23.568049168059378,16.0,12.0,-4.0,-25.0,203.177525,197.3466,-5.830925000000008,-2.869867127281921,11.14198573637825,8.290044630609044,-2.851941105769207,-25.59634497159428,2195456.0,1515520.0,-679936.0,-30.970149253731343,163840.0,163840.0,0.0,0.0,0.3028095733610822,0.2882414151925078,-0.01456815816857443,-4.810996563573893,4.651317011228462,4.553272346628479,-0.09804466459998373,-2.1078903967048483,12000,best_score,False,0
42,GEMM,v2_dynamic_thermal,3460,True,True,,6.000000000000001,5.305345797973735,-0.6946542020262658,-11.577570033771096,54.93421735578005,54.30952825798005,-0.624689097800001,-1.1371584558203827,2.1434761400252804,1.517985574722255,-0.6254905653030254,-29.18113029686667,6.0,1.0,-5.0,-83.33333333333334,120.405,167.2726,46.86760000000001,38.924961587973925,1.8350526805555563,0.0555896195652175,-1.7794630609903388,-96.97067990721727,104448.0,72704.0,-31744.0,-30.392156862745097,22528.0,20480.0,-2048.0,-9.090909090909092,0.9202539178734378,1.8216623685776632,0.9014084507042254,97.95214485880578,1.5708734939939561,1.7911839485846508,0.22031045459069465,14.024710164951212,3460,best_score,False,0
42,MPEG4,v2_dynamic_thermal,4637,True,True,,6.000000000000001,4.751908730696307,-1.2480912693036936,-20.801521155061558,54.44663874680003,53.71005748035003,-0.7365812664500027,-1.352849842348245,1.3003837749577485,1.136873742645858,-0.16351003231189054,-12.573982808821437,2.0,0.0,-2.0,-100.0,122.06989999999999,122.3616,0.29170000000000584,0.2389614474985282,0.07168423611111063,0.0,-0.07168423611111063,-100.0,420000.0,504000.0,84000.0,20.0,88000.0,72000.0,-16000.0,-18.181818181818183,0.5670623064060744,0.5670623064060744,0.0,0.0,1.1328804365769536,1.1329406837598828,6.024718292918507e-05,0.0053180530781539925,4637,best_score,False,0
