workload,metric,metric_label,unit,n,valid_count,original_mean,original_std,original_ci95_half,original_min,original_max,thermal_sa_tas_mean,thermal_sa_tas_std,thermal_sa_tas_ci95_half,thermal_sa_tas_min,thermal_sa_tas_max,delta_mean,delta_std,delta_ci95_half,delta_min,delta_max,relative_change_pct_mean,relative_change_pct_std,relative_change_pct_ci95_half,relative_change_pct_min,relative_change_pct_max
GEMM,TR2_composite_cost,TR2 composite cost,cost,10,10,6.000000000000001,0.0,0.0,6.000000000000001,6.000000000000001,5.025544895051056,0.5194183999904566,0.3715695395120086,4.175246227443791,5.673327095517712,-0.9744551049489443,0.5194183999904566,0.3715695395120086,-1.8247537725562095,-0.3266729044822885,-16.240918415815734,8.656973333174275,6.192825658533476,-30.41256287593682,-5.44454840803814
GEMM,T_max_C,T_max,C,10,10,54.93421735578005,0.0,0.0,54.93421735578005,54.93421735578005,53.64019042335503,0.6291347217845852,0.45005586800315317,52.761829627810016,54.36354211567004,-1.2940269324250209,0.6291347217845852,0.45005586800315317,-2.172387727970033,-0.5706752401100061,-2.3555936440202445,1.1452510876964175,0.8192632746333272,-3.954525671860618,-1.0388338408719697
GEMM,sigma_T_K,sigma_T,K,10,10,2.1434761400252804,0.0,0.0,2.1434761400252804,2.1434761400252804,1.3798370358487984,0.10783915983964251,0.07714348772341155,1.2311023928438727,1.517985574722255,-0.7636391041764822,0.10783915983964251,0.07714348772341155,-0.9123737471814077,-0.6254905653030254,-35.626200353574994,5.031040832503535,3.598989803660782,-42.56514593955998,-29.18113029686667
GEMM,N_hot,N_hot,count,10,10,6.0,0.0,0.0,6.0,6.0,0.4,0.5163977794943223,0.3694087177798371,0.0,1.0,-5.6,0.5163977794943223,0.3694087177798371,-6.0,-5.0,-93.33333333333334,8.606629658238699,6.1568119629972795,-100.0,-83.33333333333334
GEMM,makespan_us,makespan,us,10,10,120.405,0.0,0.0,120.405,120.405,157.67918,21.717823849230896,15.535995272808798,116.859,176.2609,37.27418,21.717823849230896,15.535995272808798,-3.5460000000000065,55.85589999999999,30.957335658818153,18.037310617691038,12.90311471517694,-2.945060421078864,46.39001702587101
GEMM,DVFS_penalty_pct,DVFS penalty,%,10,10,1.8350526805555563,0.0,0.0,1.8350526805555563,1.8350526805555563,0.03457193695652175,0.04847495585618982,0.03467689443747147,0.0,0.12066225,-1.8004807435990344,0.048474955856189855,0.034676894437471496,-1.8350526805555563,-1.7143904305555562,-98.11602482463582,2.641611130287234,1.8896947648921527,-100.0,-93.4245893167781
GEMM,comm_cost,comm cost,byte-hop,10,10,104448.0,0.0,0.0,104448.0,104448.0,101273.6,18415.874427605475,13173.92295094295,72704.0,129024.0,-3174.4,18415.874427605475,13173.92295094295,-31744.0,24576.0,-3.0392156862745097,17.631619971282817,12.612901109588456,-30.392156862745097,23.52941176470588
GEMM,congestion_proxy,congestion proxy,byte-hop,10,10,22528.0,0.0,0.0,22528.0,22528.0,17305.6,4248.194680619574,3038.975402612194,10240.0,24576.0,-5222.4,4248.194680619574,3038.975402612194,-12288.0,2048.0,-23.18181818181818,18.857398262693422,13.489770075515779,-54.54545454545454,9.090909090909092
GEMM,load_imbalance,load imbalance,ratio,10,10,0.9202539178734378,0.0,0.0,0.9202539178734378,0.9202539178734378,1.9079944455465185,0.7083656400621888,0.5067342525580008,0.8059908748264233,2.9515969053759177,0.9877405276730807,0.7083656400621888,0.5067342525580008,-0.11426304304701451,2.0313429875024798,107.33347704246606,76.9750202964754,55.0646123549231,-12.416469066609187,220.73722785082995
GEMM,total_PE_optical_energy_mJ,total PE+optical energy,mJ,10,10,1.5708734939939561,0.0,0.0,1.5708734939939561,1.5708734939939561,1.7367740126144604,0.11708282544344506,0.08375600774940796,1.5165689116088634,1.8357257494872248,0.16590051862050417,0.11708282544344506,0.08375600774940796,-0.054304582385092726,0.26485225549326863,10.561036216780321,7.4533580133026,5.331811127352958,-3.456967260108449,16.860189983846503
MPEG4,TR2_composite_cost,TR2 composite cost,cost,10,10,6.000000000000001,0.0,0.0,6.000000000000001,6.000000000000001,4.919120942636016,0.3048239402254347,0.21805791073993877,4.484225016396434,5.526586765851798,-1.0808790573639853,0.3048239402254347,0.21805791073993877,-1.515774983603567,-0.4734132341482029,-18.01465095606642,5.080399003757245,3.634298512332313,-25.262916393392782,-7.890220569136713
MPEG4,T_max_C,T_max,C,10,10,54.44663874680003,0.0,0.0,54.44663874680003,54.44663874680003,53.232494416184025,0.5319980821099737,0.3805685019908932,52.72166136687002,54.168001990280004,-1.2141443306160056,0.5319980821099737,0.3805685019908932,-1.72497737993001,-0.2786367565200294,-2.229971139747105,0.9770999539273497,0.6989751998478697,-3.168198110358817,-0.5117611719169819
MPEG4,sigma_T_K,sigma_T,K,10,10,1.3003837749577485,0.0,0.0,1.3003837749577485,1.3003837749577485,1.157506774343515,0.06865981556914717,0.04911627322881936,1.0735977666197727,1.2721946706009017,-0.14287700061423342,0.06865981556914717,0.04911627322881936,-0.2267860083379758,-0.02818910435684674,-10.987294932903612,5.279965567963044,3.777059832234159,-17.439929096727187,-2.167752697296046
MPEG4,N_hot,N_hot,count,10,10,2.0,0.0,0.0,2.0,2.0,0.1,0.31622776601683794,0.22621571627409914,0.0,1.0,-1.9,0.31622776601683794,0.22621571627409914,-2.0,-1.0,-95.0,15.811388300841896,11.310785813704957,-100.0,-50.0
MPEG4,makespan_us,makespan,us,10,10,122.06989999999999,0.0,0.0,122.06989999999999,122.06989999999999,121.93759,0.3752288707501635,0.26842256400391457,121.2596,122.3616,-0.13230999999999254,0.3752288707501635,0.26842256400391457,-0.8102999999999838,0.29170000000000584,-0.10838871826715069,0.30738852964585334,0.21989250749276815,-0.6638000031129574,0.2389614474985282
MPEG4,DVFS_penalty_pct,DVFS penalty,%,10,10,0.07168423611111063,0.0,0.0,0.07168423611111063,0.07168423611111063,0.0005636875,0.0017825363885661631,0.0012751497156725626,0.0,0.0056368749999999995,-0.07112054861111064,0.0017825363885661631,0.0012751497156725626,-0.07168423611111063,-0.06604736111111063,-99.21365207948051,2.4866504621786456,1.7788425808096495,-100.0,-92.1365207948051
MPEG4,comm_cost,comm cost,byte-hop,10,10,420000.0,0.0,0.0,420000.0,420000.0,471600.0,63984.72039826731,45771.911612344935,404000.0,616000.0,51600.0,63984.72039826731,45771.911612344935,-16000.0,196000.0,12.285714285714285,15.234457237682692,10.89807419341546,-3.8095238095238098,46.666666666666664
MPEG4,congestion_proxy,congestion proxy,byte-hop,10,10,88000.0,0.0,0.0,88000.0,88000.0,88800.0,27635.725670467444,19769.407209379664,56000.0,136000.0,800.0,27635.725670467444,19769.407209379664,-32000.0,48000.0,0.9090909090909085,31.404233716440277,22.465235465204163,-36.36363636363637,54.54545454545454
MPEG4,load_imbalance,load imbalance,ratio,10,10,0.5670623064060744,0.0,0.0,0.5670623064060744,0.5670623064060744,0.7688111619747265,0.16554264109108072,0.11842207153413264,0.5670623064060744,1.0538910665826047,0.20174885556865219,0.16554264109108072,0.11842207153413264,0.0,0.4868287601765303,35.577899163726016,29.19302503815786,20.883432066692578,0.0,85.85101754725191
