pe,P_proxy_W,T_proxy_K
0,0.3,322.9719092256788
1,2.5,322.5906083632051
2,0.3,323.1986235723384
3,2.5,322.4242138100347
4,0.3,322.47162068651016
5,0.3,323.14222299131836
6,0.3,322.45810155579426
7,0.3,323.32773851178627
8,0.3,322.98911689281715
9,2.5,323.1734269457667
10,0.3,323.408511157496
11,2.5,322.74507064786513
12,0.3,322.6281072083191
13,2.5,323.1774005067069
14,0.3,322.7681293045169
15,2.5,323.2415445416916
