# Thermal-SA-TAS-Mapping remapped
# Optimized static mapping — 32 mappable tasks
0, -1, 0, 8192, 1:14, 2:9, 3:12, 4:9
1, 14, 20000, 8192, 5:11, 6:11
2, 9, 20000, 8192, 7:9, 8:11
3, 12, 20000, 8192, 9:3, 10:1
4, 9, 20000, 8192, 11:13, 12:15
5, 11, 30000, 16384, 13:12, 14:6
6, 11, 30000, 16384, 15:3, 16:14
7, 9, 30000, 16384, 17:12, 18:6
8, 11, 30000, 16384, 19:6, 20:14
9, 3, 30000, 16384, 21:12, 22:11
10, 1, 30000, 16384, 23:0, 24:4
11, 13, 30000, 16384, 25:11, 26:3
12, 15, 30000, 16384, 27:11, 28:6
13, 12, 50000, 32768, 29:14
14, 6, 50000, 32768, 29:14
15, 3, 50000, 32768, 30:2
16, 14, 50000, 32768, 30:2
17, 12, 50000, 32768, 31:12
18, 6, 50000, 32768, 31:12
19, 6, 50000, 32768, 32:3
20, 14, 50000, 32768, 32:3
21, 12, 50000, 32768, 29:14
22, 11, 50000, 32768, 30:2
23, 0, 50000, 32768, 31:12
24, 4, 50000, 32768, 32:3
25, 11, 50000, 32768, 31:12
26, 3, 50000, 32768, 32:3
27, 11, 50000, 32768, 29:14
28, 6, 50000, 32768, 30:2
29, 14, 30000, 8192, -1:-1
30, 2, 30000, 8192, -1:-1
31, 12, 30000, 8192, -1:-1
32, 3, 30000, 8192, -1:-1
