benchmark,mode,original_cost,thermal_greedy_cost,original_proxy_score,thermal_greedy_proxy_score,elapsed_s
gemm,full,6.000000000000001,5.27109923107105,2.8134267121837917,2.7526680969900745,0.9824990999986767
mpeg4,full,6.000000000000001,4.952727262676811,2.553009225429561,2.5289142983750237,0.9949607999988075
vopd,full,5.0,5.0241127073044165,1.8663190711625686,1.8325504879331986,0.935352000000421
hnn,full,6.000000000000001,5.947473777797949,2.279808363427132,1.114469592815761,1.5104854000019259
