benchmark,seed,run_type,configured_generations,actual_generations,converged,elapsed_min,cost_baseline,cost_b2,cost_delta_pct,tmax_baseline_C,tmax_b2_C,tmax_delta_C,sigma_baseline_K,sigma_b2_K,sigma_delta_pct,hot_baseline,hot_b2,makespan_baseline_us,makespan_b2_us,makespan_delta_pct,comm_baseline,comm_b2,comm_delta_pct,pe_optical_energy_baseline_mJ,pe_optical_energy_b2_mJ,pe_optical_energy_delta_pct
VOPD,47,base,60,38,True,10.909094501674796,3.0,2.433824467147129,-18.872517761762364,52.22271921261,53.81822223450001,1.5955030218900106,0.9870939912641029,1.0890695761956353,10.330889037318446,0,0,89.3329,87.4806,-2.0734802071801117,1396000.0,746000.0,-46.56160458452722,0.7507385223064373,0.7382701713296005,-1.6608114018888065
VOPD,48,base,60,53,True,12.9045695183333,3.0,2.3458075792441266,-21.806414025195775,52.22271921261,52.02479913984001,-0.19792007276998902,0.9870939912641029,0.9642019050098346,-2.319139459551567,0,0,89.3329,88.44069999999999,-0.9987361878994183,1396000.0,916000.0,-34.38395415472779,0.7507385223064373,0.7437239670706473,-0.9343539764337438
VOPD,49,base,60,39,True,10.092812773336966,3.0,2.4264400320959063,-19.11866559680312,52.22271921261,53.03562045102001,0.8129012384100065,0.9870939912641029,1.060240483534718,7.410286448703962,0,0,89.3329,87.3026,-2.272734905057372,1396000.0,762000.0,-45.41547277936962,0.7507385223064373,0.7371205723958546,-1.8139404740741605
HNN,40,base,60,52,True,1.7382246716724088,3.4,2.8378916862288652,-16.532597463856902,55.66757624162,56.16319521118004,0.4956189695600415,2.454372247071413,1.7804445728788185,-27.45825027139763,16,13,203.177525,196.75660000000002,-3.160253576275218,2195456.0,1556480.0,-29.104477611940293,4.651317011228462,4.432983226101985,-4.694020738629745
HNN,41,base,60,51,True,1.7265394999956092,3.4,2.873008522755603,-15.49974933071756,55.66757624162,56.222145015770025,0.5545687741500274,2.454372247071413,1.7694726618529322,-27.90528559943225,16,12,203.177525,203.73059999999998,0.2722126869101116,2195456.0,1564672.0,-28.73134328358209,4.651317011228462,4.4599609323250355,-4.114019286182513
HNN,42,base,60,46,True,1.5588790366736551,3.4,2.8693522615775136,-15.60728642419078,55.66757624162,57.08564778955002,1.418071547930026,2.454372247071413,1.8212632403069984,-25.79515016598839,16,12,203.177525,199.95669999999998,-1.5852270077608366,2195456.0,1515520.0,-30.97014925373134,4.651317011228462,4.4939883348572085,-3.3824543885410563
HNN,43,base,60,36,True,1.2161343999983123,3.4,2.9437518059176275,-13.41906453183448,55.66757624162,57.71714632305003,2.0495700814300335,2.454372247071413,1.7831979126311708,-27.346069254209326,16,12,203.177525,201.5607,-0.7957696108366386,2195456.0,1531904.0,-30.22388059701493,4.651317011228462,4.609601207921504,-0.89686003354007
HNN,44,base,60,46,True,1.568090663322558,3.4,2.78171437214399,-18.184871407529712,55.66757624162,57.53629346579004,1.868717224170041,2.454372247071413,1.9206632084737645,-21.745236046996396,16,12,203.177525,209.3788,3.052146146577983,2195456.0,1302528.0,-40.67164179104478,4.651317011228462,4.596367987350176,-1.1813648423798617
HNN,45,base,60,60,False,2.026778834996124,3.4,2.8361725185169773,-16.583161220088904,55.66757624162,57.67754472321002,2.009968481590022,2.454372247071413,1.9434847860362767,-20.81540245758292,16,13,203.177525,202.28410499999998,-0.43972383264341275,2195456.0,1343488.0,-38.80597014925373,4.651317011228462,4.514021928502507,-2.951746406330058
HNN,46,base,60,59,True,1.9903683600015938,3.4,2.870752691426389,-15.566097310988559,55.66757624162,56.84772397298002,1.180147731360023,2.454372247071413,1.9434112745447458,-20.81839758155479,16,11,203.177525,201.918424,-0.6197048615490419,2195456.0,1499136.0,-31.71641791044776,4.651317011228462,4.565999977366301,-1.8342554088702667
HNN,47,base,60,37,True,1.2580621783311168,3.4,2.97607507656886,-12.468380100915876,55.66757624162,58.46507144746005,2.7974952058400504,2.454372247071413,1.94358743397676,-20.811220209327562,16,12,203.177525,197.8687,-2.6128997289439404,2195456.0,1589248.0,-27.611940298507463,4.651317011228462,4.580308483116513,-1.526632735213107
HNN,48,base,60,60,False,2.0277405250041434,3.4,2.767250632329902,-18.610275519708765,55.66757624162,56.51938676163002,0.8518105200100194,2.454372247071413,1.800083210291565,-26.658101172735872,16,14,203.177525,197.0787,-3.001722262341766,2195456.0,1409024.0,-35.820895522388064,4.651317011228462,4.458778229480939,-4.139446554228132
HNN,49,base,60,35,True,1.1974050016608089,3.4,2.9764463126909484,-12.457461391442692,55.66757624162,57.64750581315002,1.9799295715300218,2.454372247071413,1.8545871522811244,-24.437413497726734,16,13,203.177525,197.6747,-2.7083827308163166,2195456.0,1892352.0,-13.805970149253731,4.651317011228462,4.501208134292305,-3.2272338473982365
