pe,P_proxy_W,T_proxy_K
0,2.5,326.6213718610594
1,0.3,325.6439489066224
2,2.5,326.51100369803055
3,2.5,326.08227175490384
4,2.5,326.6109959915513
5,2.5,327.01416997093656
6,2.5,325.7673515834758
7,0.3,326.7130388046618
8,0.3,326.7229227832129
9,2.5,325.788255240252
10,0.3,326.5969172140336
11,0.3,326.1166447254896
12,2.5,326.21745374919715
13,2.5,326.7957701893417
14,2.5,325.31290338150467
15,0.3,326.3052958582379
