Time(ns),ComponentType,ComponentID,EventType,Value
146000.00,PE,0,IDLE,0.62
147000.00,PE,0,IDLE,0.62
148000.00,PE,0,IDLE,0.62
149000.00,PE,0,IDLE,0.62
150000.00,PE,0,IDLE,0.62
151000.00,PE,0,IDLE,0.62
152000.00,PE,0,IDLE,0.62
153000.00,PE,0,IDLE,0.62
154000.00,PE,0,IDLE,0.62
155000.00,PE,0,IDLE,0.62
156000.00,PE,0,IDLE,0.62
157000.00,PE,0,IDLE,0.62
158000.00,PE,0,IDLE,0.62
159000.00,PE,0,IDLE,0.62
160000.00,PE,0,IDLE,0.62
161000.00,PE,0,IDLE,0.62
162000.00,PE,0,IDLE,0.62
163000.00,PE,0,IDLE,0.62
164000.00,PE,0,IDLE,0.62
165000.00,PE,0,IDLE,0.62
166000.00,PE,0,IDLE,0.62
167000.00,PE,0,IDLE,0.62
168000.00,PE,0,IDLE,0.62
169000.00,PE,0,IDLE,0.63
170000.00,PE,0,IDLE,0.63
171000.00,PE,0,IDLE,0.63
172000.00,PE,0,IDLE,0.63
173000.00,PE,0,IDLE,0.63
174000.00,PE,0,IDLE,0.63
175000.00,PE,0,IDLE,0.63
176000.00,PE,0,IDLE,0.63
177000.00,PE,0,IDLE,0.63
178000.00,PE,0,IDLE,0.63
179000.00,PE,0,IDLE,0.63
180000.00,PE,0,IDLE,0.63
181000.00,PE,0,IDLE,0.63
182000.00,PE,0,IDLE,0.63
183000.00,PE,0,IDLE,0.63
184000.00,PE,0,IDLE,0.63
185000.00,PE,0,IDLE,0.63
186000.00,PE,0,IDLE,0.63
187000.00,PE,0,IDLE,0.63
188000.00,PE,0,IDLE,0.63
189000.00,PE,0,IDLE,0.62
190000.00,PE,0,IDLE,0.62
191000.00,PE,0,IDLE,0.62
192000.00,PE,0,IDLE,0.62
193000.00,PE,0,IDLE,0.62
194000.00,PE,0,IDLE,0.62
195000.00,PE,0,IDLE,0.62
196000.00,PE,0,IDLE,0.62
197000.00,PE,0,IDLE,0.62
198000.00,PE,0,IDLE,0.62
199000.00,PE,0,IDLE,0.62
200000.00,PE,0,IDLE,0.62
201000.00,PE,0,IDLE,0.62
202000.00,PE,0,IDLE,0.62
203000.00,PE,0,IDLE,0.62
204000.00,PE,0,IDLE,0.62
205000.00,PE,0,IDLE,0.62
206000.00,PE,0,IDLE,0.62
207000.00,PE,0,IDLE,0.62
208000.00,PE,0,IDLE,0.62
209000.00,PE,0,IDLE,0.62
210000.00,PE,0,IDLE,0.62
211000.00,PE,0,IDLE,0.62
212000.00,PE,0,IDLE,0.62
213000.00,PE,0,IDLE,0.62
214000.00,PE,0,IDLE,0.62
215000.00,PE,0,IDLE,0.62
216000.00,PE,0,IDLE,0.62
217000.00,PE,0,IDLE,0.62
218000.00,PE,0,IDLE,0.62
219000.00,PE,0,IDLE,0.62
220000.00,PE,0,IDLE,0.62
221000.00,PE,0,IDLE,0.62
