benchmark,mode,method,method_label,init,calibration_source,original_cost,candidate_cost,original_proxy_score,candidate_proxy_score,original_Tmax_K,candidate_Tmax_K,original_SigmaT_K,candidate_SigmaT_K,original_HotCount,candidate_HotCount,original_Comm,candidate_Comm,iterations,converged,elapsed_s
gemm,full,thermal_only_rc_ls,ThermalOnly-RC-LS,original,calibrated_distance_bins,6.000000000000001,5.871989646123565,0.9999999999999999,0.9708805133720079,328.08421735578,328.07509497008,2.1434761400252804,1.7976273632021245,6,4,104448.0,157696.0,53,True,1.2124200000000087
mpeg4,full,thermal_only_rc_ls,ThermalOnly-RC-LS,original,calibrated_distance_bins,6.000000000000001,5.981835368600057,0.9999999999999999,0.825246868549467,327.5966387468,327.58850926696,1.3003837749577485,1.1588255866512855,2,2,420000.0,472000.0,55,True,1.2509961999999746
vopd,full,thermal_only_rc_ls,ThermalOnly-RC-LS,original,calibrated_distance_bins,5.0,4.975905943169043,0.8999999999999999,0.8800400935103347,325.37271921261,325.37271915813,0.9870939912641029,0.9553932157755317,0,0,1396000.0,1424000.0,51,True,1.1625116000000162
hnn,full,thermal_only_rc_ls,ThermalOnly-RC-LS,original,calibrated_distance_bins,6.000000000000001,6.068965902372389,0.9999999999999999,0.862486462078393,328.81757624162,331.51614780366,2.454372247071413,1.974075207851688,16,16,2195456.0,1998848.0,57,True,1.8715727000000015
