# TAPP-inspired ThermalGreedy mapping
# Optimized static mapping — 32 mappable tasks
0, -1, 0, 8192, 1:6, 2:8, 3:10, 4:9
1, 6, 20000, 8192, 5:3, 6:12
2, 8, 20000, 8192, 7:12, 8:13
3, 10, 20000, 8192, 9:7, 10:0
4, 9, 20000, 8192, 11:4, 12:14
5, 3, 30000, 16384, 13:15, 14:3
6, 12, 30000, 16384, 15:12, 16:10
7, 12, 30000, 16384, 17:8, 18:2
8, 13, 30000, 16384, 19:5, 20:13
9, 7, 30000, 16384, 21:11, 22:9
10, 0, 30000, 16384, 23:7, 24:0
11, 4, 30000, 16384, 25:4, 26:1
12, 14, 30000, 16384, 27:6, 28:14
13, 15, 50000, 32768, 29:7
14, 3, 50000, 32768, 29:7
15, 12, 50000, 32768, 30:15
16, 10, 50000, 32768, 30:15
17, 8, 50000, 32768, 31:11
18, 2, 50000, 32768, 31:11
19, 5, 50000, 32768, 32:5
20, 13, 50000, 32768, 32:5
21, 11, 50000, 32768, 29:7
22, 9, 50000, 32768, 30:15
23, 7, 50000, 32768, 31:11
24, 0, 50000, 32768, 32:5
25, 4, 50000, 32768, 31:11
26, 1, 50000, 32768, 32:5
27, 6, 50000, 32768, 29:7
28, 14, 50000, 32768, 30:15
29, 7, 30000, 8192, -1:-1
30, 15, 30000, 8192, -1:-1
31, 11, 30000, 8192, -1:-1
32, 5, 30000, 8192, -1:-1
