benchmark,mode,original_cost,thermal_greedy_cost,original_proxy_score,thermal_greedy_proxy_score,elapsed_s
gemm,full,6.000000000000001,4.847492039305251,4.824297125357689,3.9603527932835916,0.9550464999992982
mpeg4,full,6.000000000000001,6.578039750456319,4.577242810950424,3.8869260572215745,0.9752735999973083
vopd,full,5.0,4.6838350005620315,3.9823513953811567,3.5675920141549313,0.9686361999993096
hnn,full,6.000000000000001,6.557152194396128,4.794096829028348,2.680643121890747,1.5295609999993758
