# CommAware-Heuristic mapping; literature-inspired communication proxy baseline
# Optimized static mapping — 32 mappable tasks
0, -1, 0, 8192, 1:0, 2:1, 3:4, 4:6
1, 0, 20000, 8192, 5:5, 6:0
2, 1, 20000, 8192, 7:1, 8:2
3, 4, 20000, 8192, 9:4, 10:1
4, 6, 20000, 8192, 11:2, 12:4
5, 5, 30000, 16384, 13:5, 14:5
6, 0, 30000, 16384, 15:0, 16:0
7, 1, 30000, 16384, 17:1, 18:1
8, 2, 30000, 16384, 19:2, 20:2
9, 4, 30000, 16384, 21:5, 22:0
10, 1, 30000, 16384, 23:1, 24:2
11, 2, 30000, 16384, 25:1, 26:2
12, 4, 30000, 16384, 27:5, 28:0
13, 5, 50000, 32768, 29:5
14, 5, 50000, 32768, 29:5
15, 0, 50000, 32768, 30:0
16, 0, 50000, 32768, 30:0
17, 1, 50000, 32768, 31:1
18, 1, 50000, 32768, 31:1
19, 2, 50000, 32768, 32:2
20, 2, 50000, 32768, 32:2
21, 5, 50000, 32768, 29:5
22, 0, 50000, 32768, 30:0
23, 1, 50000, 32768, 31:1
24, 2, 50000, 32768, 32:2
25, 1, 50000, 32768, 31:1
26, 2, 50000, 32768, 32:2
27, 5, 50000, 32768, 29:5
28, 0, 50000, 32768, 30:0
29, 5, 30000, 8192, -1:-1
30, 0, 30000, 8192, -1:-1
31, 1, 30000, 8192, -1:-1
32, 2, 30000, 8192, -1:-1
