benchmark,mode,original_cost,thermal_greedy_cost,original_proxy_score,thermal_greedy_proxy_score,elapsed_s
gemm,full,6.000000000000001,5.018578171267996,4.664344336719506,3.846816374930609,1.3885946000009426
mpeg4,full,6.000000000000001,4.488260707248917,4.15881071535771,3.64485460761864,1.9335051999987627
vopd,full,5.0,4.9136174239173,3.405256841283143,3.073435704271762,1.6808347000005597
hnn,full,6.000000000000001,5.7847915895000614,4.02167615685703,2.573443292580099,2.170693599997321
