comparison_type,workload,method,ablation,n,valid_count,seeds,full_score_mean,full_score_std,full_score_ci95_half,full_score_min,full_score_max,full_score_delta_vs_reference_mean,full_score_delta_vs_reference_std,full_score_delta_vs_reference_ci95_half,full_score_delta_vs_reference_min,full_score_delta_vs_reference_max,full_score_relative_change_pct_vs_reference_mean,full_score_relative_change_pct_vs_reference_std,full_score_relative_change_pct_vs_reference_ci95_half,full_score_relative_change_pct_vs_reference_min,full_score_relative_change_pct_vs_reference_max
method_vs_reference,GEMM,RandomBest,,1,1,348,4.046569270796039,0.0,0.0,4.046569270796039,4.046569270796039,-1.953430729203962,0.0,0.0,-1.953430729203962,-1.953430729203962,-32.557178820066035,0.0,0.0,-32.557178820066035,-32.557178820066035
method_vs_reference,GEMM,RandomMedian,,1,1,2153,5.226566314496941,0.0,0.0,5.226566314496941,5.226566314496941,-0.7734336855030595,0.0,0.0,-0.7734336855030595,-0.7734336855030595,-12.890561425050983,0.0,0.0,-12.890561425050983,-12.890561425050983
method_vs_reference,GEMM,RandomP10,,1,1,2529,4.660018161066887,0.0,0.0,4.660018161066887,4.660018161066887,-1.339981838933114,0.0,0.0,-1.339981838933114,-1.339981838933114,-22.333030648885234,0.0,0.0,-22.333030648885234,-22.333030648885234
method_vs_reference,GEMM,RandomP90,,1,1,2490,5.912984938610217,0.0,0.0,5.912984938610217,5.912984938610217,-0.08701506138978399,0.0,0.0,-0.08701506138978399,-0.08701506138978399,-1.4502510231630628,0.0,0.0,-1.4502510231630628,-1.4502510231630628
method_vs_reference,HNN,RandomBest,,1,1,1048,5.538187698300438,0.0,0.0,5.538187698300438,5.538187698300438,-0.4618123016995632,0.0,0.0,-0.4618123016995632,-0.4618123016995632,-7.6968716949927245,0.0,0.0,-7.6968716949927245,-7.6968716949927245
method_vs_reference,HNN,RandomMedian,,1,1,2133,6.510668384336667,0.0,0.0,6.510668384336667,6.510668384336667,0.5106683843366664,0.0,0.0,0.5106683843366664,0.5106683843366664,8.51113973894444,0.0,0.0,8.51113973894444,8.51113973894444
method_vs_reference,HNN,RandomP10,,1,1,2208,6.127662755478515,0.0,0.0,6.127662755478515,6.127662755478515,0.12766275547851436,0.0,0.0,0.12766275547851436,0.12766275547851436,2.1277125913085726,0.0,0.0,2.1277125913085726,2.1277125913085726
method_vs_reference,HNN,RandomP90,,1,1,2937,6.996664373254697,0.0,0.0,6.996664373254697,6.996664373254697,0.9966643732546965,0.0,0.0,0.9966643732546965,0.9966643732546965,16.61107288757828,0.0,0.0,16.61107288757828,16.61107288757828
method_vs_reference,MPEG4,RandomBest,,1,1,1761,4.441197410955547,0.0,0.0,4.441197410955547,4.441197410955547,-1.5588025890444541,0.0,0.0,-1.5588025890444541,-1.5588025890444541,-25.980043150740894,0.0,0.0,-25.980043150740894,-25.980043150740894
method_vs_reference,MPEG4,RandomMedian,,1,1,2383,5.256811453120918,0.0,0.0,5.256811453120918,5.256811453120918,-0.7431885468790833,0.0,0.0,-0.7431885468790833,-0.7431885468790833,-12.386475781318051,0.0,0.0,-12.386475781318051,-12.386475781318051
method_vs_reference,MPEG4,RandomP10,,1,1,2456,4.833898391410855,0.0,0.0,4.833898391410855,4.833898391410855,-1.1661016085891456,0.0,0.0,-1.1661016085891456,-1.1661016085891456,-19.43502680981909,0.0,0.0,-19.43502680981909,-19.43502680981909
method_vs_reference,MPEG4,RandomP90,,1,1,1152,5.970499856273806,0.0,0.0,5.970499856273806,5.970499856273806,-0.029500143726195027,0.0,0.0,-0.029500143726195027,-0.029500143726195027,-0.49166906210325045,0.0,0.0,-0.49166906210325045,-0.49166906210325045
method_vs_reference,VOPD,RandomBest,,1,1,2449,4.731106373006268,0.0,0.0,4.731106373006268,4.731106373006268,-0.26889362699373187,0.0,0.0,-0.26889362699373187,-0.26889362699373187,-5.377872539874639,0.0,0.0,-5.377872539874639,-5.377872539874639
method_vs_reference,VOPD,RandomMedian,,1,1,2441,5.528208748808112,0.0,0.0,5.528208748808112,5.528208748808112,0.5282087488081117,0.0,0.0,0.5282087488081117,0.5282087488081117,10.564174976162244,0.0,0.0,10.564174976162244,10.564174976162244
method_vs_reference,VOPD,RandomP10,,1,1,780,5.148815268613549,0.0,0.0,5.148815268613549,5.148815268613549,0.1488152686135491,0.0,0.0,0.1488152686135491,0.1488152686135491,2.976305372270982,0.0,0.0,2.976305372270982,2.976305372270982
method_vs_reference,VOPD,RandomP90,,1,1,280,6.029117071317573,0.0,0.0,6.029117071317573,6.029117071317573,1.0291170713175726,0.0,0.0,1.0291170713175726,1.0291170713175726,20.582341426351448,0.0,0.0,20.582341426351448,20.582341426351448
