workload,method,display_label,metric_group,term,term_label,n,term_mean,term_ci95,term_min,term_max,display_as
MPEG4,ReferenceMapping,Reference (anchor),thermal_safety,f_thermal,Tmax,10,1.0,0.0,1.0,1.0,single/reference
MPEG4,ReferenceMapping,Reference (anchor),thermal_safety,f_sigma,sigmaT,10,1.0,0.0,1.0,1.0,single/reference
MPEG4,ReferenceMapping,Reference (anchor),thermal_safety,f_hot,Nhot,10,1.0,0.0,1.0,1.0,single/reference
MPEG4,ReferenceMapping,Reference (anchor),performance,f_makespan,makespan,10,1.0,0.0,1.0,1.0,single/reference
MPEG4,ReferenceMapping,Reference (anchor),performance,f_dvfs,DVFS,10,1.0,0.0,1.0,1.0,single/reference
MPEG4,ReferenceMapping,Reference (anchor),communication_pressure,f_comm,comm,10,1.0,0.0,1.0,1.0,single/reference
MPEG4,ReferenceMapping,Reference (anchor),communication_pressure,f_congestion,congestion,10,1.0,0.0,1.0,1.0,single/reference
MPEG4,ReferenceMapping,Reference (anchor),mapping_balance,f_load,load,10,1.0,0.0,1.0,1.0,single/reference
MPEG4,ReferenceMapping,Reference (anchor),energy,f_energy,energy,10,1.0,0.0,1.0,1.0,single/reference
MPEG4,Thermal-SA-TAS,Thermal-SA-TAS,thermal_safety,f_thermal,Tmax,10,0.871473403063361,0.03490509548406504,0.8173977616626515,0.970504137610384,mean only; CI not drawn
MPEG4,Thermal-SA-TAS,Thermal-SA-TAS,thermal_safety,f_sigma,sigmaT,10,0.8901270506709638,0.03272556563757444,0.8256007090327281,0.9783224730270396,mean only; CI not drawn
MPEG4,Thermal-SA-TAS,Thermal-SA-TAS,thermal_safety,f_hot,Nhot,10,0.05,0.09799999999999999,0.0,0.5,mean only; CI not drawn
MPEG4,Thermal-SA-TAS,Thermal-SA-TAS,performance,f_makespan,makespan,10,0.9989161128173283,0.0019052138453705214,0.9933619999688704,1.002389614474985,mean only; CI not drawn
MPEG4,Thermal-SA-TAS,Thermal-SA-TAS,performance,f_dvfs,DVFS,10,0.007863479205194899,0.015412419242182,0.0,0.078634792051949,mean only; CI not drawn
MPEG4,Thermal-SA-TAS,Thermal-SA-TAS,communication_pressure,f_comm,comm,10,1.1228571428571428,0.0944241442235283,0.961904761904762,1.4666666666666666,mean only; CI not drawn
MPEG4,Thermal-SA-TAS,Thermal-SA-TAS,communication_pressure,f_congestion,congestion,10,1.009090909090909,0.19464545716376314,0.6363636363636364,1.5454545454545454,mean only; CI not drawn
MPEG4,Thermal-SA-TAS,Thermal-SA-TAS,mapping_balance,f_load,load,10,1.3557789916372602,0.18094024378536938,1.0,1.858510175472519,mean only; CI not drawn
MPEG4,Thermal-SA-TAS,Thermal-SA-TAS,energy,f_energy,energy,10,0.9980269400097468,0.0012674914927947897,0.9944892601359224,1.0004158489304094,mean only; CI not drawn
MPEG4,CommAware-Heuristic,CommAware-Heuristic,thermal_safety,f_thermal,Tmax,1,0.7985346003799827,0.0,0.7985346003799827,0.7985346003799827,single/reference
MPEG4,CommAware-Heuristic,CommAware-Heuristic,thermal_safety,f_sigma,sigmaT,1,0.9238498509992,0.0,0.9238498509992,0.9238498509992,single/reference
MPEG4,CommAware-Heuristic,CommAware-Heuristic,thermal_safety,f_hot,Nhot,1,0.0,0.0,0.0,0.0,single/reference
MPEG4,CommAware-Heuristic,CommAware-Heuristic,performance,f_makespan,makespan,1,1.580260162415141,0.0,1.580260162415141,1.580260162415141,single/reference
MPEG4,CommAware-Heuristic,CommAware-Heuristic,performance,f_dvfs,DVFS,1,0.0,0.0,0.0,0.0,single/reference
MPEG4,CommAware-Heuristic,CommAware-Heuristic,communication_pressure,f_comm,comm,1,0.0952380952380952,0.0,0.0952380952380952,0.0952380952380952,single/reference
MPEG4,CommAware-Heuristic,CommAware-Heuristic,communication_pressure,f_congestion,congestion,1,0.2272727272727272,0.0,0.2272727272727272,0.2272727272727272,single/reference
MPEG4,CommAware-Heuristic,CommAware-Heuristic,mapping_balance,f_load,load,1,14.29375936578528,0.0,14.29375936578528,14.29375936578528,single/reference
MPEG4,CommAware-Heuristic,CommAware-Heuristic,energy,f_energy,energy,1,1.333983018954889,0.0,1.333983018954889,1.333983018954889,single/reference
MPEG4,Full-GA,Full-GA,thermal_safety,f_thermal,Tmax,10,0.7699587653184972,0.026772462548490177,0.7215802957034932,0.8341172996426044,mean only; CI not drawn
MPEG4,Full-GA,Full-GA,thermal_safety,f_sigma,sigmaT,10,0.8233438676939947,0.017673092436946817,0.7842641309802807,0.8704510432318746,mean only; CI not drawn
MPEG4,Full-GA,Full-GA,thermal_safety,f_hot,Nhot,10,0.0,0.0,0.0,0.0,mean only; CI not drawn
MPEG4,Full-GA,Full-GA,performance,f_makespan,makespan,10,0.996008516431979,0.0016330057307302997,0.9925755653113504,1.0022749260874302,mean only; CI not drawn
MPEG4,Full-GA,Full-GA,performance,f_dvfs,DVFS,10,0.0,0.0,0.0,0.0,mean only; CI not drawn
MPEG4,Full-GA,Full-GA,communication_pressure,f_comm,comm,10,0.7923809523809524,0.057621943693889136,0.7047619047619048,0.9523809523809524,mean only; CI not drawn
MPEG4,Full-GA,Full-GA,communication_pressure,f_congestion,congestion,10,0.39999999999999997,0.0724995424449638,0.2727272727272727,0.5454545454545454,mean only; CI not drawn
MPEG4,Full-GA,Full-GA,mapping_balance,f_load,load,10,1.2474984289650504,0.14955789293975688,1.0,1.6187460724126264,mean only; CI not drawn
MPEG4,Full-GA,Full-GA,energy,f_energy,energy,10,0.9953075103211642,0.0009754402193060709,0.993646567241556,0.9992461983453678,mean only; CI not drawn
VOPD,ReferenceMapping,Reference (anchor),thermal_safety,f_thermal,Tmax,10,1.0,0.0,1.0,1.0,single/reference
VOPD,ReferenceMapping,Reference (anchor),thermal_safety,f_sigma,sigmaT,10,1.0,0.0,1.0,1.0,single/reference
VOPD,ReferenceMapping,Reference (anchor),thermal_safety,f_hot,Nhot,10,0.0,0.0,0.0,0.0,single/reference
VOPD,ReferenceMapping,Reference (anchor),performance,f_makespan,makespan,10,1.0,0.0,1.0,1.0,single/reference
VOPD,ReferenceMapping,Reference (anchor),performance,f_dvfs,DVFS,10,0.0,0.0,0.0,0.0,single/reference
VOPD,ReferenceMapping,Reference (anchor),communication_pressure,f_comm,comm,10,1.0,0.0,1.0,1.0,single/reference
VOPD,ReferenceMapping,Reference (anchor),communication_pressure,f_congestion,congestion,10,1.0,0.0,1.0,1.0,single/reference
VOPD,ReferenceMapping,Reference (anchor),mapping_balance,f_load,load,10,1.0,0.0,1.0,1.0,single/reference
VOPD,ReferenceMapping,Reference (anchor),energy,f_energy,energy,10,1.0,0.0,1.0,1.0,single/reference
VOPD,Thermal-SA-TAS,Thermal-SA-TAS,thermal_safety,f_thermal,Tmax,10,1.000238298784066,0.03638558550084421,0.91705127912158,1.1326540374388672,mean only; CI not drawn
VOPD,Thermal-SA-TAS,Thermal-SA-TAS,thermal_safety,f_sigma,sigmaT,10,0.9542660505370737,0.013977245378813572,0.9266397977279504,0.9983724429629164,mean only; CI not drawn
VOPD,Thermal-SA-TAS,Thermal-SA-TAS,thermal_safety,f_hot,Nhot,10,0.0,0.0,0.0,0.0,mean only; CI not drawn
VOPD,Thermal-SA-TAS,Thermal-SA-TAS,performance,f_makespan,makespan,10,0.9886893854335861,0.006700934124592492,0.9778099669886458,1.0146843995885055,mean only; CI not drawn
VOPD,Thermal-SA-TAS,Thermal-SA-TAS,performance,f_dvfs,DVFS,10,0.0,0.0,0.0,0.0,mean only; CI not drawn
VOPD,Thermal-SA-TAS,Thermal-SA-TAS,communication_pressure,f_comm,comm,10,0.6469914040114613,0.0249624656727424,0.5816618911174785,0.6991404011461319,mean only; CI not drawn
VOPD,Thermal-SA-TAS,Thermal-SA-TAS,communication_pressure,f_congestion,congestion,10,0.5817460317460317,0.04056723998769794,0.5079365079365079,0.746031746031746,mean only; CI not drawn
VOPD,Thermal-SA-TAS,Thermal-SA-TAS,mapping_balance,f_load,load,10,1.0,0.0,1.0,1.0,mean only; CI not drawn
VOPD,Thermal-SA-TAS,Thermal-SA-TAS,energy,f_energy,energy,10,0.9898838794370872,0.004492460130461595,0.982219006614486,1.00742866172592,mean only; CI not drawn
VOPD,CommAware-Heuristic,CommAware-Heuristic,thermal_safety,f_thermal,Tmax,1,1.0471527380138768,0.0,1.0471527380138768,1.0471527380138768,single/reference
VOPD,CommAware-Heuristic,CommAware-Heuristic,thermal_safety,f_sigma,sigmaT,1,1.187776720878282,0.0,1.187776720878282,1.187776720878282,single/reference
