comparison_type,workload,method,ablation,n,valid_count,seeds,full_score_mean,full_score_std,full_score_ci95_half,full_score_min,full_score_max,full_score_delta_mean,full_score_delta_std,full_score_delta_ci95_half,full_score_delta_min,full_score_delta_max,full_score_relative_change_pct_mean,full_score_relative_change_pct_std,full_score_relative_change_pct_ci95_half,full_score_relative_change_pct_min,full_score_relative_change_pct_max
external_baseline,GEMM,CommAware-Heuristic,,1,1,,8.166037408710636,0.0,0.0,8.166037408710636,8.166037408710636,2.1660374087106353,0.0,0.0,2.1660374087106353,2.1660374087106353,36.10062347851057,0.0,0.0,36.10062347851057,36.10062347851057
external_baseline,GEMM,RandomBest,,1,1,348,4.046569270796039,0.0,0.0,4.046569270796039,4.046569270796039,-1.953430729203962,0.0,0.0,-1.953430729203962,-1.953430729203962,-32.557178820066035,0.0,0.0,-32.557178820066035,-32.557178820066035
external_baseline,GEMM,RandomMedian,,1,1,2153,5.226566314496941,0.0,0.0,5.226566314496941,5.226566314496941,-0.7734336855030595,0.0,0.0,-0.7734336855030595,-0.7734336855030595,-12.890561425050983,0.0,0.0,-12.890561425050983,-12.890561425050983
external_baseline,GEMM,RandomP10,,1,1,2529,4.660018161066887,0.0,0.0,4.660018161066887,4.660018161066887,-1.339981838933114,0.0,0.0,-1.339981838933114,-1.339981838933114,-22.333030648885234,0.0,0.0,-22.333030648885234,-22.333030648885234
external_baseline,GEMM,RandomP90,,1,1,2490,5.912984938610217,0.0,0.0,5.912984938610217,5.912984938610217,-0.08701506138978399,0.0,0.0,-0.08701506138978399,-0.08701506138978399,-1.4502510231630628,0.0,0.0,-1.4502510231630628,-1.4502510231630628
external_baseline,GEMM,Thermal-SA-TAS,,10,10,"40,41,42,43,44,45,46,47,48,49",5.025544895051057,0.5194183999904566,0.32193885970376396,4.175246227443791,5.673327095517712,-0.9744551049489442,0.5194183999904566,0.32193885970376396,-1.8247537725562095,-0.3266729044822885,-16.240918415815734,8.656973333174275,5.365647661729398,-30.41256287593682,-5.444548408038141
external_baseline,HNN,CommAware-Heuristic,,1,1,,7.069626153237407,0.0,0.0,7.069626153237407,7.069626153237407,1.0696261532374063,0.0,0.0,1.0696261532374063,1.0696261532374063,17.827102553956763,0.0,0.0,17.827102553956763,17.827102553956763
external_baseline,HNN,RandomBest,,1,1,1048,5.538187698300438,0.0,0.0,5.538187698300438,5.538187698300438,-0.4618123016995632,0.0,0.0,-0.4618123016995632,-0.4618123016995632,-7.6968716949927245,0.0,0.0,-7.6968716949927245,-7.6968716949927245
external_baseline,HNN,RandomMedian,,1,1,2133,6.510668384336667,0.0,0.0,6.510668384336667,6.510668384336667,0.5106683843366664,0.0,0.0,0.5106683843366664,0.5106683843366664,8.51113973894444,0.0,0.0,8.51113973894444,8.51113973894444
external_baseline,HNN,RandomP10,,1,1,2208,6.127662755478515,0.0,0.0,6.127662755478515,6.127662755478515,0.12766275547851436,0.0,0.0,0.12766275547851436,0.12766275547851436,2.1277125913085726,0.0,0.0,2.1277125913085726,2.1277125913085726
external_baseline,HNN,RandomP90,,1,1,2937,6.996664373254697,0.0,0.0,6.996664373254697,6.996664373254697,0.9966643732546965,0.0,0.0,0.9966643732546965,0.9966643732546965,16.61107288757828,0.0,0.0,16.61107288757828,16.61107288757828
external_baseline,HNN,Thermal-SA-TAS,,10,10,"40,41,42,43,44,45,46,47,48,49",5.690326270478526,0.19301401621491635,0.11963132666885821,5.41786078278354,6.011385173675362,-0.3096737295214754,0.19301401621491635,0.11963132666885821,-0.5821392172164606,0.01138517367536096,-5.161228825357923,3.2169002702486074,1.9938554444809713,-9.702320286941013,0.18975289458935674
external_baseline,MPEG4,CommAware-Heuristic,,1,1,,7.341626176097999,0.0,0.0,7.341626176097999,7.341626176097999,1.3416261760979982,0.0,0.0,1.3416261760979982,1.3416261760979982,22.360436268299978,0.0,0.0,22.360436268299978,22.360436268299978
