figure,workload,method,method_family,source_root,ablation,seed,seed_type,selection_policy,source_objective_name,stored_TR2_composite_cost,full_objective_comparable_score,reference_full_objective_comparable_score,delta_vs_reference,relative_change_pct_vs_reference,valid,validity_notes,metrics_path
figure4,MPEG4,comm-only,ablation,B-2-v4-ablation,comm-only,41,ga_seed,,baseline_normalized_v2,0.3813852813852814,4.68710517371262,6.000000000000001,-1.3128948262873807,-21.881580438123006,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_41\gen_60\mpeg4\metrics.json
figure4,VOPD,comm-only,ablation,B-2-v4-ablation,comm-only,41,ga_seed,,baseline_normalized_v2,0.23164597262018463,7.201189310584391,5.0,2.2011893105843914,44.023786211687835,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_41\gen_60\vopd\metrics.json
figure4,HNN,comm-only,ablation,B-2-v4-ablation,comm-only,41,ga_seed,,baseline_normalized_v2,0.4053731343283582,5.696038738258417,6.000000000000001,-0.3039612617415841,-5.066021029026402,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_41\gen_60\hnn\metrics.json
figure4,GEMM,comm-only,ablation,B-2-v4-ablation,comm-only,42,ga_seed,,baseline_normalized_v2,0.10285204991087343,7.000325294225184,6.000000000000001,1.000325294225183,16.672088237086392,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_42\gen_60\gemm\metrics.json
figure4,MPEG4,comm-only,ablation,B-2-v4-ablation,comm-only,42,ga_seed,,baseline_normalized_v2,0.1806060606060606,5.950142909624479,6.000000000000001,-0.04985709037552155,-0.8309515062586925,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_42\gen_60\mpeg4\metrics.json
figure4,VOPD,comm-only,ablation,B-2-v4-ablation,comm-only,42,ga_seed,,baseline_normalized_v2,0.3667621776504298,5.871158963805466,5.0,0.871158963805466,17.423179276109323,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_42\gen_60\vopd\metrics.json
figure4,HNN,comm-only,ablation,B-2-v4-ablation,comm-only,42,ga_seed,,baseline_normalized_v2,0.6684328358208955,6.105024122391296,6.000000000000001,0.10502412239129555,1.7504020398549258,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_42\gen_60\hnn\metrics.json
figure4,GEMM,comm-only,ablation,B-2-v4-ablation,comm-only,43,ga_seed,,baseline_normalized_v2,0.10285204991087343,6.998579499272475,6.000000000000001,0.9985794992724744,16.64299165454124,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_43\gen_60\gemm\metrics.json
figure4,MPEG4,comm-only,ablation,B-2-v4-ablation,comm-only,43,ga_seed,,baseline_normalized_v2,0.17298701298701297,5.957244891346435,6.000000000000001,-0.0427551086535658,-0.7125851442260966,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_43\gen_60\mpeg4\metrics.json
figure4,VOPD,comm-only,ablation,B-2-v4-ablation,comm-only,43,ga_seed,,baseline_normalized_v2,0.2396688952562878,6.4163662816165905,5.0,1.4163662816165905,28.3273256323318,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_43\gen_60\vopd\metrics.json
figure4,HNN,comm-only,ablation,B-2-v4-ablation,comm-only,43,ga_seed,,baseline_normalized_v2,0.5470149253731343,6.294930488165166,6.000000000000001,0.2949304881651651,4.9155081360860775,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_43\gen_60\hnn\metrics.json
figure4,GEMM,comm-only,ablation,B-2-v4-ablation,comm-only,44,ga_seed,,baseline_normalized_v2,0.10285204991087343,7.383457086007242,6.000000000000001,1.3834570860072413,23.05761810012068,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_44\gen_60\gemm\metrics.json
figure4,MPEG4,comm-only,ablation,B-2-v4-ablation,comm-only,44,ga_seed,,baseline_normalized_v2,0.21870129870129867,6.926765064998158,6.000000000000001,0.9267650649981567,15.446084416635951,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_44\gen_60\mpeg4\metrics.json
figure4,VOPD,comm-only,ablation,B-2-v4-ablation,comm-only,44,ga_seed,,baseline_normalized_v2,0.22225405921680993,7.35177699974787,5.0,2.3517769997478704,47.0355399949574,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_44\gen_60\vopd\metrics.json
figure4,HNN,comm-only,ablation,B-2-v4-ablation,comm-only,44,ga_seed,,baseline_normalized_v2,0.49776119402985075,5.843607894563964,6.000000000000001,-0.1563921054360371,-2.6065350906006146,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_44\gen_60\hnn\metrics.json
figure4,GEMM,comm-only,ablation,B-2-v4-ablation,comm-only,45,ga_seed,,baseline_normalized_v2,0.11461675579322637,6.942490647655911,6.000000000000001,0.9424906476559105,15.70817746093185,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_45\gen_60\gemm\metrics.json
figure4,MPEG4,comm-only,ablation,B-2-v4-ablation,comm-only,45,ga_seed,,baseline_normalized_v2,0.2263203463203463,5.093543448568608,6.000000000000001,-0.9064565514313925,-15.107609190523208,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_45\gen_60\mpeg4\metrics.json
figure4,VOPD,comm-only,ablation,B-2-v4-ablation,comm-only,45,ga_seed,,baseline_normalized_v2,0.23164597262018463,6.880461443511167,5.0,1.8804614435111668,37.60922887022333,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_45\gen_60\vopd\metrics.json
figure4,HNN,comm-only,ablation,B-2-v4-ablation,comm-only,45,ga_seed,,baseline_normalized_v2,0.5715671641791045,5.65282514564759,6.000000000000001,-0.3471748543524109,-5.786247572540182,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_45\gen_60\hnn\metrics.json
figure4,GEMM,comm-only,ablation,B-2-v4-ablation,comm-only,46,ga_seed,,baseline_normalized_v2,0.11898395721925133,7.312015588131365,6.000000000000001,1.3120155881313638,21.866926468856065,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_46\gen_60\gemm\metrics.json
figure4,MPEG4,comm-only,ablation,B-2-v4-ablation,comm-only,46,ga_seed,,baseline_normalized_v2,0.17298701298701297,5.383851707211302,6.000000000000001,-0.616148292788699,-10.269138213144979,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_46\gen_60\mpeg4\metrics.json
figure4,VOPD,comm-only,ablation,B-2-v4-ablation,comm-only,46,ga_seed,,baseline_normalized_v2,0.2517032792104425,6.409983805045918,5.0,1.4099838050459184,28.19967610091836,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_46\gen_60\vopd\metrics.json
figure4,HNN,comm-only,ablation,B-2-v4-ablation,comm-only,46,ga_seed,,baseline_normalized_v2,0.4516417910447761,5.598482857497673,6.000000000000001,-0.4015171425023283,-6.691952375038801,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_46\gen_60\hnn\metrics.json
figure4,GEMM,comm-only,ablation,B-2-v4-ablation,comm-only,47,ga_seed,,baseline_normalized_v2,0.10285204991087343,6.993191053079472,6.000000000000001,0.993191053079471,16.55318421799119,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_47\gen_60\gemm\metrics.json
figure4,MPEG4,comm-only,ablation,B-2-v4-ablation,comm-only,47,ga_seed,,baseline_normalized_v2,0.1882251082251082,6.50289129886935,6.000000000000001,0.5028912988693488,8.381521647822488,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_47\gen_60\mpeg4\metrics.json
figure4,VOPD,comm-only,ablation,B-2-v4-ablation,comm-only,47,ga_seed,,baseline_normalized_v2,0.2356574339382362,6.227072043083278,5.0,1.227072043083278,24.541440861665563,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_47\gen_60\vopd\metrics.json
figure4,HNN,comm-only,ablation,B-2-v4-ablation,comm-only,47,ga_seed,,baseline_normalized_v2,0.5380597014925373,6.0651951382911005,6.000000000000001,0.06519513829109957,1.0865856381850003,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_47\gen_60\hnn\metrics.json
figure4,GEMM,comm-only,ablation,B-2-v4-ablation,comm-only,48,ga_seed,,baseline_normalized_v2,0.0,8.857975012267797,6.000000000000001,2.8579750122677963,47.632916871129936,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_48\gen_60\gemm\metrics.json
figure4,MPEG4,comm-only,ablation,B-2-v4-ablation,comm-only,48,ga_seed,,baseline_normalized_v2,0.1971861471861472,7.151852991394072,6.000000000000001,1.1518529913940707,19.197549856567854,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_48\gen_60\mpeg4\metrics.json
figure4,VOPD,comm-only,ablation,B-2-v4-ablation,comm-only,48,ga_seed,,baseline_normalized_v2,0.21330786373766314,6.723350039473293,5.0,1.723350039473293,34.46700078946585,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_48\gen_60\vopd\metrics.json
figure4,HNN,comm-only,ablation,B-2-v4-ablation,comm-only,48,ga_seed,,baseline_normalized_v2,0.5380597014925373,6.456241279558006,6.000000000000001,0.45624127955800553,7.604021325966759,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_48\gen_60\hnn\metrics.json
figure4,GEMM,comm-only,ablation,B-2-v4-ablation,comm-only,49,ga_seed,,baseline_normalized_v2,0.0,8.666909192119425,6.000000000000001,2.666909192119424,44.44848653532372,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_49\gen_60\gemm\metrics.json
figure4,MPEG4,comm-only,ablation,B-2-v4-ablation,comm-only,49,ga_seed,,baseline_normalized_v2,0.28995670995670997,6.640946264466458,6.000000000000001,0.6409462644664572,10.68243774110762,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_49\gen_60\mpeg4\metrics.json
figure4,VOPD,comm-only,ablation,B-2-v4-ablation,comm-only,49,ga_seed,,baseline_normalized_v2,0.3025787965616046,5.664053094114829,5.0,0.6640530941148288,13.281061882296585,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_49\gen_60\vopd\metrics.json
figure4,HNN,comm-only,ablation,B-2-v4-ablation,comm-only,49,ga_seed,,baseline_normalized_v2,0.5276119402985074,5.839779260311603,6.000000000000001,-0.16022073968839745,-2.6703456614732946,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_49\gen_60\hnn\metrics.json
figure4,GEMM,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,40,ga_seed,,baseline_normalized_v2,2.2810611188147587,3.9339391468101437,6.000000000000001,-2.066060853189857,-34.43434755316428,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_40\gen_60\gemm\metrics.json
figure4,MPEG4,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,40,ga_seed,,baseline_normalized_v2,2.3308207973135873,4.11506525813979,6.000000000000001,-1.884934741860211,-31.415579031003517,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_40\gen_60\mpeg4\metrics.json
figure4,VOPD,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,40,ga_seed,,baseline_normalized_v2,2.2888995797970932,4.4150411969020595,5.0,-0.5849588030979405,-11.699176061958806,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_40\gen_60\vopd\metrics.json
figure4,HNN,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,40,ga_seed,,baseline_normalized_v2,2.8378916862288652,5.097269500116739,6.000000000000001,-0.9027304998832619,-15.04550833138769,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_40\gen_60\hnn\metrics.json
figure4,GEMM,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,41,ga_seed,,baseline_normalized_v2,2.4803488898158466,4.33993589705318,6.000000000000001,-1.660064102946821,-27.667735049113684,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_41\gen_60\gemm\metrics.json
figure4,MPEG4,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,41,ga_seed,,baseline_normalized_v2,2.570226693329119,4.41144975271096,6.000000000000001,-1.5885502472890405,-26.47583745481734,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_41\gen_60\mpeg4\metrics.json
figure4,VOPD,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,41,ga_seed,,baseline_normalized_v2,2.4266472935097307,4.550221970283686,5.0,-0.4497780297163141,-8.99556059432628,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_41\gen_60\vopd\metrics.json
figure4,HNN,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,41,ga_seed,,baseline_normalized_v2,2.873008522755603,5.095942056320546,6.000000000000001,-0.9040579436794545,-15.06763239465757,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_41\gen_60\hnn\metrics.json
figure4,GEMM,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,42,ga_seed,,baseline_normalized_v2,2.2941218642588566,3.991833926233945,6.000000000000001,-2.008166073766056,-33.469434562767596,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_42\gen_60\gemm\metrics.json
figure4,MPEG4,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,42,ga_seed,,baseline_normalized_v2,2.422519807610618,4.312661814995082,6.000000000000001,-1.6873381850049185,-28.1223030834153,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_42\gen_60\mpeg4\metrics.json
figure4,VOPD,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,42,ga_seed,,baseline_normalized_v2,2.3096167162447374,4.376849990802312,5.0,-0.6231500091976878,-12.463000183953755,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_42\gen_60\vopd\metrics.json
figure4,HNN,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,42,ga_seed,,baseline_normalized_v2,2.8693522615775136,5.194333631997547,6.000000000000001,-0.8056663680024538,-13.427772800040893,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_42\gen_60\hnn\metrics.json
figure4,GEMM,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,43,ga_seed,,baseline_normalized_v2,2.2796576604315435,4.022977950455217,6.000000000000001,-1.977022049544784,-32.950367492413065,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_43\gen_60\gemm\metrics.json
figure4,MPEG4,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,43,ga_seed,,baseline_normalized_v2,2.5820908568032164,4.426996610454097,6.000000000000001,-1.573003389545904,-26.2167231590984,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_43\gen_60\mpeg4\metrics.json
figure4,VOPD,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,43,ga_seed,,baseline_normalized_v2,2.3629894111573746,4.641849635338398,5.0,-0.35815036466160244,-7.163007293232049,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_43\gen_60\vopd\metrics.json
figure4,HNN,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,43,ga_seed,,baseline_normalized_v2,2.9437518059176275,5.312421925005786,6.000000000000001,-0.6875780749942146,-11.45963458323691,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_43\gen_60\hnn\metrics.json
figure4,GEMM,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,44,ga_seed,,baseline_normalized_v2,2.264221443248095,3.764643003704245,6.000000000000001,-2.235356996295756,-37.2559499382626,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_44\gen_60\gemm\metrics.json
figure4,MPEG4,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,44,ga_seed,,baseline_normalized_v2,2.357452878966292,4.032194807165138,6.000000000000001,-1.967805192834863,-32.79675321391438,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_44\gen_60\mpeg4\metrics.json
figure4,VOPD,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,44,ga_seed,,baseline_normalized_v2,2.3450566839424902,4.435516876415205,5.0,-0.5644831235847949,-11.289662471695895,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_44\gen_60\vopd\metrics.json
figure4,HNN,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,44,ga_seed,,baseline_normalized_v2,2.78171437214399,5.189439313606884,6.000000000000001,-0.8105606863931172,-13.509344773218611,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_44\gen_60\hnn\metrics.json
figure4,GEMM,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,45,ga_seed,,baseline_normalized_v2,2.2642043933930958,3.747563007620672,6.000000000000001,-2.252436992379329,-37.54061653965547,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_45\gen_60\gemm\metrics.json
figure4,MPEG4,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,45,ga_seed,,baseline_normalized_v2,2.4491106959666653,4.239364968259967,6.000000000000001,-1.7606350317400343,-29.343917195667235,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_45\gen_60\mpeg4\metrics.json
figure4,VOPD,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,45,ga_seed,,baseline_normalized_v2,2.381729454032164,4.400675573610308,5.0,-0.5993244263896917,-11.986488527793837,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_45\gen_60\vopd\metrics.json
figure4,HNN,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,45,ga_seed,,baseline_normalized_v2,2.8361725185169773,5.303936972146914,6.000000000000001,-0.6960630278530866,-11.60105046421811,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_45\gen_60\hnn\metrics.json
figure4,GEMM,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,46,ga_seed,,baseline_normalized_v2,2.276052653728904,3.80488025928593,6.000000000000001,-2.195119740714071,-36.58532901190118,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_46\gen_60\gemm\metrics.json
figure4,MPEG4,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,46,ga_seed,,baseline_normalized_v2,2.3974002813923803,4.243481761076722,6.000000000000001,-1.7565182389232792,-29.275303982054645,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_46\gen_60\mpeg4\metrics.json
figure4,VOPD,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,46,ga_seed,,baseline_normalized_v2,2.42349328934918,4.424025825375518,5.0,-0.5759741746244824,-11.519483492489647,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_46\gen_60\vopd\metrics.json
figure4,HNN,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,46,ga_seed,,baseline_normalized_v2,2.870752691426389,5.185698131762153,6.000000000000001,-0.8143018682378482,-13.571697803964133,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_46\gen_60\hnn\metrics.json
figure4,GEMM,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,47,ga_seed,,baseline_normalized_v2,2.2761074488241038,3.9679569493518074,6.000000000000001,-2.0320430506481935,-33.86738417746989,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_47\gen_60\gemm\metrics.json
figure4,MPEG4,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,47,ga_seed,,baseline_normalized_v2,2.4217358783784815,4.357285291881368,6.000000000000001,-1.6427147081186328,-27.378578468643877,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_47\gen_60\mpeg4\metrics.json
figure4,VOPD,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,47,ga_seed,,baseline_normalized_v2,2.433824467147129,4.758033959485354,5.0,-0.24196604051464643,-4.839320810292924,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_47\gen_60\vopd\metrics.json
figure4,HNN,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,47,ga_seed,,baseline_normalized_v2,2.97607507656886,5.480205687882954,6.000000000000001,-0.519794312117047,-8.663238535284112,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_47\gen_60\hnn\metrics.json
figure4,GEMM,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,48,ga_seed,,baseline_normalized_v2,2.2885690703993617,3.870673046967053,6.000000000000001,-2.129326953032948,-35.488782550549125,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_48\gen_60\gemm\metrics.json
figure4,MPEG4,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,48,ga_seed,,baseline_normalized_v2,2.6018687236464633,4.463369109912412,6.000000000000001,-1.5366308900875891,-25.61051483479315,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_48\gen_60\mpeg4\metrics.json
figure4,VOPD,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,48,ga_seed,,baseline_normalized_v2,2.3458075792441266,4.295213752552893,5.0,-0.7047862474471067,-14.095724948942134,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_48\gen_60\vopd\metrics.json
figure4,HNN,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,48,ga_seed,,baseline_normalized_v2,2.767250632329902,5.105520047795803,6.000000000000001,-0.8944799522041977,-14.907999203403289,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_48\gen_60\hnn\metrics.json
figure4,GEMM,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,49,ga_seed,,baseline_normalized_v2,2.2771737652958706,3.805609690597536,6.000000000000001,-2.194390309402465,-36.57317182337441,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_49\gen_60\gemm\metrics.json
figure4,MPEG4,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,49,ga_seed,,baseline_normalized_v2,2.384714036354217,4.164517053541118,6.000000000000001,-1.8354829464588827,-30.591382440981373,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_49\gen_60\mpeg4\metrics.json
figure4,VOPD,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,49,ga_seed,,baseline_normalized_v2,2.4264400320959063,4.613090707799362,5.0,-0.3869092922006381,-7.738185844012757,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_49\gen_60\vopd\metrics.json
figure4,HNN,wout-thermal,ablation,B-2-v4-ablation,wout-thermal,49,ga_seed,,baseline_normalized_v2,2.9764463126909484,5.405174748221239,6.000000000000001,-0.5948252517787616,-9.913754196312697,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-thermal\seed_49\gen_60\hnn\metrics.json
figure4,GEMM,wout-comm,ablation,B-2-v4-ablation,wout-comm,40,ga_seed,,baseline_normalized_v2,3.0855447983897424,3.9397337466963376,6.000000000000001,-2.0602662533036633,-34.33777088839438,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_40\gen_60\gemm\metrics.json
figure4,MPEG4,wout-comm,ablation,B-2-v4-ablation,wout-comm,40,ga_seed,,baseline_normalized_v2,3.4055459160242516,4.243381413859749,6.000000000000001,-1.7566185861402515,-29.276976435670854,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_40\gen_60\mpeg4\metrics.json
figure4,VOPD,wout-comm,ablation,B-2-v4-ablation,wout-comm,40,ga_seed,,baseline_normalized_v2,3.6117356158677345,4.615794832677667,5.0,-0.38420516732233256,-7.684103346446647,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_40\gen_60\vopd\metrics.json
figure4,HNN,wout-comm,ablation,B-2-v4-ablation,wout-comm,40,ga_seed,,baseline_normalized_v2,4.065338025090228,5.280785786284258,6.000000000000001,-0.7192142137157429,-11.986903561929052,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_40\gen_60\hnn\metrics.json
figure4,GEMM,wout-comm,ablation,B-2-v4-ablation,wout-comm,41,ga_seed,,baseline_normalized_v2,3.1495100399657328,3.9840911451350736,6.000000000000001,-2.0159088548649273,-33.598480914415454,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_41\gen_60\gemm\metrics.json
figure4,MPEG4,wout-comm,ablation,B-2-v4-ablation,wout-comm,41,ga_seed,,baseline_normalized_v2,3.353497333447004,4.226960536910207,6.000000000000001,-1.7730394630897939,-29.55065771816323,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_41\gen_60\mpeg4\metrics.json
figure4,VOPD,wout-comm,ablation,B-2-v4-ablation,wout-comm,41,ga_seed,,baseline_normalized_v2,3.700951390466724,4.745332160921993,5.0,-0.2546678390780066,-5.093356781560132,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_41\gen_60\vopd\metrics.json
figure4,HNN,wout-comm,ablation,B-2-v4-ablation,wout-comm,41,ga_seed,,baseline_normalized_v2,4.268847253072718,5.796309939639882,6.000000000000001,-0.2036900603601186,-3.3948343393353064,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_41\gen_60\hnn\metrics.json
figure4,GEMM,wout-comm,ablation,B-2-v4-ablation,wout-comm,42,ga_seed,,baseline_normalized_v2,3.165059970395768,3.9408175461533435,6.000000000000001,-2.0591824538466574,-34.319707564110956,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_42\gen_60\gemm\metrics.json
figure4,MPEG4,wout-comm,ablation,B-2-v4-ablation,wout-comm,42,ga_seed,,baseline_normalized_v2,3.384596043392652,4.385115523912132,6.000000000000001,-1.6148844760878687,-26.914741268131138,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_42\gen_60\mpeg4\metrics.json
figure4,VOPD,wout-comm,ablation,B-2-v4-ablation,wout-comm,42,ga_seed,,baseline_normalized_v2,3.7890723271486464,4.960132499068417,5.0,-0.03986750093158342,-0.7973500186316707,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_42\gen_60\vopd\metrics.json
figure4,HNN,wout-comm,ablation,B-2-v4-ablation,wout-comm,42,ga_seed,,baseline_normalized_v2,4.127127540628179,5.270261868986388,6.000000000000001,-0.7297381310136126,-12.162302183560215,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_42\gen_60\hnn\metrics.json
figure4,GEMM,wout-comm,ablation,B-2-v4-ablation,wout-comm,43,ga_seed,,baseline_normalized_v2,3.0860806977070236,4.067096740487772,6.000000000000001,-1.932903259512229,-32.215054325203816,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_43\gen_60\gemm\metrics.json
figure4,MPEG4,wout-comm,ablation,B-2-v4-ablation,wout-comm,43,ga_seed,,baseline_normalized_v2,3.406551017235546,4.432611623296152,6.000000000000001,-1.5673883767038488,-26.123139611730807,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\wout-comm\seed_43\gen_60\mpeg4\metrics.json
