figure,workload,method,method_family,source_root,ablation,seed,seed_type,selection_policy,source_objective_name,stored_TR2_composite_cost,full_objective_comparable_score,reference_full_objective_comparable_score,delta_vs_reference,relative_change_pct_vs_reference,valid,validity_notes,metrics_path
figure4,VOPD,Full-GA,proposed,B-2-v4,,45,ga_seed,,baseline_normalized_v2,4.398872014789851,4.398872014789851,5.0,-0.601127985210149,-12.022559704202983,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_45\gen_60\vopd\metrics.json
figure4,HNN,Full-GA,proposed,B-2-v4,,45,ga_seed,,baseline_normalized_v2,5.373174744913506,5.373174744913506,6.000000000000001,-0.6268252550864952,-10.447087584774916,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_45\gen_60\hnn\metrics.json
figure4,GEMM,Full-GA,proposed,B-2-v4,,46,ga_seed,,baseline_normalized_v2,3.741650923084499,3.741650923084499,6.000000000000001,-2.258349076915502,-37.639151281925024,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_46\gen_60\gemm\metrics.json
figure4,MPEG4,Full-GA,proposed,B-2-v4,,46,ga_seed,,baseline_normalized_v2,4.016261600531964,4.016261600531964,6.000000000000001,-1.983738399468037,-33.06230665780061,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_46\gen_60\mpeg4\metrics.json
figure4,VOPD,Full-GA,proposed,B-2-v4,,46,ga_seed,,baseline_normalized_v2,4.446714704298548,4.446714704298548,5.0,-0.5532852957014516,-11.065705914029033,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_46\gen_60\vopd\metrics.json
figure4,HNN,Full-GA,proposed,B-2-v4,,46,ga_seed,,baseline_normalized_v2,4.982882635915508,4.982882635915508,6.000000000000001,-1.017117364084493,-16.95195606807488,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_46\gen_60\hnn\metrics.json
figure4,GEMM,Full-GA,proposed,B-2-v4,,47,ga_seed,,baseline_normalized_v2,3.8192535762656448,3.8192535762656448,6.000000000000001,-2.180746423734356,-36.345773728905925,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_47\gen_60\gemm\metrics.json
figure4,MPEG4,Full-GA,proposed,B-2-v4,,47,ga_seed,,baseline_normalized_v2,4.083388623951365,4.083388623951365,6.000000000000001,-1.9166113760486363,-31.94352293414393,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_47\gen_60\mpeg4\metrics.json
figure4,VOPD,Full-GA,proposed,B-2-v4,,47,ga_seed,,baseline_normalized_v2,4.473743433386786,4.473743433386786,5.0,-0.5262565666132142,-10.525131332264282,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_47\gen_60\vopd\metrics.json
figure4,HNN,Full-GA,proposed,B-2-v4,,47,ga_seed,,baseline_normalized_v2,5.038941886660901,5.038941886660901,6.000000000000001,-0.9610581133391003,-16.01763522231834,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_47\gen_60\hnn\metrics.json
