workload,method,source,TR2_composite_cost,Tmax_K,Tmax_C,SigmaT_K,Hot_PE,makespan_s,makespan_us,comm_cost,energy_J,energy_mJ,cost_delta_pct,Tmax_delta_C,SigmaT_delta_pct,Hot_PE_delta,makespan_delta_pct,comm_delta_pct,energy_delta_pct
gemm,Original,thermal_rc_ls/original,6.000000000000001,328.08421735578,54.93421735578005,2.1434761400252804,6.0,0.000120405,120.405,104448.0,0.0015708734939939562,1.5708734939939561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemm,ThermalGreedy,out\thermal-greedy-exploratory-archive\thermal-greedy-baseline-v1-full-baseline-temp\gemm\thermal_greedy\metrics.json,5.271200745804903,328.06465825114,54.91465825114,2.067279365919579,4.0,0.0001196767,119.67670000000001,75776.0,0.0015569163831331966,1.5569163831331967,-12.146654236584975,-0.019559104640052283,-3.5548225932107935,-2.0,-0.6048752128233748,-27.450980392156865,-0.888493625624398
gemm,ThermalRC-LS,out\thermal-rc-ls-v1-seed43\gemm\thermal_rc_ls\metrics.json,4.622165293107692,327.78313690448,54.63313690448001,1.6964638529530491,1.0,0.0001178267,117.8267,94208.0,0.001527756322444375,1.5277563224443749,-22.96391178153848,-0.301080451300038,-20.85454924014033,-5.0,-2.141356255969429,-9.80392156862745,-2.7447895527192068
gemm,Proposed-GA,out\B-2-v4\seed_43\gen_60\gemm\metrics.json,3.7673396106539467,326.15672326804,53.00672326804005,1.4014433814768217,0.0,0.0001167629,116.7629,60416.0,0.0015167121428106512,1.5167121428106511,-37.211006489100896,-1.9274940877400013,-34.61819540196548,-6.0,-3.024874382293097,-42.15686274509803,-3.4478493265297505
mpeg4,Original,thermal_rc_ls/original,6.000000000000001,327.5966387468,54.44663874680003,1.3003837749577485,2.0,0.0001220699,122.06989999999999,420000.0,0.0011328804365769536,1.1328804365769536,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mpeg4,ThermalGreedy,out\thermal-greedy-exploratory-archive\thermal-greedy-baseline-v1-full-baseline-temp\mpeg4\thermal_greedy\metrics.json,4.543809914122519,327.03592301831,53.885923018309995,1.3307601924589822,0.0,0.0001225017,122.5017,308000.0,0.0011338097359350483,1.1338097359350483,-24.269834764624697,-0.5607157284900381,2.3359578984458507,-2.0,0.3537317553303554,-26.66666666666667,0.08202978249873816
mpeg4,ThermalRC-LS,out\thermal-rc-ls-v1-seed43\mpeg4\thermal_rc_ls\metrics.json,4.5116003725468605,326.85388485308,53.70388485308001,1.1513027186147364,0.0,0.0001222477,122.2477,376000.0,0.0011319127108180803,1.1319127108180802,-24.806660457552333,-0.7427538937200211,-11.464389145262588,-2.0,0.14565425219483785,-10.476190476190473,-0.08542170273478922
mpeg4,Proposed-GA,out\B-2-v4\seed_43\gen_60\mpeg4\metrics.json,4.11216503036325,325.9685373777,52.81853737770001,1.1319204135137755,0.0,0.0001211636,121.1636,352000.0,0.001125682756899805,1.125682756899805,-31.463916160612516,-1.6281013691000226,-12.954895676812539,-2.0,-0.7424434688649617,-16.19047619047619,-0.6353432758444133
vopd,Original,thermal_rc_ls/original,5.0,325.37271921261,52.22271921261,0.9870939912641029,0.0,8.93329e-05,89.3329,1396000.0,0.0007507385223064374,0.7507385223064373,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vopd,ThermalGreedy,out\thermal-greedy-exploratory-archive\thermal-greedy-baseline-v1-full-baseline-temp\vopd\thermal_greedy\metrics.json,4.790312799911725,326.30512891776,53.15512891776001,1.1274167012505822,0.0,8.83406e-05,88.3406,828000.0,0.0007434437320503755,0.7434437320503755,-4.193744001765487,0.9324097051500075,14.215739456257626,0.0,-1.1107889702450024,-40.68767908309455,-0.9716818891417289
