benchmark,mode,init,calibration_source,original_cost,thermal_rc_ls_cost,original_proxy_score,thermal_rc_ls_proxy_score,original_Tmax_K,thermal_rc_ls_Tmax_K,original_SigmaT_K,thermal_rc_ls_SigmaT_K,original_HotCount,thermal_rc_ls_HotCount,original_Comm,thermal_rc_ls_Comm,iterations,converged,elapsed_s
gemm,full,original,calibrated_distance_bins,6.000000000000001,4.622165293107692,1.0,0.9662674370843587,328.08421735578,327.78313690448,2.1434761400252804,1.6964638529530491,6,1,104448.0,94208.0,109,True,1.3977376999973785
mpeg4,full,original,calibrated_distance_bins,6.000000000000001,4.5116003725468605,1.0,0.8202042810762471,327.5966387468,326.85388485308,1.3003837749577485,1.1513027186147364,2,0,420000.0,376000.0,99,True,1.3677571000007447
vopd,full,original,calibrated_distance_bins,5.0,4.4520356857729055,0.9000000000000001,0.864133052657007,325.37271921261,325.21863554711,0.9870939912641029,0.9274236691708003,0,0,1396000.0,1038000.0,92,True,1.6404287999976077
hnn,full,original,calibrated_distance_bins,6.000000000000001,5.917554453860328,1.0,0.7776706325935354,328.81757624162,331.7187080314,2.454372247071413,1.8323414761613182,16,16,2195456.0,1441792.0,108,True,4.05806450000091
