benchmark,mode,original_cost,thermal_sa_tas_cost,original_proxy_score,thermal_sa_tas_proxy_score,iterations,converged,elapsed_s
gemm,full,6.000000000000001,5.867419069913753,0.98,0.9404235989702803,3213,True,9.709651199999826
mpeg4,full,6.000000000000001,4.893773934332865,0.98,0.9609744492783087,4684,True,10.87304310000036
vopd,full,5.0,5.226623281190664,0.98,0.968470072916477,4392,True,11.89779069999986
hnn,full,6.000000000000001,6.537402140763925,0.98,1.108808403873836,5000,True,22.898402099999657
