sample_id,sample_seed,valid_for_cost,failure_reason,mapping_csv,TR2_composite_cost,T1_pe_peak_temp_K,T3_temp_std_K,T5_over_throttle_count,P1_makespan_s,P3_dvfs_penalty_pct,C1_total_comm_cost,raw_congestion_cost,raw_load_imbalance,E7_pe_optical_comm_energy_J,run_ok,temperature_source,parsed_pe_count,assignment
10,10,True,,hnn\random\mappings\sample_010_seed_10.csv,6.538407126397536,331.88857008954,1.995526093732512,15,0.0002442489,9.800739747023808,2334720.0,221184.0,0.28199791883454733,0.00487389018708573,True,vec,16,"{""1"": 1, ""2"": 13, ""3"": 15, ""4"": 0, ""5"": 6, ""6"": 14, ""7"": 15, ""8"": 8, ""9"": 5, ""10"": 1, ""11"": 15, ""12"": 10, ""13"": 2, ""14"": 7, ""15"": 11, ""16"": 1, ""17"": 13, ""18"": 4, ""19"": 11, ""20"": 12, ""21"": 13, ""22"": 9, ""23"": 8, ""24"": 14, ""25"": 5, ""26"": 9, ""27"": 11, ""28"": 4, ""29"": 14, ""30"": 12, ""31"": 14, ""32"": 7}"
11,11,True,,hnn\random\mappings\sample_011_seed_11.csv,6.2627004219091615,330.40041238977,1.923051615286413,12,0.0002760287,5.055275649038457,2080768.0,172032.0,0.6607700312174818,0.0048235472554265055,True,vec,16,"{""1"": 14, ""2"": 14, ""3"": 14, ""4"": 6, ""5"": 5, ""6"": 15, ""7"": 5, ""8"": 3, ""9"": 14, ""10"": 9, ""11"": 4, ""12"": 2, ""13"": 1, ""14"": 12, ""15"": 14, ""16"": 5, ""17"": 0, ""18"": 2, ""19"": 1, ""20"": 1, ""21"": 6, ""22"": 7, ""23"": 0, ""24"": 14, ""25"": 10, ""26"": 14, ""27"": 6, ""28"": 7, ""29"": 0, ""30"": 2, ""31"": 9, ""32"": 15}"
12,12,True,,hnn\random\mappings\sample_012_seed_12.csv,6.586803433758553,331.45499833443,2.0427158195844055,14,0.0002512208,9.651606611133682,2400256.0,245760.0,0.21123829344432882,0.004885846056198569,True,vec,16,"{""1"": 15, ""2"": 8, ""3"": 11, ""4"": 4, ""5"": 12, ""6"": 0, ""7"": 11, ""8"": 15, ""9"": 8, ""10"": 14, ""11"": 7, ""12"": 0, ""13"": 4, ""14"": 14, ""15"": 11, ""16"": 5, ""17"": 10, ""18"": 6, ""19"": 1, ""20"": 6, ""21"": 2, ""22"": 10, ""23"": 12, ""24"": 2, ""25"": 0, ""26"": 1, ""27"": 7, ""28"": 2, ""29"": 3, ""30"": 13, ""31"": 13, ""32"": 14}"
13,13,True,,hnn\random\mappings\sample_013_seed_13.csv,6.484035643991709,330.56289699098,1.888417544186463,11,0.0002738348,4.847619339509038,2539520.0,221184.0,0.6420395421436004,0.004794860299670224,True,vec,16,"{""1"": 8, ""2"": 9, ""3"": 5, ""4"": 7, ""5"": 4, ""6"": 7, ""7"": 5, ""8"": 4, ""9"": 2, ""10"": 6, ""11"": 9, ""12"": 0, ""13"": 13, ""14"": 4, ""15"": 0, ""16"": 8, ""17"": 4, ""18"": 2, ""19"": 8, ""20"": 14, ""21"": 13, ""22"": 4, ""23"": 8, ""24"": 11, ""25"": 7, ""26"": 15, ""27"": 13, ""28"": 11, ""29"": 3, ""30"": 11, ""31"": 13, ""32"": 10}"
14,14,True,,hnn\random\mappings\sample_014_seed_14.csv,6.8673344431447605,330.86920777454,2.001467902226975,12,0.000243476995,8.7627512937271,2203648.0,327680.0,0.5109261186264308,0.004818673119951423,True,vec,16,"{""1"": 3, ""2"": 7, ""3"": 8, ""4"": 8, ""5"": 9, ""6"": 2, ""7"": 14, ""8"": 9, ""9"": 14, ""10"": 12, ""11"": 12, ""12"": 3, ""13"": 8, ""14"": 7, ""15"": 10, ""16"": 11, ""17"": 8, ""18"": 11, ""19"": 4, ""20"": 5, ""21"": 8, ""22"": 5, ""23"": 0, ""24"": 2, ""25"": 3, ""26"": 10, ""27"": 0, ""28"": 2, ""29"": 12, ""30"": 12, ""31"": 8, ""32"": 6}"
15,15,True,,hnn\random\mappings\sample_015_seed_15.csv,6.634833576768712,331.10784204477,2.361647136629945,14,0.000273078349,9.107887048821,1753088.0,180224.0,0.5650364203954215,0.004935038046514671,True,vec,16,"{""1"": 6, ""2"": 0, ""3"": 1, ""4"": 5, ""5"": 7, ""6"": 0, ""7"": 1, ""8"": 4, ""9"": 11, ""10"": 7, ""11"": 3, ""12"": 10, ""13"": 14, ""14"": 11, ""15"": 8, ""16"": 12, ""17"": 8, ""18"": 11, ""19"": 7, ""20"": 6, ""21"": 11, ""22"": 10, ""23"": 7, ""24"": 9, ""25"": 13, ""26"": 7, ""27"": 14, ""28"": 13, ""29"": 14, ""30"": 11, ""31"": 15, ""32"": 2}"
16,16,True,,hnn\random\mappings\sample_016_seed_16.csv,6.392888069461742,328.83153385574,1.8999861578030042,8,0.0002947789,2.24480669468325,1925120.0,204800.0,1.1352757544224765,0.004839976274048203,True,vec,16,"{""1"": 11, ""2"": 15, ""3"": 15, ""4"": 9, ""5"": 13, ""6"": 7, ""7"": 14, ""8"": 0, ""9"": 13, ""10"": 8, ""11"": 7, ""12"": 7, ""13"": 0, ""14"": 9, ""15"": 9, ""16"": 10, ""17"": 4, ""18"": 9, ""19"": 0, ""20"": 7, ""21"": 8, ""22"": 0, ""23"": 4, ""24"": 0, ""25"": 14, ""26"": 14, ""27"": 9, ""28"": 7, ""29"": 8, ""30"": 13, ""31"": 9, ""32"": 11}"
17,17,True,,hnn\random\mappings\sample_017_seed_17.csv,6.781228679166709,331.21483273763,1.7094762726666328,12,0.0002917788,8.655473750868044,2342912.0,262144.0,0.4339229968782518,0.005046787058036694,True,vec,16,"{""1"": 13, ""2"": 9, ""3"": 11, ""4"": 9, ""5"": 5, ""6"": 8, ""7"": 3, ""8"": 0, ""9"": 7, ""10"": 12, ""11"": 13, ""12"": 8, ""13"": 10, ""14"": 12, ""15"": 4, ""16"": 1, ""17"": 4, ""18"": 6, ""19"": 4, ""20"": 6, ""21"": 10, ""22"": 3, ""23"": 2, ""24"": 9, ""25"": 13, ""26"": 2, ""27"": 15, ""28"": 4, ""29"": 0, ""30"": 13, ""31"": 13, ""32"": 10}"
18,18,True,,hnn\random\mappings\sample_018_seed_18.csv,6.525541644983523,330.65631558607,1.8667269549090264,12,0.0002874046,4.430729018504163,2236416.0,196608.0,0.7814776274713839,0.004860303686307199,True,vec,16,"{""1"": 5, ""2"": 3, ""3"": 14, ""4"": 10, ""5"": 7, ""6"": 6, ""7"": 15, ""8"": 15, ""9"": 5, ""10"": 15, ""11"": 9, ""12"": 14, ""13"": 8, ""14"": 6, ""15"": 8, ""16"": 3, ""17"": 10, ""18"": 5, ""19"": 7, ""20"": 5, ""21"": 7, ""22"": 6, ""23"": 11, ""24"": 6, ""25"": 15, ""26"": 6, ""27"": 9, ""28"": 8, ""29"": 12, ""30"": 7, ""31"": 0, ""32"": 10}"
19,19,True,,hnn\random\mappings\sample_019_seed_19.csv,6.701218714742847,331.31193765838,1.8590275722460143,12,0.000298403,7.40681521628783,2473984.0,188416.0,0.6462018730489074,0.005107918039293191,True,vec,16,"{""1"": 1, ""2"": 3, ""3"": 6, ""4"": 12, ""5"": 11, ""6"": 9, ""7"": 4, ""8"": 8, ""9"": 3, ""10"": 8, ""11"": 13, ""12"": 10, ""13"": 8, ""14"": 3, ""15"": 10, ""16"": 9, ""17"": 0, ""18"": 6, ""19"": 2, ""20"": 6, ""21"": 3, ""22"": 14, ""23"": 12, ""24"": 2, ""25"": 3, ""26"": 13, ""27"": 0, ""28"": 3, ""29"": 14, ""30"": 9, ""31"": 13, ""32"": 12}"
