# B-2 GA remapped (gen=30, converged=False)
# Optimized static mapping — 32 mappable tasks
0, -1, 0, 8192, 1:1, 2:9, 3:5, 4:13
1, 1, 20000, 8192, 5:4, 6:9
2, 9, 20000, 8192, 7:14, 8:9
3, 5, 20000, 8192, 9:11, 10:4
4, 13, 20000, 8192, 11:11, 12:9
5, 4, 30000, 16384, 13:0, 14:12
6, 9, 30000, 16384, 15:1, 16:9
7, 14, 30000, 16384, 17:11, 18:9
8, 9, 30000, 16384, 19:12, 20:14
9, 11, 30000, 16384, 21:11, 22:2
10, 4, 30000, 16384, 23:4, 24:12
11, 11, 30000, 16384, 25:7, 26:13
12, 9, 30000, 16384, 27:0, 28:6
13, 0, 50000, 32768, 29:14
14, 12, 50000, 32768, 29:14
15, 1, 50000, 32768, 30:5
16, 9, 50000, 32768, 30:5
17, 11, 50000, 32768, 31:3
18, 9, 50000, 32768, 31:3
19, 12, 50000, 32768, 32:13
20, 14, 50000, 32768, 32:13
21, 11, 50000, 32768, 29:14
22, 2, 50000, 32768, 30:5
23, 4, 50000, 32768, 31:3
24, 12, 50000, 32768, 32:13
25, 7, 50000, 32768, 31:3
26, 13, 50000, 32768, 32:13
27, 0, 50000, 32768, 29:14
28, 6, 50000, 32768, 30:5
31, 3, 30000, 8192, -1:-1
32, 13, 30000, 8192, -1:-1
29, 14, 30000, 8192, -1:-1
30, 5, 30000, 8192, -1:-1
