# B-2 GA remapped (gen=60, converged=False)
# Optimized static mapping — 32 mappable tasks
0, -1, 0, 8192, 1:2, 2:6, 3:10, 4:8
1, 2, 20000, 8192, 5:8, 6:8
2, 6, 20000, 8192, 7:8, 8:8
3, 10, 20000, 8192, 9:1, 10:8
4, 8, 20000, 8192, 11:8, 12:8
5, 8, 30000, 16384, 13:8, 14:8
6, 8, 30000, 16384, 15:8, 16:5
7, 8, 30000, 16384, 17:10, 18:8
8, 8, 30000, 16384, 19:7, 20:8
9, 1, 30000, 16384, 21:8, 22:8
10, 8, 30000, 16384, 23:10, 24:11
11, 8, 30000, 16384, 25:8, 26:8
12, 8, 30000, 16384, 27:10, 28:1
13, 8, 50000, 32768, 29:14
14, 8, 50000, 32768, 29:14
15, 8, 50000, 32768, 30:5
16, 5, 50000, 32768, 30:5
17, 10, 50000, 32768, 31:2
18, 8, 50000, 32768, 31:2
19, 7, 50000, 32768, 32:11
20, 8, 50000, 32768, 32:11
21, 8, 50000, 32768, 29:14
22, 8, 50000, 32768, 30:5
23, 10, 50000, 32768, 31:2
24, 11, 50000, 32768, 32:11
25, 8, 50000, 32768, 31:2
26, 8, 50000, 32768, 32:11
27, 10, 50000, 32768, 29:14
28, 1, 50000, 32768, 30:5
29, 14, 30000, 8192, -1:-1
30, 5, 30000, 8192, -1:-1
31, 2, 30000, 8192, -1:-1
32, 11, 30000, 8192, -1:-1
