comparison_type,workload,method,method_family,source_root,ablation,seed,seed_type,selection_policy,metrics_path,reference_metrics_path,source_objective_name,source_objective_weights,stored_TR2_composite_cost,reference_full_objective_comparable_score,method_full_objective_comparable_score,full_score_delta_vs_reference,full_score_relative_change_pct_vs_reference,run_ok,valid_for_cost,valid,validity_notes,reference_T_max_K,method_T_max_K,T_max_K_delta_vs_reference,T_max_K_relative_change_pct,reference_sigma_T_K,method_sigma_T_K,sigma_T_K_delta_vs_reference,sigma_T_K_relative_change_pct,reference_N_hot,method_N_hot,N_hot_delta_vs_reference,N_hot_relative_change_pct,reference_makespan_s,method_makespan_s,makespan_s_delta_vs_reference,makespan_s_relative_change_pct,reference_eta_dvfs_pct,method_eta_dvfs_pct,eta_dvfs_pct_delta_vs_reference,eta_dvfs_pct_relative_change_pct,reference_raw_comm_cost,method_raw_comm_cost,raw_comm_cost_delta_vs_reference,raw_comm_cost_relative_change_pct,reference_raw_congestion_cost,method_raw_congestion_cost,raw_congestion_cost_delta_vs_reference,raw_congestion_cost_relative_change_pct,reference_raw_load_imbalance,method_raw_load_imbalance,raw_load_imbalance_delta_vs_reference,raw_load_imbalance_relative_change_pct,reference_pe_optical_comm_energy_J,method_pe_optical_comm_energy_J,pe_optical_comm_energy_J_delta_vs_reference,pe_optical_comm_energy_J_relative_change_pct,reference_T_max_C,method_T_max_C,T_max_C_delta_vs_reference,T_max_C_relative_change_pct,reference_makespan_us,method_makespan_us,makespan_us_delta_vs_reference,makespan_us_relative_change_pct,reference_DVFS_penalty_pct,method_DVFS_penalty_pct,DVFS_penalty_pct_delta_vs_reference,DVFS_penalty_pct_relative_change_pct,reference_comm_cost,method_comm_cost,comm_cost_delta_vs_reference,comm_cost_relative_change_pct,reference_congestion_proxy,method_congestion_proxy,congestion_proxy_delta_vs_reference,congestion_proxy_relative_change_pct,reference_load_imbalance,method_load_imbalance,load_imbalance_delta_vs_reference,load_imbalance_relative_change_pct,reference_total_PE_optical_energy_mJ,method_total_PE_optical_energy_mJ,total_PE_optical_energy_mJ_delta_vs_reference,total_PE_optical_energy_mJ_relative_change_pct,reference_f_thermal,method_f_thermal,f_thermal_delta_vs_reference,reference_f_sigma,method_f_sigma,f_sigma_delta_vs_reference,reference_f_hot,method_f_hot,f_hot_delta_vs_reference,reference_f_makespan,method_f_makespan,f_makespan_delta_vs_reference,reference_f_comm,method_f_comm,f_comm_delta_vs_reference,reference_f_congestion,method_f_congestion,f_congestion_delta_vs_reference,reference_f_dvfs,method_f_dvfs,f_dvfs_delta_vs_reference,reference_f_load,method_f_load,f_load_delta_vs_reference,reference_f_energy,method_f_energy,f_energy_delta_vs_reference
method_vs_reference,GEMM,RandomBest,supplement_random_baseline,random-mapping-ensemble-v2,,348,random_sample_seed,RandomBest,D:\HNOCS\out\experimental results\random-mapping-ensemble-v2\gemm\random\selected\random_best\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\gemm\metrics.json,full_objective_reference,w_T=1.0;w_sigma=1.0;w_hot=0.6;w_makespan=1.2;w_H=0.4;w_congestion=0.7;w_D=0.4;w_L=0.2;w_E=0.5;w_peak=0.0,4.046569270796039,6.000000000000001,4.046569270796039,-1.953430729203962,-32.557178820066035,True,True,True,,328.08421735578,326.44219034604,-1.6420270097400476,-0.5004894849786057,2.1434761400252804,1.497511641703908,-0.6459644983213724,-30.136304587638364,6.0,0.0,-6.0,-100.0,0.000120405,0.000116781,-3.623999999999991e-06,-3.0098417839790614,1.8350526805555563,0.0,-1.8350526805555563,-100.0,104448.0,75776.0,-28672.0,-27.450980392156865,22528.0,10240.0,-12288.0,-54.54545454545454,0.9202539178734378,1.1868676849831383,0.26661376710970053,28.97176115542144,0.0015708734939939562,0.0015175235562656193,-5.334993772833688e-05,-3.396195679175562,54.93421735578005,53.29219034604,-1.6420270097400476,-2.989078735946127,120.405,116.781,-3.6239999999999952,-3.0098417839790614,1.8350526805555563,0.0,-1.8350526805555563,-100.0,104448.0,75776.0,-28672.0,-27.450980392156865,22528.0,10240.0,-12288.0,-54.54545454545454,0.9202539178734378,1.1868676849831383,0.26661376710970053,28.97176115542144,1.5708734939939561,1.5175235562656193,-0.05334993772833685,-3.396195679175562,1.0,0.8347099775520149,-0.16529002244798507,1.0,0.6986369541236164,-0.30136304587638363,1.0,0.0,-1.0,1.0,0.9699015821602094,-0.030098417839790614,1.0,0.7254901960784313,-0.27450980392156865,1.0,0.45454545454545453,-0.5454545454545454,1.0,0.0,-1.0,1.0,1.2897176115542144,0.2897176115542144,1.0,0.9660380432082444,-0.03396195679175562
method_vs_reference,GEMM,RandomMedian,supplement_random_baseline,random-mapping-ensemble-v2,,2153,random_sample_seed,RandomMedian,D:\HNOCS\out\experimental results\random-mapping-ensemble-v2\gemm\random\selected\random_median\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\gemm\metrics.json,full_objective_reference,w_T=1.0;w_sigma=1.0;w_hot=0.6;w_makespan=1.2;w_H=0.4;w_congestion=0.7;w_D=0.4;w_L=0.2;w_E=0.5;w_peak=0.0,5.226566314496941,6.000000000000001,5.226566314496941,-0.7734336855030595,-12.890561425050983,True,True,True,,328.08421735578,326.66512016193,-1.419097193850007,-0.43254052428590706,2.1434761400252804,1.383388023029444,-0.7600881169958364,-35.46053547332101,6.0,0.0,-6.0,-100.0,0.000120405,0.0001467629,2.63579e-05,21.89103442548066,1.8350526805555563,0.0,-1.8350526805555563,-100.0,104448.0,113664.0,9216.0,8.823529411764696,22528.0,24576.0,2048.0,9.090909090909083,0.9202539178734378,2.431065264828407,1.510811346954969,164.17331321405476,0.0015708734939939562,0.0016778549085225709,0.00010698141452861469,6.8103138118788875,54.93421735578005,53.51512016193004,-1.419097193850007,-2.583266426932529,120.405,146.7629,26.3579,21.89103442548066,1.8350526805555563,0.0,-1.8350526805555563,-100.0,104448.0,113664.0,9216.0,8.823529411764696,22528.0,24576.0,2048.0,9.090909090909083,0.9202539178734378,2.431065264828407,1.510811346954969,164.17331321405476,1.5708734939939561,1.677854908522571,0.10698141452861476,6.8103138118788875,1.0,0.8571505793534575,-0.1428494206465425,1.0,0.6453946452667899,-0.3546053547332101,1.0,0.0,-1.0,1.0,1.2189103442548066,0.2189103442548066,1.0,1.088235294117647,0.08823529411764697,1.0,1.0909090909090908,0.09090909090909083,1.0,0.0,-1.0,1.0,2.6417331321405477,1.6417331321405477,1.0,1.0681031381187889,0.06810313811878888
method_vs_reference,GEMM,RandomP10,supplement_random_baseline,random-mapping-ensemble-v2,,2529,random_sample_seed,RandomP10,D:\HNOCS\out\experimental results\random-mapping-ensemble-v2\gemm\random\selected\random_p10\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\gemm\metrics.json,full_objective_reference,w_T=1.0;w_sigma=1.0;w_hot=0.6;w_makespan=1.2;w_H=0.4;w_congestion=0.7;w_D=0.4;w_L=0.2;w_E=0.5;w_peak=0.0,4.660018161066887,6.000000000000001,4.660018161066887,-1.339981838933114,-22.333030648885234,True,True,True,,328.08421735578,327.20955481393,-0.8746625418500003,-0.26659695760418156,2.1434761400252804,1.6068145756239418,-0.5366615644013386,-25.03697402458649,6.0,1.0,-5.0,-83.33333333333334,0.000120405,0.0001166827,-3.7222999999999965e-06,-3.091482911839205,1.8350526805555563,0.015754,-1.8192986805555562,-99.14149603622113,104448.0,76800.0,-27648.0,-26.470588235294112,22528.0,18432.0,-4096.0,-18.181818181818176,0.9202539178734378,1.7581829002182108,0.837928982344773,91.05410648846734,0.0015708734939939562,0.0015179161690936304,-5.295732490032579e-05,-3.3712023980798977,54.93421735578005,54.05955481393005,-0.8746625418500003,-1.5921998782384983,120.405,116.6827,-3.722300000000004,-3.091482911839216,1.8350526805555563,0.015754,-1.8192986805555562,-99.14149603622113,104448.0,76800.0,-27648.0,-26.470588235294112,22528.0,18432.0,-4096.0,-18.181818181818176,0.9202539178734378,1.7581829002182108,0.837928982344773,91.05410648846734,1.5708734939939561,1.5179161690936305,-0.052957324900325675,-3.3712023980798977,1.0,0.9119545596270758,-0.08804544037292417,1.0,0.7496302597541351,-0.2503697402458649,1.0,0.16666666666666666,-0.8333333333333334,1.0,0.969085170881608,-0.03091482911839205,1.0,0.7352941176470589,-0.2647058823529411,1.0,0.8181818181818182,-0.18181818181818177,1.0,0.00858503963778878,-0.9914149603622112,1.0,1.9105410648846735,0.9105410648846735,1.0,0.966287976019201,-0.03371202398079898
method_vs_reference,GEMM,RandomP90,supplement_random_baseline,random-mapping-ensemble-v2,,2490,random_sample_seed,RandomP90,D:\HNOCS\out\experimental results\random-mapping-ensemble-v2\gemm\random\selected\random_p90\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\gemm\metrics.json,full_objective_reference,w_T=1.0;w_sigma=1.0;w_hot=0.6;w_makespan=1.2;w_H=0.4;w_congestion=0.7;w_D=0.4;w_L=0.2;w_E=0.5;w_peak=0.0,5.912984938610217,6.000000000000001,5.912984938610217,-0.08701506138978399,-1.4502510231630628,True,True,True,,328.08421735578,327.29946162692,-0.7847557288600342,-0.2391933800366397,2.1434761400252804,1.455576386351508,-0.6878997536737723,-32.09271803070591,6.0,1.0,-5.0,-83.33333333333334,0.000120405,0.0001962928,7.588780000000002e-05,63.027116814085815,1.8350526805555563,0.03501770833333313,-1.800034972222223,-98.09173280394698,104448.0,67584.0,-36864.0,-35.29411764705882,22528.0,20480.0,-2048.0,-9.090909090909093,0.9202539178734378,3.3832572902201945,2.4630033723467566,267.6438887691313,0.0015708734939939562,0.00194308860487382,0.00037221511087986384,23.694785882057534,54.93421735578005,54.149461626920015,-0.7847557288600342,-1.4285371970944483,120.405,196.2928,75.8878,63.027116814085794,1.8350526805555563,0.03501770833333313,-1.800034972222223,-98.09173280394698,104448.0,67584.0,-36864.0,-35.29411764705882,22528.0,20480.0,-2048.0,-9.090909090909093,0.9202539178734378,3.3832572902201945,2.4630033723467566,267.6438887691313,1.5708734939939561,1.94308860487382,0.3722151108798639,23.694785882057534,1.0,0.9210047756400822,-0.07899522435991779,1.0,0.6790728196929409,-0.32092718030705913,1.0,0.16666666666666666,-0.8333333333333334,1.0,1.6302711681408582,0.6302711681408582,1.0,0.6470588235294118,-0.3529411764705882,1.0,0.9090909090909091,-0.09090909090909094,1.0,0.01908267196053011,-0.9809173280394698,1.0,3.676438887691313,2.676438887691313,1.0,1.2369478588205753,0.23694785882057534
method_vs_reference,MPEG4,RandomBest,supplement_random_baseline,random-mapping-ensemble-v2,,1761,random_sample_seed,RandomBest,D:\HNOCS\out\experimental results\random-mapping-ensemble-v2\mpeg4\random\selected\random_best\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\mpeg4\metrics.json,full_objective_reference,w_T=1.0;w_sigma=1.0;w_hot=0.6;w_makespan=1.2;w_H=0.4;w_congestion=0.7;w_D=0.4;w_L=0.2;w_E=0.5;w_peak=0.0,4.441197410955547,6.000000000000001,4.441197410955547,-1.5588025890444541,-25.980043150740894,True,True,True,,327.5966387468,325.84221510529,-1.7544236415100158,-0.535543846915354,1.3003837749577485,1.0518870368247166,-0.24849673813303186,-19.109492360523028,2.0,0.0,-2.0,-100.0,0.0001220699,0.0001224139,3.4399999999999535e-07,0.281805752277986,0.07168423611111063,0.0,-0.07168423611111063,-100.0,420000.0,472000.0,52000.0,12.380952380952381,88000.0,40000.0,-48000.0,-54.54545454545454,0.5670623064060744,0.9837175516022039,0.4166552451961295,73.47609609899939,0.0011328804365769536,0.0011328174466224451,-6.298995450845085e-08,-0.0055601590842835336,54.44663874680003,52.69221510529002,-1.7544236415100158,-3.22228090088138,122.06989999999999,122.41389999999998,0.3439999999999941,0.281805752277986,0.07168423611111063,0.0,-0.07168423611111063,-100.0,420000.0,472000.0,52000.0,12.380952380952381,88000.0,40000.0,-48000.0,-54.54545454545454,0.5670623064060744,0.9837175516022039,0.4166552451961295,73.47609609899939,1.1328804365769536,1.1328174466224452,-6.298995450837452e-05,-0.0055601590842835336,1.0,0.8142806464252366,-0.18571935357476343,1.0,0.8089050763947697,-0.19109492360523028,1.0,0.0,-1.0,1.0,1.0028180575227799,0.00281805752277986,1.0,1.1238095238095238,0.12380952380952381,1.0,0.45454545454545453,-0.5454545454545454,1.0,0.0,-1.0,1.0,1.7347609609899939,0.7347609609899939,1.0,0.9999443984091572,-5.5601590842835336e-05
method_vs_reference,MPEG4,RandomMedian,supplement_random_baseline,random-mapping-ensemble-v2,,2383,random_sample_seed,RandomMedian,D:\HNOCS\out\experimental results\random-mapping-ensemble-v2\mpeg4\random\selected\random_median\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\mpeg4\metrics.json,full_objective_reference,w_T=1.0;w_sigma=1.0;w_hot=0.6;w_makespan=1.2;w_H=0.4;w_congestion=0.7;w_D=0.4;w_L=0.2;w_E=0.5;w_peak=0.0,5.256811453120918,6.000000000000001,5.256811453120918,-0.7431885468790833,-12.386475781318051,True,True,True,,327.5966387468,327.27944157758,-0.31719716922003727,-0.09682552618166529,1.3003837749577485,1.253925193158634,-0.04645858179911455,-3.5726823645292005,2.0,1.0,-1.0,-50.0,0.0001220699,0.0001224427,3.728000000000043e-07,0.3053987920035972,0.07168423611111063,0.0175515,-0.054132736111110635,-75.51553737310506,420000.0,428000.0,8000.0,1.904761904761898,88000.0,60000.0,-28000.0,-31.818181818181824,0.5670623064060744,0.9617883281708286,0.39472602176475424,69.60893314642045,0.0011328804365769536,0.001133795307319929,9.148707429754155e-07,0.08075616044176392,54.44663874680003,54.129441577579996,-0.31719716922003727,-0.5825835653420985,122.06989999999999,122.4427,0.37280000000001223,0.3053987920035972,0.07168423611111063,0.0175515,-0.054132736111110635,-75.51553737310506,420000.0,428000.0,8000.0,1.904761904761898,88000.0,60000.0,-28000.0,-31.818181818181824,0.5670623064060744,0.9617883281708286,0.39472602176475424,69.60893314642045,1.1328804365769536,1.133795307319929,0.00091487074297536,0.08075616044176392,1.0,0.9664222187677617,-0.03357778123223831,1.0,0.964273176354708,-0.035726823645292005,1.0,0.5,-0.5,1.0,1.003053987920036,0.003053987920035972,1.0,1.019047619047619,0.01904761904761898,1.0,0.6818181818181818,-0.31818181818181823,1.0,0.2448446262689493,-0.7551553737310507,1.0,1.6960893314642045,0.6960893314642045,1.0,1.0008075616044176,0.0008075616044176392
method_vs_reference,MPEG4,RandomP10,supplement_random_baseline,random-mapping-ensemble-v2,,2456,random_sample_seed,RandomP10,D:\HNOCS\out\experimental results\random-mapping-ensemble-v2\mpeg4\random\selected\random_p10\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\mpeg4\metrics.json,full_objective_reference,w_T=1.0;w_sigma=1.0;w_hot=0.6;w_makespan=1.2;w_H=0.4;w_congestion=0.7;w_D=0.4;w_L=0.2;w_E=0.5;w_peak=0.0,4.833898391410855,6.000000000000001,4.833898391410855,-1.1661016085891456,-19.43502680981909,True,True,True,,327.5966387468,325.86627787872,-1.7303608680800266,-0.5281986026167473,1.3003837749577485,1.1018145666459451,-0.19856920831180336,-15.270046592072806,2.0,0.0,-2.0,-100.0,0.0001220699,0.0001224437,3.7379999999999293e-07,0.3062179947718402,0.07168423611111063,0.0,-0.07168423611111063,-100.0,420000.0,452000.0,32000.0,7.619047619047614,88000.0,72000.0,-16000.0,-18.181818181818176,0.5670623064060744,1.3126559030728324,0.7455935966667581,131.4835403876831,0.0011328804365769536,0.0011327123618452616,-1.6807473169201496e-07,-0.014836052090361207,54.44663874680003,52.71627787872001,-1.7303608680800266,-3.178085751311366,122.06989999999999,122.44369999999999,0.3738000000000028,0.3062179947718402,0.07168423611111063,0.0,-0.07168423611111063,-100.0,420000.0,452000.0,32000.0,7.619047619047614,88000.0,72000.0,-16000.0,-18.181818181818176,0.5670623064060744,1.3126559030728324,0.7455935966667581,131.4835403876831,1.1328804365769536,1.1327123618452615,-0.00016807473169211384,-0.014836052090361207,1.0,0.8168278776759436,-0.18317212232405644,1.0,0.8472995340792719,-0.15270046592072806,1.0,0.0,-1.0,1.0,1.0030621799477184,0.003062179947718402,1.0,1.0761904761904761,0.07619047619047614,1.0,0.8181818181818182,-0.18181818181818177,1.0,0.0,-1.0,1.0,2.314835403876831,1.314835403876831,1.0,0.9998516394790964,-0.00014836052090361207
method_vs_reference,MPEG4,RandomP90,supplement_random_baseline,random-mapping-ensemble-v2,,1152,random_sample_seed,RandomP90,D:\HNOCS\out\experimental results\random-mapping-ensemble-v2\mpeg4\random\selected\random_p90\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\mpeg4\metrics.json,full_objective_reference,w_T=1.0;w_sigma=1.0;w_hot=0.6;w_makespan=1.2;w_H=0.4;w_congestion=0.7;w_D=0.4;w_L=0.2;w_E=0.5;w_peak=0.0,5.970499856273806,6.000000000000001,5.970499856273806,-0.029500143726195027,-0.49166906210325045,True,True,True,,327.5966387468,327.29872075625,-0.29791799054999046,-0.09094049062580156,1.3003837749577485,1.3317552575731293,0.03137148261538081,2.4124787789204793,2.0,1.0,-1.0,-50.0,0.0001220699,0.0001328456,1.07757e-05,8.827483269831472,0.07168423611111063,0.0221412790697675,-0.049542957041343136,-69.11276415717327,420000.0,300000.0,-120000.0,-28.57142857142857,88000.0,68000.0,-20000.0,-22.72727272727273,0.5670623064060744,2.5406924152298456,1.9736301088237713,348.0446657321023,0.0011328804365769536,0.001191157048747281,5.827661217032735e-05,5.144109677311803,54.44663874680003,54.14872075625004,-0.29791799054999046,-0.5471742561289017,122.06989999999999,132.8456,10.7757,8.827483269831472,0.07168423611111063,0.0221412790697675,-0.049542957041343136,-69.11276415717327,420000.0,300000.0,-120000.0,-28.57142857142857,88000.0,68000.0,-20000.0,-22.72727272727273,0.5670623064060744,2.5406924152298456,1.9736301088237713,348.0446657321023,1.1328804365769536,1.191157048747281,0.05827661217032731,5.144109677311803,1.0,0.9684630694011764,-0.031536930598823565,1.0,1.0241247877892048,0.024124787789204793,1.0,0.5,-0.5,1.0,1.0882748326983147,0.08827483269831471,1.0,0.7142857142857143,-0.2857142857142857,1.0,0.7727272727272727,-0.2272727272727273,1.0,0.3088723584282672,-0.6911276415717328,1.0,4.480446657321023,3.480446657321023,1.0,1.051441096773118,0.051441096773118034
method_vs_reference,VOPD,RandomBest,supplement_random_baseline,random-mapping-ensemble-v2,,2449,random_sample_seed,RandomBest,D:\HNOCS\out\experimental results\random-mapping-ensemble-v2\vopd\random\selected\random_best\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\vopd\metrics.json,full_objective_reference,w_T=1.0;w_sigma=1.0;w_hot=0.6;w_makespan=1.2;w_H=0.4;w_congestion=0.7;w_D=0.4;w_L=0.2;w_E=0.5;w_peak=0.0,4.731106373006268,5.0,4.731106373006268,-0.26889362699373187,-5.377872539874639,True,True,True,,325.37271921261,325.79880845727,0.42608924466003373,0.13095420098254706,0.9870939912641029,0.9608939772948969,-0.026200013969206015,-2.65425726436177,0.0,0.0,0.0,,8.93329e-05,9.09347e-05,1.6018000000000022e-06,1.793068399212383,0.0,0.0,0.0,,1396000.0,1374000.0,-22000.0,-1.5759312320916874,252000.0,136000.0,-116000.0,-46.03174603174603,0.35802469135802467,0.35802469135802467,0.0,0.0,0.0007507385223064374,0.0007592446288201142,8.506106513676815e-06,1.1330318427705155,52.22271921261,52.648808457270036,0.42608924466003373,0.8159078100191008,89.3329,90.9347,1.6018000000000114,1.7930683992124052,0.0,0.0,0.0,,1396000.0,1374000.0,-22000.0,-1.5759312320916874,252000.0,136000.0,-116000.0,-46.03174603174603,0.35802469135802467,0.35802469135802467,0.0,0.0,0.7507385223064373,0.7592446288201142,0.008506106513676892,1.1330318427705377,1.0,1.0589929127960744,0.05899291279607444,1.0,0.9734574273563823,-0.0265425726436177,0.0,0.0,0.0,1.0,1.0179306839921238,0.01793068399212383,1.0,0.9842406876790831,-0.015759312320916874,1.0,0.5396825396825397,-0.46031746031746035,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0113303184277052,0.011330318427705155
method_vs_reference,VOPD,RandomMedian,supplement_random_baseline,random-mapping-ensemble-v2,,2441,random_sample_seed,RandomMedian,D:\HNOCS\out\experimental results\random-mapping-ensemble-v2\vopd\random\selected\random_median\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_40\gen_60\vopd\metrics.json,full_objective_reference,w_T=1.0;w_sigma=1.0;w_hot=0.6;w_makespan=1.2;w_H=0.4;w_congestion=0.7;w_D=0.4;w_L=0.2;w_E=0.5;w_peak=0.0,5.528208748808112,5.0,5.528208748808112,0.5282087488081117,10.564174976162244,True,True,True,,325.37271921261,326.74297008691,1.3702508743000408,0.42113268672800963,0.9870939912641029,1.028961401580294,0.04186741031619101,4.241481630596722,0.0,0.0,0.0,,8.93329e-05,8.7787e-05,-1.5458999999999948e-06,-1.7304934688116003,0.0,0.0,0.0,,1396000.0,1838000.0,442000.0,31.661891117478504,252000.0,192000.0,-60000.0,-23.809523809523814,0.35802469135802467,1.0054869684499315,0.6474622770919067,180.84291187739464,0.0007507385223064374,0.0007435001168231496,-7.238405483287803e-06,-0.9641713150738251,52.22271921261,53.59297008691004,1.3702508743000408,2.623859682069507,89.3329,87.787,-1.545899999999989,-1.7304934688115892,0.0,0.0,0.0,,1396000.0,1838000.0,442000.0,31.661891117478504,252000.0,192000.0,-60000.0,-23.809523809523814,0.35802469135802467,1.0054869684499315,0.6474622770919067,180.84291187739464,0.7507385223064373,0.7435001168231495,-0.007238405483287802,-0.9641713150738251,1.0,1.1897139891452164,0.18971398914521642,1.0,1.0424148163059672,0.04241481630596722,0.0,0.0,0.0,1.0,0.982695065311884,-0.017304934688116003,1.0,1.316618911174785,0.316618911174785,1.0,0.7619047619047619,-0.23809523809523814,0.0,0.0,0.0,1.0,2.8084291187739465,1.8084291187739465,1.0,0.9903582868492617,-0.009641713150738251
