workload,method,method_family,source_root,ablation,seed,selection_policy,run_ok,valid_for_cost,T_max_valid,makespan_valid,energy_valid,history_rows,history_schema,history_all_best_fitness_infinite,history_best_inf_gens,history_avg_inf_gens,history_worst_inf_gens,valid,validity_notes,metrics_path,history_path
VOPD,Full-GA,proposed,B-2-v4,,42,,True,True,True,True,True,38,ga,False,0,21,21,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\vopd\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\vopd\history.json
HNN,ReferenceMapping,reference_mapping,B-2-v4,,42,,True,True,True,True,True,54,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\hnn\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\hnn\history.json
HNN,Full-GA,proposed,B-2-v4,,42,,True,True,True,True,True,54,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\hnn\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\hnn\history.json
GEMM,ReferenceMapping,reference_mapping,B-2-v4,,43,,True,True,True,True,True,20,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_43\gen_60\gemm\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_43\gen_60\gemm\history.json
GEMM,Full-GA,proposed,B-2-v4,,43,,True,True,True,True,True,20,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_43\gen_60\gemm\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_43\gen_60\gemm\history.json
MPEG4,ReferenceMapping,reference_mapping,B-2-v4,,43,,True,True,True,True,True,32,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_43\gen_60\mpeg4\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_43\gen_60\mpeg4\history.json
MPEG4,Full-GA,proposed,B-2-v4,,43,,True,True,True,True,True,32,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_43\gen_60\mpeg4\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_43\gen_60\mpeg4\history.json
VOPD,ReferenceMapping,reference_mapping,B-2-v4,,43,,True,True,True,True,True,29,ga,False,0,19,19,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_43\gen_60\vopd\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_43\gen_60\vopd\history.json
VOPD,Full-GA,proposed,B-2-v4,,43,,True,True,True,True,True,29,ga,False,0,19,19,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_43\gen_60\vopd\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_43\gen_60\vopd\history.json
HNN,ReferenceMapping,reference_mapping,B-2-v4,,43,,True,True,True,True,True,17,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_43\gen_60\hnn\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_43\gen_60\hnn\history.json
HNN,Full-GA,proposed,B-2-v4,,43,,True,True,True,True,True,17,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_43\gen_60\hnn\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_43\gen_60\hnn\history.json
GEMM,ReferenceMapping,reference_mapping,B-2-v4,,44,,True,True,True,True,True,33,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_44\gen_60\gemm\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_44\gen_60\gemm\history.json
GEMM,Full-GA,proposed,B-2-v4,,44,,True,True,True,True,True,33,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_44\gen_60\gemm\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_44\gen_60\gemm\history.json
MPEG4,ReferenceMapping,reference_mapping,B-2-v4,,44,,True,True,True,True,True,39,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_44\gen_60\mpeg4\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_44\gen_60\mpeg4\history.json
MPEG4,Full-GA,proposed,B-2-v4,,44,,True,True,True,True,True,39,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_44\gen_60\mpeg4\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_44\gen_60\mpeg4\history.json
VOPD,ReferenceMapping,reference_mapping,B-2-v4,,44,,True,True,True,True,True,30,ga,False,0,23,23,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_44\gen_60\vopd\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_44\gen_60\vopd\history.json
VOPD,Full-GA,proposed,B-2-v4,,44,,True,True,True,True,True,30,ga,False,0,23,23,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_44\gen_60\vopd\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_44\gen_60\vopd\history.json
HNN,ReferenceMapping,reference_mapping,B-2-v4,,44,,True,True,True,True,True,30,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_44\gen_60\hnn\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_44\gen_60\hnn\history.json
HNN,Full-GA,proposed,B-2-v4,,44,,True,True,True,True,True,30,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_44\gen_60\hnn\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_44\gen_60\hnn\history.json
GEMM,ReferenceMapping,reference_mapping,B-2-v4,,45,,True,True,True,True,True,53,ga,False,0,0,0,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_45\gen_60\gemm\metrics.json,D:\HNOCS\out\experimental results\B-2-v4\seed_45\gen_60\gemm\history.json
