# B-2 GA remapped (gen=27, converged=True)
# Optimized static mapping — 16 mappable tasks
0, -1, 0, 4096, 1:15, 2:8, 3:0, 4:11, 5:14, 6:10, 7:8, 8:6, 9:9, 10:1, 11:13, 12:5, 13:7, 14:5, 15:0, 16:3
1, 15, 1000, 32768, -1:-1
2, 8, 1000, 32768, -1:-1
3, 0, 1000, 32768, -1:-1
4, 11, 1000, 32768, -1:-1
5, 14, 1000, 32768, -1:-1
6, 10, 1000, 32768, -1:-1
7, 8, 1000, 32768, -1:-1
8, 6, 1000, 32768, -1:-1
9, 9, 1000, 32768, -1:-1
10, 1, 1000, 32768, -1:-1
11, 13, 1000, 32768, -1:-1
12, 5, 1000, 32768, -1:-1
13, 7, 1000, 32768, -1:-1
14, 5, 1000, 32768, -1:-1
15, 0, 1000, 32768, -1:-1
16, 3, 1000, 32768, -1:-1
