# B-2 GA remapped (gen=39, converged=True)
# Optimized static mapping — 32 mappable tasks
0, -1, 0, 8192, 1:14, 2:4, 3:13, 4:13
1, 14, 20000, 8192, 5:15, 6:15
2, 4, 20000, 8192, 7:4, 8:0
3, 13, 20000, 8192, 9:9, 10:8
4, 13, 20000, 8192, 11:8, 12:6
5, 15, 30000, 16384, 13:14, 14:9
6, 15, 30000, 16384, 15:15, 16:15
7, 4, 30000, 16384, 17:1, 18:5
8, 0, 30000, 16384, 19:10, 20:1
9, 9, 30000, 16384, 21:9, 22:7
10, 8, 30000, 16384, 23:4, 24:9
11, 8, 30000, 16384, 25:8, 26:10
12, 6, 30000, 16384, 27:9, 28:5
13, 14, 50000, 32768, 29:9
14, 9, 50000, 32768, 29:9
15, 15, 50000, 32768, 30:15
16, 15, 50000, 32768, 30:15
17, 1, 50000, 32768, 31:5
18, 5, 50000, 32768, 31:5
19, 10, 50000, 32768, 32:10
20, 1, 50000, 32768, 32:10
21, 9, 50000, 32768, 29:9
22, 7, 50000, 32768, 30:15
23, 4, 50000, 32768, 31:5
24, 9, 50000, 32768, 32:10
25, 8, 50000, 32768, 31:5
26, 10, 50000, 32768, 32:10
27, 9, 50000, 32768, 29:9
28, 5, 50000, 32768, 30:15
29, 9, 30000, 8192, -1:-1
30, 15, 30000, 8192, -1:-1
31, 5, 30000, 8192, -1:-1
32, 10, 30000, 8192, -1:-1
