benchmark,requested_samples,valid_samples,invalid_samples,original_cost,random_best_cost,random_p10_cost,random_median_cost,random_p90_cost,random_elapsed_s,random_elapsed_min,ga_n,ga_seeds,ga_cost_mean,ga_cost_std,ga_cost_ci95_half,ga_cost_best,ga_cost_worst,ga_configured_budget_pop_x_gen,ga_effective_candidate_evals_min,ga_effective_candidate_evals_mean,ga_effective_candidate_evals_max,ga_mean_advantage_over_random_best_pct,ga_mean_advantage_over_random_median_pct,ga_worst_advantage_over_random_best_pct,ga_worst_still_better_than_random_best,random_samples_cost_le_ga_mean,random_samples_cost_le_ga_worst,random_samples_cost_le_ga_best,random_best_beats_ga_mean,random_best_beats_ga_best
GEMM,3000,3000,0,6.000000000000001,4.046569270796039,4.660018161066887,5.226566314496941,5.912984938610217,520.7508584999996,8.679180974999992,10,"40,41,42,43,44,45,46,47,48,49",3.7795559502616976,0.036599898934011145,0.026180171473091016,3.7259784989639666,3.844634655649292,3000,962,2238.8,2882,6.598511051358193,27.68567884084178,4.99026710364512,True,0,0,0,False,False
MPEG4,3000,3000,0,6.000000000000001,4.441197410955547,4.833898391410855,5.256811453120918,5.970499856273806,503.74565599999914,8.39576093333332,10,"40,41,42,43,44,45,46,47,48,49",4.13261867463684,0.07455338144428104,0.0533285710331914,4.016261600531964,4.242777663082553,3000,1010,1792.4,2786,6.948097726021028,21.38544987792278,4.467708356839357,True,0,0,0,False,False
VOPD,3243,3000,243,5.0,4.731106373006268,5.148815268613549,5.528208748808112,6.029117071317573,2334.3545068999993,38.90590844833332,10,"40,41,42,43,44,45,46,47,48,49",4.405927038056357,0.08596899642302434,0.06149424269674241,4.2209760937638094,4.535907040207907,3000,1154,1792.4,2402,6.87321969350022,20.301000952500566,4.125870724701678,True,0,0,0,False,False
HNN,3000,3000,0,6.000000000000001,5.538187698300438,6.127662755478515,6.510668384336667,6.996664373254697,675.6181835999996,11.260303059999993,10,"40,41,42,43,44,45,46,47,48,49",5.135715738551729,0.19229227699265172,0.13754805153138194,4.878621881488557,5.462613147873699,3000,818,1850,2882,7.26721414429885,21.118456118772567,1.3646079646222682,True,0,0,0,False,False
