benchmark,random_n,seed_base,workers,n_valid,n_invalid,original_cost,random_best_cost,random_median_cost,random_p10_cost,random_p90_cost,elapsed_s
gemm,3000,0,8,3000,0,6.000000000000001,4.046569270796039,5.226566314496941,4.660018161066887,5.912984938610217,520.7508584999996
mpeg4,3000,0,8,3000,0,6.000000000000001,4.441197410955547,5.256811453120918,4.833898391410855,5.970499856273806,503.74565599999914
vopd,3243,0,8,3000,243,5.0,4.731106373006268,5.528208748808112,5.148815268613549,6.029117071317573,2334.3545068999993
hnn,3000,0,8,3000,0,6.000000000000001,5.538187698300438,6.510668384336667,6.127662755478515,6.996664373254697,675.6181835999996
