benchmark,sample_id,sample_seed,run_ok,valid_for_cost,failure_reason,TR2_composite_cost,T_max_C,makespan_s,total_PE_optical_energy_J,temperature_source,parsed_pe_count,mapping_csv,validity_notes
GEMM,41,41,True,True,,5.443981784350962,55.148158594600034,0.000119307,0.0015430833754919843,vec,16,gemm\random\mappings\sample_041_seed_41.csv,
GEMM,42,42,True,True,,5.72815872206102,55.965223971310024,0.0001665348,0.0017960357179868317,vec,16,gemm\random\mappings\sample_042_seed_42.csv,
GEMM,43,43,True,True,,4.80948895351599,54.441301941580036,0.0001176067,0.0015255095996521892,vec,16,gemm\random\mappings\sample_043_seed_43.csv,
GEMM,44,44,True,True,,5.0599676674951475,54.54113456587004,0.0001198048,0.0015440650883118614,vec,16,gemm\random\mappings\sample_044_seed_44.csv,
GEMM,45,45,True,True,,4.724521279233978,53.519100928420016,0.0001166509,0.0015168574901753887,vec,16,gemm\random\mappings\sample_045_seed_45.csv,
GEMM,46,46,True,True,,5.356162828952445,54.85580110770002,0.000118152465,0.001534561748612666,vec,16,gemm\random\mappings\sample_046_seed_46.csv,
GEMM,47,47,True,True,,5.607324741720371,54.31904803571001,0.0001473826,0.0016852620850501408,vec,16,gemm\random\mappings\sample_047_seed_47.csv,
GEMM,48,48,True,True,,4.484069044212279,53.21372507999001,0.0001168587,0.0015177202483064088,vec,16,gemm\random\mappings\sample_048_seed_48.csv,
GEMM,49,49,True,True,,4.851826803427594,53.494325679860026,0.0001468889,0.0016801273216025601,vec,16,gemm\random\mappings\sample_049_seed_49.csv,
GEMM,50,50,True,True,,5.327734711827964,54.856045325189996,0.0001465527,0.0016911271683307172,vec,16,gemm\random\mappings\sample_050_seed_50.csv,
GEMM,51,51,True,True,,5.086715423713756,53.64648090692003,0.0001661008,0.0017806173045302972,vec,16,gemm\random\mappings\sample_051_seed_51.csv,
GEMM,52,52,True,True,,5.452933733659149,54.77799827467004,0.0001195986,0.00154090914503069,vec,16,gemm\random\mappings\sample_052_seed_52.csv,
GEMM,53,53,True,True,,6.020087857000336,55.80822356476,0.0001664529,0.0018090059829963714,vec,16,gemm\random\mappings\sample_053_seed_53.csv,
GEMM,54,54,True,True,,6.263566221126191,54.90422707037004,0.0001703648,0.0018163610982723493,vec,16,gemm\random\mappings\sample_054_seed_54.csv,
GEMM,55,55,True,True,,4.414018944724519,53.16725885863002,0.0001168589,0.0015177937639680222,vec,16,gemm\random\mappings\sample_055_seed_55.csv,
GEMM,56,56,True,True,,5.612835580451465,55.0025815166,0.000118965,0.0015369746965239995,vec,16,gemm\random\mappings\sample_056_seed_56.csv,
GEMM,57,57,True,True,,5.510583096630577,55.16651488390005,0.0001190128,0.001542128236986807,vec,16,gemm\random\mappings\sample_057_seed_57.csv,
GEMM,58,58,True,True,,5.414350002835462,52.750129937320025,0.0002160046,0.0020456686122374396,vec,16,gemm\random\mappings\sample_058_seed_58.csv,
GEMM,59,59,True,True,,5.871409233681299,54.78041197982003,0.0001492608,0.0016997273257696296,vec,16,gemm\random\mappings\sample_059_seed_59.csv,
GEMM,60,60,True,True,,4.975500969313036,55.01226758791,0.0001182409,0.001533654158213484,vec,16,gemm\random\mappings\sample_060_seed_60.csv,
GEMM,61,61,True,True,,5.560036968896394,54.980351397120046,0.0001184666,0.0015351860008930014,vec,16,gemm\random\mappings\sample_061_seed_61.csv,
GEMM,62,62,True,True,,5.248645738526534,52.72883300343,0.0001763087,0.0018344780979788254,vec,16,gemm\random\mappings\sample_062_seed_62.csv,
GEMM,63,63,True,True,,5.380363160810331,54.634966583560015,0.0001761526,0.0018422801065418343,vec,16,gemm\random\mappings\sample_063_seed_63.csv,
GEMM,64,64,True,True,,4.888491839601702,53.55639266798005,0.0001168388,0.0015193667756917431,vec,16,gemm\random\mappings\sample_064_seed_64.csv,
GEMM,65,65,True,True,,5.622056592443711,54.53387630161001,0.0001665068,0.001788764039171296,vec,16,gemm\random\mappings\sample_065_seed_65.csv,
GEMM,66,66,True,True,,4.717235726791259,54.09897985773,0.0001170627,0.0015206083094975423,vec,16,gemm\random\mappings\sample_066_seed_66.csv,
GEMM,67,67,True,True,,5.352135004141935,53.198813445520045,0.0001667128,0.0017846947475176303,vec,16,gemm\random\mappings\sample_067_seed_67.csv,
GEMM,68,68,True,True,,4.946207028915652,54.47873046837003,0.0001184627,0.0015331105103494013,vec,16,gemm\random\mappings\sample_068_seed_68.csv,
GEMM,69,69,True,True,,5.33954234489074,55.004171722050046,0.0001463766,0.0016868346314759836,vec,16,gemm\random\mappings\sample_069_seed_69.csv,
GEMM,70,70,True,True,,5.856396743674101,53.73804417199,0.0001667748,0.001785175109673388,vec,16,gemm\random\mappings\sample_070_seed_70.csv,
