workload,generation,best_fitness,avg_fitness,worst_fitness,best_tmax_C,best_sigma_K,best_hot_pe,best_makespan_us,best_energy_mJ
GEMM,1,4.3327180135838725,11.397419680923976,37.95497381351124,53.719085780570026,1.9601029181652136,0,115.96289999999999,1.5156621009539772
GEMM,2,4.3327180135838725,11.408106215607585,37.80118058203354,53.719085780570026,1.9601029181652136,0,115.96289999999999,1.5156621009539772
GEMM,3,4.276786032046298,9.40286885393189,37.17349920188826,53.719085780570026,1.958197879480948,0,115.95490000000001,1.5159081363134568
GEMM,4,4.276786032046298,10.629249619479817,37.14158391002866,53.719085780570026,1.958197879480948,0,115.95490000000001,1.5159081363134568
GEMM,5,4.276786032046298,7.954941478460953,37.336035759991994,53.719085780570026,1.958197879480948,0,115.95490000000001,1.5159081363134568
GEMM,6,4.150326599480217,8.535512659373731,37.00220308132085,53.33622926267003,1.9455507544755721,0,116.0829,1.5161570145756307
GEMM,7,4.126769744435763,6.495789249060066,37.19409888117384,53.49970122793002,1.98436951744424,0,115.9388,1.5164912101265575
GEMM,8,4.126769744435763,8.402600841890242,36.75283279885545,53.49970122793002,1.98436951744424,0,115.9388,1.5164912101265575
GEMM,9,4.124040183721118,6.367634348523364,36.94311747476022,53.630364110190044,1.939422806149114,0,115.8907,1.5149596163704055
GEMM,10,4.06876737009067,4.389985871704587,5.50511983824489,53.29958827394,1.956054578641974,0,115.9868,1.5158040562206894
GEMM,11,4.06876737009067,5.67153986208256,36.85618981969229,53.29958827394,1.956054578641974,0,115.9868,1.5158040562206894
GEMM,12,4.06876737009067,6.293048479743923,36.74288090294704,53.29958827394,1.956054578641974,0,115.9868,1.5158040562206894
GEMM,13,4.06876737009067,7.610696844997319,36.84672271867587,53.29958827394,1.956054578641974,0,115.9868,1.5158040562206894
GEMM,14,4.06876737009067,6.969989611854037,37.168290994023984,53.29958827394,1.956054578641974,0,115.9868,1.5158040562206894
GEMM,15,4.024100114504603,6.91969276962359,36.77772923583469,53.29958827394,1.936688133341285,0,115.9868,1.5156379887811664
GEMM,16,4.024100114504603,7.550415866557189,36.73135364459439,53.29958827394,1.936688133341285,0,115.9868,1.5156379887811664
GEMM,17,4.024100114504603,5.604170240248366,37.062413255598756,53.29958827394,1.936688133341285,0,115.9868,1.5156379887811664
