workload,configured_generations,actual_generations,converged,baseline_cost,b2_cost,baseline_tmax_C,b2_tmax_C,baseline_sigma_K,b2_sigma_K,baseline_hot_pe,b2_hot_pe,baseline_makespan_us,b2_makespan_us,baseline_dvfs_pct,b2_dvfs_pct,baseline_comm_cost,b2_comm_cost,baseline_energy_mJ,b2_energy_mJ
GEMM,60,52,True,6.000000000000001,3.9245147650431265,54.90854649933004,52.869480496920005,2.554206770599849,1.8399544103069623,6.0,0.0,119.635,115.9707,1.7684489444444438,0.0,104448.0,70656.0,1.5688415946374226,1.5147438491403677
HNN,60,47,True,6.000000000000001,5.115848354518018,55.70367961400001,55.12913487757004,3.0540648283196443,2.061858505118848,16.0,4.0,204.2186,264.6907,11.01412790384608,0.6267606634615375,2195456.0,1761280.0,4.661220154091143,4.582881367541026
MPEG4,60,23,True,6.000000000000001,4.034964006318804,54.42510637505001,52.73028011624001,1.5403989658376955,1.4590240422901974,2.0,0.0,121.7279,90.92060000000001,0.06452131944444438,0.0,420000.0,196000.0,1.1334767633424898,0.9693036009290962
VOPD,60,34,True,5.0,4.09396514115717,52.188967414080025,52.30898108601002,1.1512776013347283,1.3674645472520004,0.0,0.0,87.42689999999999,42.3467,0.0,0.0,1396000.0,796000.0,0.7472926480853352,0.500339489522723
