# B-2 GA remapped (gen=28, converged=True)
# Optimized static mapping — 32 mappable tasks
0, -1, 0, 8192, 1:9, 2:2, 3:10, 4:1
1, 9, 20000, 8192, 5:11, 6:15
2, 2, 20000, 8192, 7:0, 8:14
3, 10, 20000, 8192, 9:0, 10:0
4, 1, 20000, 8192, 11:1, 12:12
5, 11, 30000, 16384, 13:9, 14:5
6, 15, 30000, 16384, 15:7, 16:14
7, 0, 30000, 16384, 17:15, 18:6
8, 14, 30000, 16384, 19:7, 20:6
9, 0, 30000, 16384, 21:8, 22:10
10, 0, 30000, 16384, 23:5, 24:8
11, 1, 30000, 16384, 25:0, 26:9
12, 12, 30000, 16384, 27:12, 28:15
13, 9, 50000, 32768, 29:13
14, 5, 50000, 32768, 29:13
15, 7, 50000, 32768, 30:10
16, 14, 50000, 32768, 30:10
17, 15, 50000, 32768, 31:7
18, 6, 50000, 32768, 31:7
19, 7, 50000, 32768, 32:4
20, 6, 50000, 32768, 32:4
21, 8, 50000, 32768, 29:13
22, 10, 50000, 32768, 30:10
23, 5, 50000, 32768, 31:7
24, 8, 50000, 32768, 32:4
25, 0, 50000, 32768, 31:7
26, 9, 50000, 32768, 32:4
27, 12, 50000, 32768, 29:13
28, 15, 50000, 32768, 30:10
29, 13, 30000, 8192, -1:-1
30, 10, 30000, 8192, -1:-1
31, 7, 30000, 8192, -1:-1
32, 4, 30000, 8192, -1:-1
