# B-2 GA remapped (gen=26, converged=True)
# Optimized static mapping — 32 mappable tasks
0, -1, 0, 8192, 1:6, 2:2, 3:0, 4:13
1, 6, 20000, 8192, 5:7, 6:13
2, 2, 20000, 8192, 7:13, 8:6
3, 0, 20000, 8192, 9:8, 10:15
4, 13, 20000, 8192, 11:8, 12:0
5, 7, 30000, 16384, 13:14, 14:4
6, 13, 30000, 16384, 15:14, 16:5
7, 13, 30000, 16384, 17:2, 18:14
8, 6, 30000, 16384, 19:5, 20:5
9, 8, 30000, 16384, 21:11, 22:6
10, 15, 30000, 16384, 23:2, 24:2
11, 8, 30000, 16384, 25:13, 26:11
12, 0, 30000, 16384, 27:4, 28:6
13, 14, 50000, 32768, 29:1
14, 4, 50000, 32768, 29:1
15, 14, 50000, 32768, 30:9
16, 5, 50000, 32768, 30:9
17, 2, 50000, 32768, 31:9
18, 14, 50000, 32768, 31:9
19, 5, 50000, 32768, 32:12
20, 5, 50000, 32768, 32:12
21, 11, 50000, 32768, 29:1
22, 6, 50000, 32768, 30:9
23, 2, 50000, 32768, 31:9
24, 2, 50000, 32768, 32:12
25, 13, 50000, 32768, 31:9
26, 11, 50000, 32768, 32:12
27, 4, 50000, 32768, 29:1
28, 6, 50000, 32768, 30:9
29, 1, 30000, 8192, -1:-1
30, 9, 30000, 8192, -1:-1
31, 9, 30000, 8192, -1:-1
32, 12, 30000, 8192, -1:-1
