benchmark,seed,improvement_pct,cost_delta_pct,n,valid_count,improvement_mean_pct,improvement_std_pct,improvement_ci95_half_pct
GEMM,40,37.07283438469111,-37.07283438469111,10,10,37.00740082897171,0.6099983155668514,0.4363664762677059
GEMM,41,36.73384812951831,-36.73384812951831,10,10,37.00740082897171,0.6099983155668514,0.4363664762677059
GEMM,42,36.66821365145236,-36.66821365145236,10,10,37.00740082897171,0.6099983155668514,0.4363664762677059
GEMM,43,37.211006489100896,-37.211006489100896,10,10,37.00740082897171,0.6099983155668514,0.4363664762677059
GEMM,44,35.92275573917848,-35.92275573917848,10,10,37.00740082897171,0.6099983155668514,0.4363664762677059
GEMM,45,37.557256318466855,-37.557256318466855,10,10,37.00740082897171,0.6099983155668514,0.4363664762677059
GEMM,46,37.639151281925024,-37.639151281925024,10,10,37.00740082897171,0.6099983155668514,0.4363664762677059
GEMM,47,36.345773728905925,-36.345773728905925,10,10,37.00740082897171,0.6099983155668514,0.4363664762677059
GEMM,48,37.90035835060056,-37.90035835060056,10,10,37.00740082897171,0.6099983155668514,0.4363664762677059
GEMM,49,37.02281021587762,-37.02281021587762,10,10,37.00740082897171,0.6099983155668514,0.4363664762677059
MPEG4,40,29.287038948624133,-29.287038948624133,10,10,31.123022089386016,1.2425563574046838,0.8888712073587618
MPEG4,41,31.713664675024823,-31.713664675024823,10,10,31.123022089386016,1.2425563574046838,0.8888712073587618
MPEG4,42,29.720739147690068,-29.720739147690068,10,10,31.123022089386016,1.2425563574046838,0.8888712073587618
MPEG4,43,31.46391616061252,-31.46391616061252,10,10,31.123022089386016,1.2425563574046838,0.8888712073587618
MPEG4,44,31.14937823243742,-31.14937823243742,10,10,31.123022089386016,1.2425563574046838,0.8888712073587618
MPEG4,45,32.508486208965394,-32.508486208965394,10,10,31.123022089386016,1.2425563574046838,0.8888712073587618
MPEG4,46,33.06230665780061,-33.06230665780061,10,10,31.123022089386016,1.2425563574046838,0.8888712073587618
MPEG4,47,31.94352293414393,-31.94352293414393,10,10,31.123022089386016,1.2425563574046838,0.8888712073587618
MPEG4,48,30.19707540797413,-30.19707540797413,10,10,31.123022089386016,1.2425563574046838,0.8888712073587618
MPEG4,49,30.184092520587136,-30.184092520587136,10,10,31.123022089386016,1.2425563574046838,0.8888712073587618
VOPD,40,9.281859195841855,-9.281859195841855,10,10,11.881459238872852,1.7193799284604865,1.2299702172956206
VOPD,41,11.418850878248888,-11.418850878248888,10,10,11.881459238872852,1.7193799284604865,1.2299702172956206
VOPD,42,11.005077554398191,-11.005077554398191,10,10,11.881459238872852,1.7193799284604865,1.2299702172956206
VOPD,43,13.00859966827106,-13.00859966827106,10,10,11.881459238872852,1.7193799284604865,1.2299702172956206
VOPD,44,11.847126704377295,-11.847126704377295,10,10,11.881459238872852,1.7193799284604865,1.2299702172956206
VOPD,45,12.022559704202983,-12.022559704202983,10,10,11.881459238872852,1.7193799284604865,1.2299702172956206
VOPD,46,11.065705914029031,-11.065705914029031,10,10,11.881459238872852,1.7193799284604865,1.2299702172956206
VOPD,47,10.525131332264282,-10.525131332264282,10,10,11.881459238872852,1.7193799284604865,1.2299702172956206
VOPD,48,13.059203312371114,-13.059203312371114,10,10,11.881459238872852,1.7193799284604865,1.2299702172956206
VOPD,49,15.580478124723808,-15.580478124723808,10,10,11.881459238872852,1.7193799284604865,1.2299702172956206
HNN,40,15.88349696832184,-15.88349696832184,10,10,14.404737690804524,3.204871283210861,2.292626640200975
HNN,41,13.766434328540678,-13.766434328540678,10,10,14.404737690804524,3.204871283210861,2.292626640200975
HNN,42,16.883753442193118,-16.883753442193118,10,10,14.404737690804524,3.204871283210861,2.292626640200975
HNN,43,8.956447535438361,-8.956447535438361,10,10,14.404737690804524,3.204871283210861,2.292626640200975
HNN,44,15.24075498318136,-15.24075498318136,10,10,14.404737690804524,3.204871283210861,2.292626640200975
HNN,45,10.447087584774916,-10.447087584774916,10,10,14.404737690804524,3.204871283210861,2.292626640200975
HNN,46,16.95195606807488,-16.95195606807488,10,10,14.404737690804524,3.204871283210861,2.292626640200975
HNN,47,16.01763522231834,-16.01763522231834,10,10,14.404737690804524,3.204871283210861,2.292626640200975
HNN,48,18.689635308524068,-18.689635308524068,10,10,14.404737690804524,3.204871283210861,2.292626640200975
HNN,49,11.210175466677695,-11.210175466677695,10,10,14.404737690804524,3.204871283210861,2.292626640200975
