workload,v1_cost,v2_cost,v2_minus_v1_cost,v1_tmax_delta_K,v2_tmax_delta_K,v2_minus_v1_tmax_delta_K,v1_sigma_delta_pct,v2_sigma_delta_pct,v1_makespan_delta_pct,v2_makespan_delta_pct,v1_energy_delta_pct,v2_energy_delta_pct
GEMM,4.863922395063637,5.867419069913753,1.0034966748501155,-0.39449930284001766,-2.3210229658700428,-1.926523663030025,-29.95053624922307,-37.172261955884125,-1.5451185581994098,79.59785723184251,-2.461903624030115,30.36812291322335
MPEG4,4.647607573474175,4.893773934332865,0.24616636085869015,-1.4111879071800217,-1.6492191792299877,-0.238031272049966,-19.025069988661393,-15.828110753185031,-0.6638000031129687,8.13607613342846,-0.5907385591267578,4.620429510808544
VOPD,4.958442029633455,5.226623281190664,0.26818125155720907,0.04505591436003442,0.7829681841200227,0.7379122697599882,-6.972822002460499,-1.7081950849004657,0.21705329167640564,0.7344438611082804,0.1087402799635262,0.6002933331523685
HNN,6.311718120169917,6.537402140763925,0.2256840205940085,3.8825159111800076,1.7826124252200088,-2.0999034859599988,-20.75699898706087,-27.9804752684217,-0.04460385074579465,45.26641172541104,6.778015692792794,3.667809384849585
