benchmark,seed,run_type,configured_generations,actual_generations,converged,elapsed_min,cost_baseline,cost_b2,cost_delta_pct,tmax_baseline_C,tmax_b2_C,tmax_delta_C,sigma_baseline_K,sigma_b2_K,sigma_delta_pct,hot_baseline,hot_b2,makespan_baseline_us,makespan_b2_us,makespan_delta_pct,comm_baseline,comm_b2,comm_delta_pct,pe_optical_energy_baseline_mJ,pe_optical_energy_b2_mJ,pe_optical_energy_delta_pct
MPEG4,42,base,60,41,True,0.8924744833260775,4.9,3.384596043392652,-30.926611359333645,54.44663874680003,51.79555889321,-2.6510798535900335,1.3003837749577485,0.9962202644133077,-23.39028803664699,2,0,122.06989999999999,122.07390000000001,0.0032768110730163613,420000.0,516000.0,22.857142857142865,1.1328804365769536,1.1308343912101189,-0.18060558738368648
MPEG4,43,base,60,54,True,1.1744661166798323,4.9,3.406551017235546,-30.47855066866233,54.44663874680003,52.07155367345001,-2.3750850733500215,1.3003837749577485,0.9909982569233243,-23.791862371127827,2,0,122.06989999999999,121.8276,-0.19849283074696578,420000.0,476000.0,13.33333333333333,1.1328804365769536,1.1289668699526718,-0.34545275016900634
MPEG4,44,base,60,41,True,0.8943460216745734,4.9,3.390498232290487,-30.806158524683948,54.44663874680003,51.79898144018,-2.647657306620033,1.3003837749577485,1.016364846326231,-21.8411621323671,2,0,122.06989999999999,121.2576,-0.6654384086494658,420000.0,520000.0,23.809523809523814,1.1328804365769536,1.1264687443269665,-0.565963718939333
MPEG4,45,base,60,59,True,1.2773081716770927,4.9,3.42297868967174,-30.143292047515523,54.44663874680003,51.918237683990014,-2.528401062810019,1.3003837749577485,1.0401323576917416,-20.013431594412413,2,0,122.06989999999999,121.4036,-0.5458348044849681,420000.0,476000.0,13.33333333333333,1.1328804365769536,1.1267943571255525,-0.5372216921487705
MPEG4,46,base,60,44,True,0.9597535366658121,4.9,3.384945001562326,-30.919489764034168,54.44663874680003,51.98017631887001,-2.4664624279300256,1.3003837749577485,0.9845399369281296,-24.288509600935406,2,0,122.06989999999999,121.2557,-0.6669948939091341,420000.0,448000.0,6.666666666666665,1.1328804365769536,1.125920516589599,-0.6143560928975278
MPEG4,47,base,60,45,True,0.9772068316582591,4.9,3.393144990037054,-30.752143060468285,54.44663874680003,51.80447803072002,-2.6421607160800136,1.3003837749577485,1.0073601814444446,-22.533624238953976,2,0,122.06989999999999,122.00869999999999,-0.05013520941690164,420000.0,456000.0,8.571428571428562,1.1328804365769536,1.1301072927121285,-0.24478698504180052
MPEG4,48,base,60,38,True,0.8301285216584802,4.9,3.4273243755693943,-30.05460458021645,54.44663874680003,51.876891118990045,-2.5697476278099884,1.3003837749577485,1.036278673399077,-20.309781361833178,2,0,122.06989999999999,122.34680000000002,0.22683724652845516,420000.0,448000.0,6.666666666666665,1.1328804365769536,1.1322638441449993,-0.05442696440388639
MPEG4,49,base,60,44,True,0.9577415666698168,4.9,3.3877342706037883,-30.86256590604515,54.44663874680003,51.80176062650003,-2.6448781203000067,1.3003837749577485,1.0117088760000483,-22.199207996660807,2,0,122.06989999999999,121.3057,-0.6260347554966406,420000.0,496000.0,18.0952380952381,1.1328804365769536,1.126580796817288,-0.5560727819345357
VOPD,40,base,60,60,False,19.410331744995588,3.9000000000000004,3.6117356158677345,-7.39139446492989,52.22271921261,51.45166777650002,-0.7710514361099854,0.9870939912641029,0.8348455979458155,-15.423900324153884,0,0,89.3329,87.7908,-1.7262397168344323,1396000.0,1352000.0,-3.151862464183386,0.7507385223064373,0.7408935139565422,-1.3113764722834542
VOPD,41,base,60,37,True,9.170298940005402,3.9000000000000004,3.700951390466724,-5.103810500853234,52.22271921261,51.74719656076002,-0.4755226518499853,0.9870939912641029,0.8827925674072994,-10.566513906465168,0,0,89.3329,87.7368,-1.7866877712466422,1396000.0,1706000.0,22.206303724928354,0.7507385223064373,0.741570278579751,-1.2212299561396467
