# B-2 GA remapped (gen=47, converged=True)
# Optimized static mapping — 32 mappable tasks
0, -1, 0, 8192, 1:11, 2:8, 3:8, 4:7
1, 11, 20000, 8192, 5:14, 6:2
2, 8, 20000, 8192, 7:12, 8:9
3, 8, 20000, 8192, 9:11, 10:3
4, 7, 20000, 8192, 11:11, 12:9
5, 14, 30000, 16384, 13:15, 14:4
6, 2, 30000, 16384, 15:2, 16:12
7, 12, 30000, 16384, 17:14, 18:2
8, 9, 30000, 16384, 19:12, 20:14
9, 11, 30000, 16384, 21:11, 22:6
10, 3, 30000, 16384, 23:4, 24:1
11, 11, 30000, 16384, 25:5, 26:11
12, 9, 30000, 16384, 27:9, 28:4
13, 15, 50000, 32768, 29:9
14, 4, 50000, 32768, 29:9
15, 2, 50000, 32768, 30:5
16, 12, 50000, 32768, 30:5
17, 14, 50000, 32768, 31:7
18, 2, 50000, 32768, 31:7
19, 12, 50000, 32768, 32:9
20, 14, 50000, 32768, 32:9
21, 11, 50000, 32768, 29:9
22, 6, 50000, 32768, 30:5
23, 4, 50000, 32768, 31:7
24, 1, 50000, 32768, 32:9
25, 5, 50000, 32768, 31:7
26, 11, 50000, 32768, 32:9
27, 9, 50000, 32768, 29:9
28, 4, 50000, 32768, 30:5
31, 7, 30000, 8192, -1:-1
32, 9, 30000, 8192, -1:-1
29, 9, 30000, 8192, -1:-1
30, 5, 30000, 8192, -1:-1
